free_cash_flow,repurchase_of_capital_stock,issuance_of_capital_stock,capital_expenditure,interest_paid_supplemental_data,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,proceeds_from_stock_option_exercised,net_common_stock_issuance,common_stock_payments,common_stock_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_intangibles_purchase_and_sale,sale_of_intangibles,purchase_of_intangibles,net_ppe_purchase_and_sale,purchase_of_ppe,capital_expenditure_reported,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_payables_and_accrued_expense,change_in_accrued_expense,change_in_payable,change_in_account_payable,change_in_prepaid_assets,change_in_receivables,changes_in_account_receivables,stock_based_compensation,depreciation_amortization_depletion,depreciation_and_amortization,operating_gains_losses,gain_loss_on_sale_of_ppe,net_income_from_continuing_operations,date,net_other_financing_charges
10713000.0,0.0,0.0,-895000.0,0.0,7000.0,608180000.0,599967000.0,8213000.0,1550000.0,1550000.0,1550000.0,0.0,0.0,0.0,-4945000.0,-4945000.0,-603000.0,,-603000.0,-292000.0,-292000.0,-603000.0,11608000.0,11608000.0,3462000.0,17594000.0,1660000.0,4451000.0,-2791000.0,-2791000.0,739000.0,-16531000.0,-16531000.0,20632000.0,1444000.0,1444000.0,,,-13930000.0,2022-12-31,
28192000.0,,,-1412000.0,0.0,28000.0,641091000.0,608180000.0,32911000.0,4619000.0,4619000.0,4619000.0,,,,-1312000.0,-1312000.0,100000.0,100000.0,-731000.0,-681000.0,-681000.0,-731000.0,29604000.0,29604000.0,9451000.0,19041000.0,-3546000.0,-3201000.0,-345000.0,-345000.0,-263000.0,-5781000.0,-5781000.0,21073000.0,1762000.0,1762000.0,-100000.0,-100000.0,-2582000.0,2023-03-31,
33796000.0,,,-3371000.0,0.0,1911000.0,678665000.0,641091000.0,37574000.0,3778000.0,3778000.0,3778000.0,,,,-3371000.0,-3371000.0,0.0,0.0,,-827000.0,-827000.0,-2544000.0,37167000.0,37167000.0,8094000.0,8075000.0,3569000.0,2165000.0,1404000.0,1404000.0,-2653000.0,-897000.0,-897000.0,23714000.0,1634000.0,1634000.0,0.0,0.0,3725000.0,2023-06-30,
32897000.0,,,-4753000.0,0.0,256000.0,701737000.0,678665000.0,23072000.0,-9825000.0,-9825000.0,1657000.0,,,,-4753000.0,-4753000.0,0.0,0.0,,-759000.0,-759000.0,-3994000.0,37650000.0,37650000.0,7337000.0,13460000.0,1565000.0,1221000.0,344000.0,344000.0,617000.0,-8305000.0,-8305000.0,25432000.0,1657000.0,1657000.0,417000.0,417000.0,2807000.0,2023-09-30,
45045000.0,,,-4148000.0,0.0,125000.0,750345000.0,701737000.0,48608000.0,3563000.0,3563000.0,3563000.0,,,,-4148000.0,-4148000.0,0.0,0.0,,-924000.0,-924000.0,-3224000.0,49193000.0,49193000.0,10016000.0,31912000.0,3117000.0,3259000.0,-142000.0,-142000.0,2251000.0,-27264000.0,-27264000.0,25002000.0,2042000.0,2042000.0,16000.0,16000.0,12117000.0,2023-12-31,0.0
