treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,preferred_securities_outside_stock_equity,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,line_of_credit,payables_and_accrued_expenses,current_accrued_expenses,payables,other_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_prepaid_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,non_current_note_receivables,non_current_accounts_receivable,investments_and_advances,other_investments,investmentin_financial_assets,held_to_maturity_securities,available_for_sale_securities,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,machinery_furniture_equipment,buildings_and_improvements,properties,current_assets,other_current_assets,assets_held_for_sale_current,restricted_cash,prepaid_assets,inventory,receivables,other_receivables,accrued_interest_receivable,loans_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
97652000.0,3223623596.0,3321275596.0,2641668000.0,28462361000.0,96325376000.0,132261985000.0,74774352000.0,96325376000.0,931693000.0,104731317000.0,108386281000.0,108873480000.0,4142163000.0,104731317000.0,1710452000.0,1710452000.0,10910754000.0,91074675000.0,22854234000.0,2710000.0,2710000.0,63887505000.0,7058658000.0,604934000.0,,2126120000.0,2126120000.0,4327604000.0,672640000.0,3654964000.0,56828847000.0,15811958000.0,15811958000.0,24134757000.0,259053000.0,23875704000.0,23875704000.0,16882132000.0,7266553000.0,9615579000.0,5295342000.0,2813096000.0,2116014000.0,1507141000.0,172760985000.0,41157786000.0,569997000.0,174357000.0,1480789000.0,1480789000.0,39228000.0,1738969000.0,21518198000.0,246073000.0,16032883000.0,28471000.0,16004412000.0,5239242000.0,8405941000.0,6239455000.0,2166486000.0,7230307000.0,-6270391000.0,13500698000.0,304365000.0,1587413000.0,6845880000.0,4763040000.0,0.0,131603199000.0,116801000.0,0.0,2699055000.0,3875950000.0,993636000.0,6458405000.0,38366000.0,1373854000.0,43313000.0,5002872000.0,117459352000.0,92570352000.0,24889000000.0,2022-12-31
,3224760316.0,3224760316.0,17422066000.0,31122844000.0,104519738000.0,139764989000.0,77366658000.0,104519738000.0,,108642145000.0,112372218000.0,112673478000.0,4031333000.0,108642145000.0,,,,,,,,65567966000.0,7387332000.0,1165017000.0,136860000.0,2492242000.0,2492242000.0,3730073000.0,,3730073000.0,58180634000.0,12997793000.0,12997793000.0,27392771000.0,,27392771000.0,27392771000.0,17790070000.0,10839222000.0,6950848000.0,2572177000.0,3547553000.0,,831118000.0,178241444000.0,42694152000.0,27952664000.0,,1269291000.0,1269291000.0,,,2731840000.0,,2731840000.0,,2731840000.0,,4122407000.0,4122407000.0,,6617950000.0,,,,,,,,135547292000.0,5051010000.0,,3083493000.0,,876303000.0,6091593000.0,,,,6091593000.0,120444893000.0,106744115000.0,13700778000.0,2023-03-31
,3224760316.0,3224760316.0,3069017000.0,15835287000.0,110117315000.0,130100070000.0,81884878000.0,110117315000.0,,114264783000.0,118218447000.0,118265829000.0,4001046000.0,114264783000.0,,,,,,,,49639893000.0,7300919000.0,1137672000.0,,2209583000.0,2209583000.0,3953664000.0,,3953664000.0,42338974000.0,12943844000.0,12943844000.0,11881623000.0,,11881623000.0,11881623000.0,17513507000.0,10826617000.0,6686890000.0,3386236000.0,2560047000.0,,740607000.0,167905722000.0,43681870000.0,28184661000.0,,1320697000.0,1320697000.0,,,2681840000.0,,2681840000.0,,2681840000.0,,4147468000.0,4147468000.0,,7347204000.0,,,,,,,,124223852000.0,5352876000.0,,2912852000.0,,806960000.0,5343028000.0,,,,5343028000.0,109808136000.0,97041866000.0,12766270000.0,2023-06-30
,,,,11649191000.0,115868984000.0,131627919000.0,83696710000.0,115868984000.0,,119978728000.0,120406725000.0,123945175000.0,3966447000.0,119978728000.0,,,,,,,,47629830000.0,3761113000.0,1327427000.0,,2005689000.0,2005689000.0,427997000.0,,427997000.0,43868717000.0,14188592000.0,14188592000.0,11221194000.0,,11221194000.0,,18458931000.0,11689169000.0,6769762000.0,2833841000.0,3072590000.0,,863331000.0,171575005000.0,44009578000.0,28674075000.0,,1422599000.0,1422599000.0,,,2220840000.0,,2220840000.0,,2220840000.0,,4109744000.0,4109744000.0,,7582320000.0,,,,,,,,127565427000.0,6483086000.0,,3041312000.0,,721958000.0,6492193000.0,,,,6492193000.0,110826878000.0,95710414000.0,15116464000.0,2023-09-30
110493000.0,3210783141.0,3321276141.0,,20483482000.0,116470636000.0,143953936000.0,88850101000.0,116470636000.0,815322000.0,124285776000.0,124713773000.0,128084081000.0,3798305000.0,124285776000.0,2158196000.0,2158196000.0,12694364000.0,112214583000.0,22604651000.0,2710000.0,2710000.0,57840897000.0,3998413000.0,715284000.0,,2299303000.0,2299303000.0,983826000.0,555829000.0,427997000.0,53842484000.0,16986642000.0,16986642000.0,19499656000.0,259493000.0,19240163000.0,19240163000.0,17356186000.0,8019029000.0,9337157000.0,5884607000.0,2571534000.0,1790393000.0,881016000.0,185924978000.0,43232393000.0,447296000.0,179399000.0,1560088000.0,1560088000.0,34690000.0,1538274000.0,22833187000.0,490781000.0,16233166000.0,54382000.0,16178784000.0,6109240000.0,7815140000.0,5959746000.0,1855394000.0,8824319000.0,-7101319000.0,15925638000.0,311156000.0,3675879000.0,7125860000.0,4812743000.0,0.0,142692585000.0,132268000.0,,2777206000.0,3132647000.0,695374000.0,9234097000.0,512367000.0,2271944000.0,27369000.0,6422417000.0,126720993000.0,105292091000.0,21428902000.0,2023-12-31
