tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.025797,-547000000.0,,,-640000000.0,111000000.0,1014000000.0,-547000000.0,-658000000.0,16000000.0,1000000.0,17000000.0,-640000000.0,-640000000.0,2096000000.0,-370000000.0,387162000.0,387162000.0,-1.65,-1.65,-640000000.0,-640000000.0,-640000000.0,2000000.0,-642000000.0,-642000000.0,-17000000.0,-659000000.0,,,,,16000000.0,1000000.0,17000000.0,-278000000.0,1082000000.0,111000000.0,111000000.0,250000000.0,721000000.0,429000000.0,292000000.0,292000000.0,804000000.0,1014000000.0,1818000000.0,1818000000.0,2022-12-31
-420000.0,0.21,-19000000.0,-2000000.0,-2000000.0,-162000000.0,123000000.0,1069000000.0,-21000000.0,-144000000.0,27000000.0,1000000.0,28000000.0,-160420000.0,-162000000.0,2204000000.0,-171000000.0,390397000.0,390397000.0,-0.41,-0.41,-162000000.0,-162000000.0,-162000000.0,-1000000.0,-161000000.0,-162000000.0,17000000.0,-145000000.0,-3000000.0,-1000000.0,-2000000.0,2000000.0,27000000.0,1000000.0,28000000.0,-169000000.0,1135000000.0,123000000.0,123000000.0,231000000.0,781000000.0,496000000.0,285000000.0,285000000.0,966000000.0,1069000000.0,2035000000.0,2035000000.0,2023-03-31
0.0,0.049724,-83000000.0,0.0,0.0,-170000000.0,128000000.0,1135000000.0,-83000000.0,-211000000.0,34000000.0,,34000000.0,-170000000.0,-170000000.0,2344000000.0,-211000000.0,388737000.0,388737000.0,-0.44,-0.44,-170000000.0,-170000000.0,-170000000.0,2000000.0,-172000000.0,-172000000.0,-9000000.0,-181000000.0,-4000000.0,-4000000.0,0.0,0.0,34000000.0,,34000000.0,-211000000.0,1209000000.0,128000000.0,128000000.0,269000000.0,812000000.0,471000000.0,341000000.0,341000000.0,998000000.0,1135000000.0,2133000000.0,2133000000.0,2023-06-30
0.0,0.21,20000000.0,0.0,0.0,-73000000.0,128000000.0,1156000000.0,20000000.0,-108000000.0,40000000.0,,40000000.0,-73000000.0,-73000000.0,2272000000.0,-108000000.0,393217000.0,393217000.0,-0.19,-0.19,-73000000.0,-73000000.0,-73000000.0,2000000.0,-75000000.0,-75000000.0,6000000.0,-69000000.0,-1000000.0,-1000000.0,0.0,0.0,40000000.0,,40000000.0,-108000000.0,1116000000.0,128000000.0,128000000.0,250000000.0,738000000.0,449000000.0,289000000.0,289000000.0,1008000000.0,1156000000.0,2164000000.0,2164000000.0,2023-09-30
0.0,0.21,41000000.0,0.0,0.0,-154000000.0,130000000.0,1229000000.0,41000000.0,-89000000.0,51000000.0,,,-154000000.0,-154000000.0,2392000000.0,-89000000.0,,,,,-154000000.0,-154000000.0,-154000000.0,2000000.0,-156000000.0,-156000000.0,17000000.0,-139000000.0,-101000000.0,-101000000.0,0.0,0.0,51000000.0,,,-89000000.0,1163000000.0,130000000.0,130000000.0,253000000.0,780000000.0,460000000.0,320000000.0,320000000.0,1074000000.0,1229000000.0,2303000000.0,2303000000.0,2023-12-31
