tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,other_special_charges,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-868140.0,0.21,71236000.0,-4134000.0,-4134000.0,-7548000.0,70541000.0,941778000.0,67102000.0,-3439000.0,15197000.0,3133000.0,18330000.0,-4282140.0,-7548000.0,1048536000.0,-45906000.0,106606000.0,106606000.0,-0.07,-0.07,-7548000.0,-7548000.0,-7548000.0,-7548000.0,-7548000.0,976000.0,-6572000.0,24376000.0,28510000.0,239000.0,239000.0,,-4373000.0,15197000.0,3133000.0,18330000.0,-46145000.0,106758000.0,32740000.0,31284000.0,42734000.0,60613000.0,941778000.0,1002391000.0,1002391000.0,2022-12-31
-1252440.0,0.21,111240000.0,-5964000.0,-5964000.0,42561000.0,68855000.0,436235000.0,105276000.0,36421000.0,25074000.0,748000.0,25822000.0,47272560.0,42561000.0,530267000.0,18002000.0,107154000.0,106675000.0,0.4,0.4,42561000.0,42561000.0,42561000.0,42561000.0,42561000.0,-6888000.0,35673000.0,-7420000.0,-1456000.0,-17000.0,-17000.0,,-5947000.0,25074000.0,748000.0,25822000.0,18019000.0,94032000.0,19494000.0,30510000.0,44028000.0,112051000.0,436235000.0,548286000.0,548286000.0,2023-03-31
-3810165.0,0.095,301698000.0,-40107000.0,-40107000.0,170579000.0,71705000.0,500253000.0,261591000.0,189886000.0,23611000.0,1415000.0,25026000.0,206875835.0,170579000.0,606703000.0,168515000.0,107278000.0,106827000.0,1.59,1.6,170579000.0,170579000.0,170579000.0,170579000.0,170579000.0,17892000.0,188471000.0,-39110000.0,997000.0,-35455000.0,135000.0,35590000.0,-4652000.0,23611000.0,1415000.0,25026000.0,203970000.0,106450000.0,23377000.0,36745000.0,46328000.0,310420000.0,500253000.0,810673000.0,810673000.0,2023-06-30
-58976.0,0.076,372718000.0,-776000.0,-776000.0,268398000.0,77743000.0,424915000.0,371942000.0,294199000.0,19520000.0,3734000.0,23254000.0,269115024.0,268398000.0,528336000.0,272965000.0,107498000.0,106834000.0,2.5,2.51,268398000.0,268398000.0,268398000.0,268398000.0,268398000.0,22067000.0,290465000.0,-1809000.0,-1033000.0,211000.0,211000.0,,-987000.0,19520000.0,3734000.0,23254000.0,272754000.0,103421000.0,12059000.0,41190000.0,50172000.0,376175000.0,424915000.0,801090000.0,801090000.0,2023-09-30
-247187.158365,0.072852,476833000.0,-3393000.0,-3393000.0,349239000.0,89691000.0,656520000.0,473440000.0,383749000.0,16497000.0,7068000.0,23565000.0,352384812.841635,349239000.0,767323000.0,397784000.0,,,,,349239000.0,349239000.0,349239000.0,349239000.0,349239000.0,27442000.0,376681000.0,-31046000.0,-27653000.0,6554000.0,6554000.0,0.0,-9947000.0,16497000.0,7068000.0,23565000.0,391230000.0,110803000.0,9847000.0,43862000.0,57094000.0,502033000.0,656520000.0,1158553000.0,1158553000.0,2023-12-31
