tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,gain_on_sale_of_ppe,other_special_charges,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-33810900.0,0.2621,519000000.0,-129000000.0,-129000000.0,229000000.0,47000000.0,1000000000.0,390000000.0,343000000.0,-144000000.0,141000000.0,4000000.0,324189100.0,229000000.0,1200000000.0,346000000.0,455000000.0,306000000.0,0.74,0.75,336000000.0,107000000.0,229000000.0,229000000.0,-107000000.0,336000000.0,336000000.0,-134000000.0,202000000.0,-143000000.0,-51000000.0,-2000000.0,8000000.0,41000000.0,-14000000.0,-78000000.0,-144000000.0,7000000.0,141000000.0,4000000.0,489000000.0,160000000.0,5000000.0,7000000.0,7000000.0,148000000.0,148000000.0,105000000.0,43000000.0,649000000.0,1040000000.0,1689000000.0,1689000000.0,2022-12-31
-2821000.0,0.091,524000000.0,-31000000.0,-31000000.0,189000000.0,46000000.0,904000000.0,493000000.0,447000000.0,-142000000.0,142000000.0,7000000.0,217179000.0,189000000.0,1105000000.0,447000000.0,456000000.0,309000000.0,0.61,0.61,189000000.0,,189000000.0,189000000.0,-88000000.0,277000000.0,277000000.0,28000000.0,305000000.0,-38000000.0,-23000000.0,2000000.0,1000000.0,24000000.0,-7000000.0,-8000000.0,-142000000.0,7000000.0,142000000.0,7000000.0,485000000.0,161000000.0,10000000.0,6000000.0,6000000.0,145000000.0,145000000.0,100000000.0,45000000.0,646000000.0,944000000.0,1590000000.0,1590000000.0,2023-03-31
858000.0,0.143,599000000.0,6000000.0,6000000.0,241000000.0,49000000.0,1014000000.0,605000000.0,556000000.0,-145000000.0,147000000.0,9000000.0,235858000.0,241000000.0,1216000000.0,554000000.0,458000000.0,312000000.0,0.77,0.77,350000000.0,109000000.0,241000000.0,241000000.0,-110000000.0,351000000.0,351000000.0,58000000.0,409000000.0,-5000000.0,5000000.0,9000000.0,-3000000.0,7000000.0,-11000000.0,1000000.0,-145000000.0,7000000.0,147000000.0,9000000.0,559000000.0,162000000.0,6000000.0,9000000.0,9000000.0,147000000.0,147000000.0,100000000.0,47000000.0,721000000.0,1054000000.0,1775000000.0,1775000000.0,2023-06-30
-4760000.0,0.14,653000000.0,-34000000.0,-34000000.0,252000000.0,47000000.0,1036000000.0,619000000.0,572000000.0,-143000000.0,149000000.0,13000000.0,281240000.0,252000000.0,1236000000.0,582000000.0,459000000.0,314000000.0,0.79,0.8,363000000.0,111000000.0,252000000.0,252000000.0,-112000000.0,364000000.0,364000000.0,59000000.0,423000000.0,-35000000.0,-52000000.0,-30000000.0,17000000.0,5000000.0,-1000000.0,18000000.0,-143000000.0,7000000.0,149000000.0,13000000.0,601000000.0,161000000.0,-3000000.0,8000000.0,8000000.0,156000000.0,156000000.0,108000000.0,48000000.0,762000000.0,1075000000.0,1837000000.0,1837000000.0,2023-09-30
-20400000.0,0.4,573000000.0,-51000000.0,-51000000.0,508000000.0,49000000.0,1147000000.0,522000000.0,473000000.0,-152000000.0,157000000.0,11000000.0,538600000.0,508000000.0,1328000000.0,468000000.0,,,,,726000000.0,218000000.0,508000000.0,508000000.0,-218000000.0,726000000.0,726000000.0,-410000000.0,316000000.0,-24000000.0,-20000000.0,3000000.0,2000000.0,21000000.0,27000000.0,-31000000.0,-152000000.0,6000000.0,157000000.0,11000000.0,492000000.0,181000000.0,5000000.0,,,199000000.0,199000000.0,339000000.0,,673000000.0,1147000000.0,1820000000.0,1820000000.0,2023-12-31
