ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,pensionand_other_post_retirement_benefit_plans_current,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_note_receivables,investments_and_advances,investmentin_financial_assets,held_to_maturity_securities,available_for_sale_securities,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,restricted_cash,prepaid_assets,receivables,other_receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
2005486000.0,2005486000.0,5057000000.0,11139000000.0,-2797000000.0,16605000000.0,396000000.0,-2797000000.0,1874000000.0,7340000000.0,16605000000.0,8504000000.0,1164000000.0,7340000000.0,-443000000.0,-443000000.0,-32767000000.0,40550000000.0,0.0,0.0,23605000000.0,14752000000.0,759000000.0,27000000.0,27000000.0,10938000000.0,1673000000.0,9265000000.0,3028000000.0,8853000000.0,2003000000.0,201000000.0,201000000.0,587000000.0,1692000000.0,4370000000.0,1593000000.0,2777000000.0,2049000000.0,476000000.0,728000000.0,32109000000.0,22860000000.0,3921000000.0,110000000.0,5161000000.0,4291000000.0,1726000000.0,2565000000.0,870000000.0,10137000000.0,1874000000.0,8263000000.0,3531000000.0,-1285000000.0,4816000000.0,609000000.0,219000000.0,1449000000.0,1735000000.0,739000000.0,65000000.0,0.0,9249000000.0,459000000.0,680000000.0,310000000.0,3489000000.0,710000000.0,2779000000.0,-80000000.0,2859000000.0,4311000000.0,103000000.0,4208000000.0,2022-12-31
2019194000.0,2019194000.0,5212000000.0,11079000000.0,-2445000000.0,16765000000.0,513000000.0,-2445000000.0,1822000000.0,7508000000.0,16765000000.0,8672000000.0,1164000000.0,7508000000.0,-598000000.0,-598000000.0,-32924000000.0,41030000000.0,0.0,0.0,23779000000.0,15096000000.0,766000000.0,32000000.0,32000000.0,10886000000.0,1629000000.0,9257000000.0,3412000000.0,8683000000.0,2157000000.0,193000000.0,193000000.0,296000000.0,1658000000.0,4379000000.0,3171000000.0,1208000000.0,496000000.0,496000000.0,712000000.0,32451000000.0,23257000000.0,4369000000.0,107000000.0,5351000000.0,4611000000.0,,4611000000.0,740000000.0,9953000000.0,1768000000.0,8185000000.0,3477000000.0,,3477000000.0,,,3477000000.0,,,,,9196000000.0,492000000.0,897000000.0,360000000.0,3281000000.0,710000000.0,2571000000.0,92000000.0,2479000000.0,4166000000.0,121000000.0,4045000000.0,2023-03-31
2038892000.0,2038892000.0,4260000000.0,11031000000.0,-1094000000.0,17919000000.0,2029000000.0,-1094000000.0,1776000000.0,8664000000.0,17919000000.0,9828000000.0,1164000000.0,8664000000.0,-443000000.0,-443000000.0,-32530000000.0,41637000000.0,0.0,0.0,24240000000.0,15605000000.0,771000000.0,51000000.0,51000000.0,10852000000.0,1597000000.0,9255000000.0,3931000000.0,8635000000.0,2121000000.0,179000000.0,179000000.0,409000000.0,1729000000.0,4197000000.0,1484000000.0,2713000000.0,2019000000.0,491000000.0,694000000.0,34068000000.0,23404000000.0,5068000000.0,108000000.0,5059000000.0,5000000000.0,,5000000000.0,59000000.0,9758000000.0,1607000000.0,8151000000.0,3411000000.0,,3411000000.0,,,3411000000.0,,,,,10664000000.0,634000000.0,909000000.0,353000000.0,3235000000.0,659000000.0,2576000000.0,-92000000.0,2668000000.0,5533000000.0,538000000.0,4995000000.0,2023-06-30
2053437000.0,2053437000.0,4804000000.0,10991000000.0,-293000000.0,18610000000.0,1274000000.0,-293000000.0,1739000000.0,9358000000.0,18610000000.0,10519000000.0,1161000000.0,9358000000.0,-480000000.0,-480000000.0,-32309000000.0,42147000000.0,0.0,0.0,25430000000.0,16025000000.0,789000000.0,82000000.0,82000000.0,10817000000.0,1565000000.0,9252000000.0,4337000000.0,9405000000.0,2037000000.0,174000000.0,174000000.0,558000000.0,1823000000.0,4813000000.0,1903000000.0,2910000000.0,2111000000.0,553000000.0,799000000.0,35949000000.0,25270000000.0,7119000000.0,110000000.0,5031000000.0,4981000000.0,,4981000000.0,50000000.0,9651000000.0,1511000000.0,8140000000.0,3359000000.0,,3359000000.0,,,3359000000.0,,,,,10679000000.0,580000000.0,833000000.0,424000000.0,3669000000.0,669000000.0,3000000000.0,-84000000.0,3084000000.0,5173000000.0,725000000.0,4448000000.0,2023-09-30
2071144000.0,2071144000.0,4779000000.0,11199000000.0,1673000000.0,20708000000.0,1843000000.0,1673000000.0,1740000000.0,11249000000.0,20708000000.0,12682000000.0,1433000000.0,11249000000.0,-421000000.0,-421000000.0,-30594000000.0,42264000000.0,0.0,0.0,26017000000.0,16563000000.0,776000000.0,56000000.0,56000000.0,11009000000.0,1550000000.0,9459000000.0,4722000000.0,9454000000.0,2024000000.0,190000000.0,190000000.0,710000000.0,2016000000.0,4514000000.0,1996000000.0,2518000000.0,1728000000.0,684000000.0,790000000.0,38699000000.0,27402000000.0,8058000000.0,126000000.0,6328000000.0,5975000000.0,,5975000000.0,353000000.0,9576000000.0,1425000000.0,8151000000.0,3314000000.0,-1401000000.0,4715000000.0,658000000.0,203000000.0,1241000000.0,1809000000.0,739000000.0,65000000.0,0.0,11297000000.0,564000000.0,805000000.0,400000000.0,4121000000.0,717000000.0,3404000000.0,-91000000.0,3495000000.0,5407000000.0,727000000.0,4680000000.0,2023-12-31
