preferred_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,net_tangible_assets,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,other_equity_interest,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,fixed_assets_revaluation_reserve,foreign_currency_translation_adjustments,minimum_pension_liabilities,unrealized_gain_loss,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,derivative_product_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,current_debt_and_capital_lease_obligation,current_debt,current_notes_payable,total_assets,investments_and_advances,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,receivables,loans_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,treasury_shares_number
102000000.0,1864897726.0,1864897726.0,12356000000.0,37536000000.0,60411000000.0,44196000000.0,48055000000.0,6660000000.0,67071000000.0,56379000000.0,1664000000.0,54715000000.0,-1346000000.0,-25000000.0,8000000.0,22000000.0,6514000000.0,-97000000.0,-6472000000.0,27010000000.0,238000000.0,28838000000.0,22178000000.0,6660000000.0,792562000000.0,14289000000.0,2774000000.0,2774000000.0,12356000000.0,12356000000.0,,,,848941000000.0,227423000000.0,10519000000.0,4505000000.0,6014000000.0,1448000000.0,2781000000.0,1448000000.0,19153000000.0,19153000000.0,2022-12-31,
102000000.0,1850000000.0,1850000000.0,13545000000.0,30081000000.0,54125000000.0,36741000000.0,40580000000.0,6660000000.0,60785000000.0,48751000000.0,1511000000.0,47240000000.0,-135000000.0,14459000000.0,26891000000.0,24000000.0,5963000000.0,-113000000.0,-18306000000.0,4009000000.0,235000000.0,28672000000.0,22012000000.0,6660000000.0,813371000000.0,11879000000.0,1648000000.0,1648000000.0,13545000000.0,13545000000.0,,,,862122000000.0,237191000000.0,10499000000.0,,,,2706000000.0,,18775000000.0,18775000000.0,2023-03-31,
102000000.0,1833000000.0,1833000000.0,12752000000.0,28720000000.0,51782000000.0,35380000000.0,39030000000.0,6660000000.0,58442000000.0,47156000000.0,1466000000.0,45690000000.0,-17000000.0,12971000000.0,28233000000.0,23000000.0,4869000000.0,-103000000.0,-20051000000.0,4027000000.0,233000000.0,28476000000.0,21816000000.0,6660000000.0,804155000000.0,12234000000.0,1609000000.0,1609000000.0,12752000000.0,12752000000.0,,,,851311000000.0,228399000000.0,10310000000.0,,,,2632000000.0,,21018000000.0,21018000000.0,2023-06-30,
102000000.0,1823120638.0,1823120638.0,12926000000.0,30485000000.0,53839000000.0,37145000000.0,40913000000.0,6660000000.0,59889000000.0,49035000000.0,1462000000.0,47573000000.0,166000000.0,14779000000.0,38957000000.0,,5385000000.0,,-29563000000.0,4097000000.0,229000000.0,28302000000.0,21642000000.0,6660000000.0,786839000000.0,17254000000.0,1694000000.0,1694000000.0,12316000000.0,12316000000.0,610000000.0,610000000.0,610000000.0,835874000000.0,222110000000.0,10428000000.0,,,,2513000000.0,,22137000000.0,22137000000.0,2023-09-30,
102000000.0,1806039020.0,1806039020.0,12738000000.0,30326000000.0,53374000000.0,36986000000.0,40636000000.0,6660000000.0,59440000000.0,48727000000.0,1431000000.0,47296000000.0,257000000.0,13811000000.0,25272000000.0,,4801000000.0,,-16262000000.0,4819000000.0,222000000.0,28187000000.0,21527000000.0,6660000000.0,826847000000.0,11730000000.0,1697000000.0,1697000000.0,12144000000.0,12144000000.0,594000000.0,594000000.0,594000000.0,875574000000.0,237680000000.0,10310000000.0,4391000000.0,5919000000.0,,2436000000.0,,20338000000.0,20338000000.0,2023-12-31,0.0
