treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,other_equity_interest,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,derivative_product_liabilities,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,current_notes_payable,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,financial_assets,goodwill_and_other_intangible_assets,other_intangible_assets,net_ppe,accumulated_depreciation,gross_ppe,other_properties,machinery_furniture_equipment,buildings_and_improvements,properties,current_assets,other_current_assets,hedging_assets_current,restricted_cash,inventory,raw_materials,receivables,accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
,1138700000.0,1138700000.0,2528700000.0,5029100000.0,6145900000.0,11100500000.0,-450500000.0,6145900000.0,220900000.0,6292300000.0,9171700000.0,6292300000.0,6292300000.0,3500000.0,570300000.0,570300000.0,4331800000.0,1379800000.0,6900000.0,6900000.0,9468600000.0,3539100000.0,,46000000.0,16700000.0,267700000.0,267700000.0,3055600000.0,176200000.0,2879400000.0,153100000.0,5929500000.0,88000000.0,,,1973500000.0,44700000.0,1928800000.0,1928800000.0,,10300000.0,3857700000.0,2614900000.0,1242800000.0,68800000.0,1174000000.0,15760900000.0,10281900000.0,151100000.0,2800000.0,2800000.0,111500000.0,146400000.0,,9870100000.0,,9870100000.0,9870100000.0,,,,5479000000.0,806200000.0,558300000.0,22700000.0,4500000.0,,38800000.0,38800000.0,,4048500000.0,1769000000.0,2279500000.0,2022-12-31
,1138674528.0,1138674528.0,310600000.0,4116200000.0,5495900000.0,9552200000.0,-1510200000.0,5495900000.0,206300000.0,5642300000.0,8495500000.0,5642300000.0,5642300000.0,44500000.0,31000000.0,31000000.0,4180000000.0,1379900000.0,6900000.0,6900000.0,10763600000.0,3342000000.0,700000.0,11200000.0,0.0,159300000.0,159300000.0,3016300000.0,163100000.0,2853200000.0,154500000.0,7421600000.0,386600000.0,2786500000.0,2786500000.0,1099900000.0,43200000.0,1056700000.0,1056700000.0,,19800000.0,3128800000.0,1276600000.0,1852200000.0,786700000.0,1065500000.0,16405900000.0,10494500000.0,168900000.0,6600000.0,6600000.0,54600000.0,146400000.0,146400000.0,10118000000.0,-5616900000.0,15734900000.0,209100000.0,15370500000.0,155300000.0,0.0,5911400000.0,878600000.0,292100000.0,19500000.0,6000000.0,6000000.0,59700000.0,59700000.0,59700000.0,4655500000.0,1056200000.0,3599300000.0,2023-03-31
0.0,1138934528.0,1138934528.0,,2801000000.0,8282300000.0,11040800000.0,860300000.0,8282300000.0,188900000.0,8428700000.0,11005500000.0,8428700000.0,8428700000.0,3500000.0,676500000.0,676500000.0,6357600000.0,1384200000.0,6900000.0,6900000.0,7939600000.0,3401200000.0,,1100000.0,,502700000.0,502700000.0,2724200000.0,147400000.0,2576800000.0,173200000.0,4538400000.0,64800000.0,,,76800000.0,41500000.0,35300000.0,35300000.0,0.0,25800000.0,4371000000.0,3318600000.0,1052400000.0,70100000.0,982300000.0,16368300000.0,10969600000.0,200400000.0,5800000.0,5800000.0,110100000.0,146400000.0,,10506900000.0,,10506900000.0,10506900000.0,,,,5398700000.0,1074400000.0,605400000.0,19500000.0,5700000.0,,68300000.0,68300000.0,,3625400000.0,364900000.0,3260500000.0,2023-09-30
,1139810528.0,1139810528.0,83300000.0,2772800000.0,7725100000.0,10473400000.0,18400000.0,7725100000.0,170900000.0,7871500000.0,10403500000.0,7871500000.0,7871500000.0,3500000.0,91700000.0,91700000.0,6369800000.0,1399600000.0,6900000.0,6900000.0,7584200000.0,3298600000.0,,48800000.0,,405400000.0,405400000.0,2662800000.0,130800000.0,2532000000.0,181600000.0,4285600000.0,167800000.0,,,110000000.0,40100000.0,69900000.0,69900000.0,0.0,29100000.0,3978700000.0,3106700000.0,872000000.0,63700000.0,808300000.0,15455700000.0,11151700000.0,199000000.0,5900000.0,5900000.0,3400000.0,146400000.0,,10797000000.0,,10797000000.0,10797000000.0,,,,4304000000.0,1152900000.0,149500000.0,20800000.0,6200000.0,,76500000.0,76500000.0,,2898100000.0,379500000.0,2518600000.0,2023-12-31
