tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,selling_and_marketing_expense,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
3383975.56391,0.050282,364100000.0,67300000.0,67300000.0,202100000.0,212700000.0,2000600000.0,431400000.0,218700000.0,-5900000.0,5900000.0,,138183975.56391,202100000.0,2160700000.0,151400000.0,227940000.0,227600000.0,0.8865,0.888,202100000.0,202100000.0,202100000.0,202100000.0,202100000.0,10700000.0,212800000.0,67300000.0,67300000.0,-5900000.0,5900000.0,,151400000.0,160100000.0,160100000.0,160100000.0,311500000.0,2000600000.0,2312100000.0,2312100000.0,2022-12-31
5038322.112895,0.214397,75500000.0,23500000.0,23500000.0,-151700000.0,257400000.0,1818400000.0,99000000.0,-158400000.0,7700000.0,34700000.0,,-170161677.887105,-151700000.0,2071300000.0,-224300000.0,,,,,-151700000.0,-151700000.0,-151700000.0,-151700000.0,-151700000.0,-41400000.0,-193100000.0,23500000.0,23500000.0,7700000.0,34700000.0,,-224300000.0,252900000.0,252900000.0,146900000.0,28600000.0,1818400000.0,1847000000.0,1847000000.0,2023-03-31
-58970.776575,0.117942,1705100000.0,-500000.0,-500000.0,1515200000.0,,2982100000.0,1704600000.0,1704600000.0,13700000.0,,13700000.0,1515641029.223425,1515200000.0,3221300000.0,1704600000.0,228900000.0,227780000.0,6.6195,6.652,1515200000.0,1515200000.0,1515200000.0,1515200000.0,1515200000.0,202600000.0,1717800000.0,-500000.0,-500000.0,13700000.0,,13700000.0,1704600000.0,239200000.0,239200000.0,239200000.0,1943800000.0,2982100000.0,4925900000.0,4925900000.0,2023-09-30
725000.0,0.125,238700000.0,5800000.0,5800000.0,14800000.0,263400000.0,2563000000.0,244500000.0,-18900000.0,15800000.0,,15800000.0,9725000.0,14800000.0,2717600000.0,-18900000.0,229020000.0,227860000.0,0.0645,0.065,14800000.0,14800000.0,14800000.0,14800000.0,14800000.0,-12100000.0,2700000.0,5800000.0,5800000.0,15800000.0,,15800000.0,-18900000.0,154600000.0,154600000.0,154600000.0,135700000.0,2563000000.0,2698700000.0,2698700000.0,2023-12-31
