date,open,close,high,low,volume
2021-04-30,116.19337692878491,115.9453125,117.58253924404548,114.9431300880178,283500
2021-05-03,117.05664373164744,117.01695251464844,117.24517511981134,115.69724793815236,162900
2021-05-04,116.92764332492074,115.3896484375,116.92764332492074,114.34777482801704,258100
2021-05-05,114.48669018736746,116.46128845214844,117.90005908256734,114.48669018736746,223100
2021-05-06,117.4237743146148,118.42595672607422,118.57479689733265,116.08422791394018,183200
2021-05-07,118.91215804145602,118.53510284423828,119.71589191889112,117.97944095984889,303800
2021-05-10,119.3090642691212,119.21976470947266,120.46008684009487,118.34657308450628,404400
2021-05-11,116.47121144265468,116.84827423095705,117.2848624911599,115.25073865505976,188200
2021-05-12,115.41941618720408,116.80857849121094,117.68176254814284,114.39739196014187,222900
2021-05-13,115.20111783680092,113.6531982421875,116.23306675665172,111.9564384780169,291600
2021-05-14,114.28824466274824,115.0125961303711,117.23525130679256,113.80204049891478,320900
2021-05-17,115.52856772454712,112.74032592773438,115.52856772454712,112.1350481072388,218200
2021-05-18,114.27832086594512,112.74032592773438,115.10189659813754,112.21442297213484,198000
2021-05-19,112.3136562211228,112.55179595947266,113.03800013328195,109.86277838753136,169600
2021-05-20,112.08543105908852,112.46248626708984,112.68078417657898,111.3610871634116,204800
2021-05-21,115.10189569738829,114.74468231201172,115.40949316855811,114.27831997164088,253600
2021-05-24,114.80421351696704,113.45474243164062,114.94312899013369,113.27614331213395,234500
2021-05-25,116.14376843572934,113.12730407714844,116.62997259583078,113.05784633999107,411800
2021-05-26,113.76234616209722,112.83954620361328,113.76234616209722,112.3731838760544,280100
2021-05-27,115.2308884466037,114.695068359375,115.43926166324944,113.71273531795192,278500
2021-05-28,115.31026453698428,115.84608459472656,117.03679078727028,114.11955834444058,192500
2021-06-01,116.74904499841,118.07866668701172,118.16796624654818,116.74904499841,218700
2021-06-02,117.92982595412508,120.15248107910156,120.68830114473728,117.55277075400755,247400
2021-06-03,116.60020656706416,113.53412628173828,117.2352509009864,113.11737985703788,335500
2021-06-04,114.58592070603524,113.0975341796875,114.58592070603524,111.19239367251512,219900
2021-06-07,113.186837117476,113.12730407714844,115.17135254520088,112.75024130087236,239900
2021-06-08,115.04235817084786,114.1691665649414,115.24080667928553,113.12730054015574,180500
2021-06-09,115.63771852235848,113.7623519897461,116.01477374017908,112.37318963254135,181600
2021-06-10,112.194580413401,111.99613189697266,113.4150607433798,111.22216451412052,159200
2021-06-11,113.4845183436636,112.79985809326172,113.88141537603944,112.02589828167297,407200
2021-06-14,110.96418302793396,111.46031188964844,112.30372944049788,110.43828764576875,162000
