free_cash_flow,repayment_of_debt,issuance_of_debt,issuance_of_capital_stock,capital_expenditure,interest_paid_supplemental_data,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_common_stock_issuance,common_stock_issuance,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,capital_expenditure_reported,operating_cash_flow,cash_flow_from_continuing_operating_activities,taxes_refund_paid,change_in_working_capital,change_in_other_working_capital,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_accrued_expense,change_in_payable,change_in_account_payable,change_in_inventory,change_in_receivables,changes_in_account_receivables,stock_based_compensation,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,depreciation,operating_gains_losses,net_foreign_currency_exchange_gain_loss,net_income_from_continuing_operations,date
-408600000.0,-72900000.0,0.0,12600000.0,-370900000.0,13200000.0,2279500000.0,1724200000.0,-51500000.0,606800000.0,-60300000.0,-60300000.0,12600000.0,12600000.0,-72900000.0,-72900000.0,-72900000.0,0.0,704800000.0,704800000.0,0.0,1075700000.0,-370900000.0,-37700000.0,-37700000.0,2500000.0,-516900000.0,-700000.0,-166200000.0,-396500000.0,-111600000.0,-284900000.0,-284900000.0,0.0,46500000.0,39200000.0,2900000.0,10800000.0,10800000.0,212700000.0,212700000.0,212700000.0,37200000.0,37200000.0,202100000.0,2022-12-31
1527800000.0,-905900000.0,0.0,0.0,-644200000.0,15500000.0,3599300000.0,2279500000.0,-18100000.0,1337900000.0,-905900000.0,-905900000.0,0.0,0.0,-905900000.0,-905900000.0,-905900000.0,0.0,71800000.0,71800000.0,-124300000.0,712800000.0,-644200000.0,2172000000.0,2172000000.0,-5900000.0,2096600000.0,-26400000.0,-61400000.0,2214100000.0,2160300000.0,53800000.0,53800000.0,-1500000.0,-28200000.0,-20900000.0,4900000.0,-41400000.0,-41400000.0,257400000.0,257400000.0,257400000.0,-2500000.0,,-151700000.0,2023-03-31
-703300000.0,-21500000.0,,10500000.0,-348600000.0,8000000.0,2518600000.0,3260500000.0,-11700000.0,-730200000.0,-11000000.0,-11000000.0,10500000.0,10500000.0,-21500000.0,-21500000.0,-21500000.0,,-364500000.0,-364500000.0,,-14600000.0,-348600000.0,-354700000.0,-354700000.0,-12300000.0,-642100000.0,-1000000.0,-94700000.0,-539900000.0,-225600000.0,-314300000.0,-314300000.0,-500000.0,-6000000.0,-8200000.0,0.0,-12100000.0,-12100000.0,263400000.0,263400000.0,263400000.0,14700000.0,14700000.0,14800000.0,2023-12-31
