tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.212903,313000000.0,0.0,0.0,124000000.0,131000000.0,1715000000.0,313000000.0,182000000.0,-27000000.0,27000000.0,124000000.0,124000000.0,2106000000.0,179000000.0,94200000.0,93100000.0,1.32,1.33,124000000.0,124000000.0,124000000.0,2000000.0,122000000.0,122000000.0,0.0,33000000.0,155000000.0,3000000.0,3000000.0,0.0,,0.0,-27000000.0,27000000.0,179000000.0,391000000.0,141000000.0,33000000.0,217000000.0,570000000.0,1715000000.0,2285000000.0,2285000000.0,2022-12-31
47250000.0,0.25,472000000.0,189000000.0,189000000.0,383000000.0,127000000.0,1742000000.0,661000000.0,534000000.0,-22000000.0,22000000.0,241250000.0,383000000.0,1986000000.0,534000000.0,91900000.0,91300000.0,4.17,4.19,383000000.0,383000000.0,383000000.0,1000000.0,382000000.0,382000000.0,,130000000.0,512000000.0,189000000.0,,189000000.0,189000000.0,,-22000000.0,22000000.0,345000000.0,244000000.0,12000000.0,28000000.0,204000000.0,589000000.0,1742000000.0,2331000000.0,2331000000.0,2023-03-31
0.0,0.26,646000000.0,0.0,0.0,345000000.0,159000000.0,1811000000.0,646000000.0,487000000.0,-23000000.0,23000000.0,345000000.0,345000000.0,2076000000.0,487000000.0,91300000.0,90500000.0,3.78,3.81,345000000.0,345000000.0,345000000.0,1000000.0,344000000.0,344000000.0,1000000.0,121000000.0,464000000.0,,,0.0,0.0,,-23000000.0,23000000.0,487000000.0,265000000.0,30000000.0,28000000.0,207000000.0,752000000.0,1811000000.0,2563000000.0,2563000000.0,2023-06-30
0.0,0.25,623000000.0,0.0,0.0,337000000.0,160000000.0,1752000000.0,623000000.0,463000000.0,-17000000.0,17000000.0,337000000.0,337000000.0,2017000000.0,462000000.0,90900000.0,90000000.0,3.71,3.74,337000000.0,337000000.0,337000000.0,0.0,337000000.0,337000000.0,1000000.0,110000000.0,446000000.0,1000000.0,1000000.0,0.0,0.0,0.0,-17000000.0,17000000.0,462000000.0,265000000.0,35000000.0,29000000.0,201000000.0,727000000.0,1752000000.0,2479000000.0,2479000000.0,2023-09-30
0.0,0.236686,346000000.0,0.0,0.0,131000000.0,163000000.0,1689000000.0,346000000.0,183000000.0,-14000000.0,14000000.0,131000000.0,131000000.0,1975000000.0,329000000.0,89500000.0,88500000.0,1.46,1.48,131000000.0,131000000.0,131000000.0,1000000.0,130000000.0,130000000.0,1000000.0,40000000.0,169000000.0,-146000000.0,-146000000.0,0.0,0.0,0.0,-14000000.0,14000000.0,329000000.0,286000000.0,29000000.0,38000000.0,219000000.0,615000000.0,1689000000.0,2304000000.0,2304000000.0,2023-12-31
0.0,0.23,534000000.0,0.0,0.0,299000000.0,131000000.0,1620000000.0,534000000.0,403000000.0,-17000000.0,17000000.0,299000000.0,299000000.0,1897000000.0,403000000.0,87900000.0,87300000.0,3.4,3.42,299000000.0,299000000.0,299000000.0,1000000.0,298000000.0,298000000.0,,88000000.0,386000000.0,,,0.0,0.0,,-17000000.0,17000000.0,403000000.0,277000000.0,34000000.0,31000000.0,212000000.0,680000000.0,1620000000.0,2300000000.0,2300000000.0,2024-03-31
