treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,buildings_and_improvements,properties,current_assets,other_current_assets,prepaid_assets,inventory,inventories_adjustments_allowances,other_inventories,receivables,taxes_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date
,80565000.0,80565000.0,196119000.0,4148009000.0,2046369000.0,4011288000.0,2224332000.0,2046369000.0,2513893000.0,2377172000.0,4011288000.0,2377172000.0,2377172000.0,-362000.0,-362000.0,3705629000.0,4682663000.0,1399694000.0,806000.0,806000.0,,6579428000.0,3817298000.0,156408000.0,,3660890000.0,2026774000.0,1634116000.0,2762130000.0,,268677000.0,268677000.0,487119000.0,487119000.0,2006334000.0,500246000.0,1506088000.0,32664000.0,32664000.0,1473424000.0,8956600000.0,3970138000.0,212455000.0,58945000.0,58945000.0,330803000.0,84946000.0,245857000.0,3367935000.0,,3367935000.0,,3367935000.0,,,,4986462000.0,96135000.0,96135000.0,3361057000.0,,,91273000.0,4082000.0,87191000.0,,,1437997000.0,1437997000.0,,,2022-10-31
69630710.0,82167634.0,151798344.0,,4205135000.0,2218402000.0,4065230000.0,2321740000.0,2218402000.0,2664528000.0,2524623000.0,4065230000.0,2524623000.0,2524623000.0,-252000.0,-252000.0,3771197000.0,4878404000.0,1416847000.0,821000.0,821000.0,0.0,6467573000.0,3826127000.0,34258000.0,133489000.0,3658380000.0,2117773000.0,1540607000.0,2641446000.0,75183000.0,275245000.0,275245000.0,546755000.0,546755000.0,1744263000.0,383642000.0,1360621000.0,154555000.0,29624000.0,1206066000.0,8992196000.0,4029010000.0,230246000.0,41189000.0,41189000.0,306221000.0,60364000.0,245857000.0,3451354000.0,-2803200000.0,6254554000.0,1940711000.0,2138366000.0,1820372000.0,355105000.0,0.0,4963186000.0,128410000.0,,2830917000.0,-139500000.0,2970417000.0,79473000.0,8187000.0,71286000.0,-2900000.0,74186000.0,1924386000.0,1924386000.0,1198782000.0,725604000.0,2023-01-31
,85223000.0,85223000.0,,4205544000.0,2360172000.0,4156735000.0,2417834000.0,2360172000.0,2722979000.0,2674170000.0,4156735000.0,2674170000.0,2674170000.0,-345000.0,-345000.0,3828894000.0,5096789000.0,1405767000.0,853000.0,853000.0,,6433642000.0,3908487000.0,169854000.0,,3738633000.0,2256068000.0,1482565000.0,2525155000.0,297633000.0,,,466911000.0,466911000.0,1760611000.0,495743000.0,1264868000.0,44865000.0,44865000.0,1220003000.0,9107812000.0,4164823000.0,239136000.0,31282000.0,31282000.0,313998000.0,63600000.0,250398000.0,3580407000.0,,3580407000.0,,3580407000.0,,,,4942989000.0,117070000.0,,3034202000.0,,,149037000.0,16249000.0,132788000.0,,,1642680000.0,1642680000.0,,,2023-04-30
,83754000.0,83754000.0,,4258020000.0,2330865000.0,4127155000.0,2246365000.0,2330865000.0,2775226000.0,2644361000.0,4127155000.0,2644361000.0,2644361000.0,-277000.0,-277000.0,4031615000.0,5255787000.0,1419628000.0,838000.0,838000.0,,6713003000.0,3937324000.0,178493000.0,,3758831000.0,2276037000.0,1482794000.0,2775679000.0,305389000.0,,,499189000.0,499189000.0,1971101000.0,597740000.0,1373361000.0,52699000.0,52699000.0,1320662000.0,9357364000.0,4335320000.0,207767000.0,24278000.0,24278000.0,313496000.0,62993000.0,250503000.0,3789779000.0,,3789779000.0,,3789779000.0,,,,5022044000.0,115138000.0,,2851366000.0,,,153637000.0,13795000.0,139842000.0,,,1901903000.0,1901903000.0,,,2023-07-31
,80338633.0,80338633.0,76812000.0,4233000000.0,2082093000.0,3867730000.0,1954603000.0,2082093000.0,2749974000.0,2384704000.0,3867730000.0,2384704000.0,2384704000.0,-462000.0,-462000.0,4421013000.0,5374573000.0,1430802000.0,804000.0,804000.0,,6897622000.0,3908228000.0,160261000.0,,3747967000.0,2264941000.0,1483026000.0,2989394000.0,281943000.0,,,485033000.0,485033000.0,2222418000.0,550006000.0,1672412000.0,42010000.0,42010000.0,1630402000.0,9282326000.0,4338329000.0,192173000.0,30817000.0,30817000.0,302611000.0,56754000.0,245857000.0,3812728000.0,,3812728000.0,,3812728000.0,,,,4943997000.0,104963000.0,,3282911000.0,,,149909000.0,9118000.0,140791000.0,,,1406214000.0,1406214000.0,,,2023-10-31
75201474.0,80407767.0,155609241.0,,4263830000.0,2314761000.0,4100541000.0,2137655000.0,2314761000.0,2780570000.0,2617281000.0,4100541000.0,2617281000.0,2617281000.0,-329000.0,-329000.0,4420963000.0,5588914000.0,1448855000.0,804000.0,804000.0,0.0,6694471000.0,3942077000.0,33195000.0,137908000.0,3770974000.0,2287714000.0,1483260000.0,2752394000.0,116730000.0,248203000.0,248203000.0,492856000.0,492856000.0,1894605000.0,417177000.0,1477428000.0,188700000.0,54508000.0,1288728000.0,9311752000.0,4421703000.0,185694000.0,37846000.0,37846000.0,302520000.0,56663000.0,245857000.0,3895643000.0,-3099329000.0,6994972000.0,2276416000.0,2257482000.0,2055588000.0,405486000.0,0.0,4890049000.0,121047000.0,,2848797000.0,,,118985000.0,4108000.0,114877000.0,,,1801220000.0,1801220000.0,1197400000.0,603820000.0,2024-01-31
