tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,write_off,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-5638586.956522,0.067935,701000000.0,-83000000.0,-83000000.0,249000000.0,188000000.0,3676000000.0,618000000.0,430000000.0,-11000000.0,62000000.0,51000000.0,326361413.043478,249000000.0,4167000000.0,440000000.0,271400000.0,270950000.0,0.86,0.86,233000000.0,233000000.0,16000000.0,249000000.0,-17000000.0,266000000.0,266000000.0,-77000000.0,25000000.0,368000000.0,-94000000.0,-11000000.0,-86000000.0,,86000000.0,3000000.0,-11000000.0,62000000.0,51000000.0,473000000.0,340000000.0,37000000.0,37000000.0,37000000.0,37000000.0,303000000.0,813000000.0,3827000000.0,4640000000.0,4640000000.0,2022-12-31
-3840000.0,0.12,595000000.0,-32000000.0,-32000000.0,162000000.0,216000000.0,3901000000.0,563000000.0,347000000.0,-45000000.0,67000000.0,22000000.0,190160000.0,162000000.0,4459000000.0,348000000.0,271170000.0,271010000.0,0.54,0.54,146000000.0,146000000.0,16000000.0,162000000.0,-2000000.0,164000000.0,164000000.0,-82000000.0,34000000.0,280000000.0,-34000000.0,-2000000.0,-29000000.0,18000000.0,11000000.0,-3000000.0,-45000000.0,67000000.0,22000000.0,359000000.0,401000000.0,59000000.0,59000000.0,59000000.0,59000000.0,342000000.0,760000000.0,4058000000.0,4818000000.0,4818000000.0,2023-03-31
-4410000.0,0.09,694000000.0,-49000000.0,-49000000.0,242000000.0,224000000.0,4171000000.0,645000000.0,421000000.0,-48000000.0,72000000.0,24000000.0,286590000.0,242000000.0,4748000000.0,410000000.0,272770000.0,272690000.0,0.84,0.84,229000000.0,229000000.0,13000000.0,242000000.0,-4000000.0,246000000.0,246000000.0,-73000000.0,30000000.0,349000000.0,-55000000.0,-6000000.0,-46000000.0,,46000000.0,-3000000.0,-48000000.0,72000000.0,24000000.0,452000000.0,412000000.0,59000000.0,59000000.0,59000000.0,59000000.0,353000000.0,864000000.0,4336000000.0,5200000000.0,5200000000.0,2023-06-30
-5880000.0,0.21,726000000.0,-28000000.0,-28000000.0,1629000000.0,226000000.0,4054000000.0,698000000.0,472000000.0,-45000000.0,75000000.0,30000000.0,1651120000.0,1629000000.0,4640000000.0,446000000.0,283010000.0,282840000.0,5.76,5.76,1629000000.0,1629000000.0,,1629000000.0,-8000000.0,1637000000.0,1637000000.0,-72000000.0,-1312000000.0,397000000.0,-32000000.0,-4000000.0,-28000000.0,0.0,28000000.0,,-45000000.0,75000000.0,30000000.0,474000000.0,419000000.0,59000000.0,59000000.0,59000000.0,59000000.0,360000000.0,893000000.0,4221000000.0,5114000000.0,5114000000.0,2023-09-30
-27510000.0,0.21,759000000.0,-131000000.0,-131000000.0,905000000.0,246000000.0,3807000000.0,628000000.0,382000000.0,-36000000.0,71000000.0,35000000.0,1008490000.0,905000000.0,4434000000.0,355000000.0,,,,,876000000.0,905000000.0,0.0,905000000.0,-14000000.0,919000000.0,919000000.0,-72000000.0,-680000000.0,311000000.0,-138000000.0,-7000000.0,-131000000.0,0.0,130000000.0,0.0,-36000000.0,71000000.0,35000000.0,485000000.0,437000000.0,56000000.0,56000000.0,56000000.0,56000000.0,381000000.0,922000000.0,3997000000.0,4919000000.0,4919000000.0,2023-12-31
