treasury_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,other_equity_interest,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,foreign_currency_translation_adjustments,minimum_pension_liabilities,unrealized_gain_loss,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,line_of_credit,payables_and_accrued_expenses,payables,other_payable,dividends_payable,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_prepaid_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,investmentin_financial_assets,available_for_sale_securities,financial_assets_designatedas_fair_value_through_profitor_loss_total,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,prepaid_assets,inventory,finished_goods,work_in_process,raw_materials,receivables,other_receivables,duefrom_related_parties_current,taxes_receivable,notes_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date,current_deferred_assets
,12504748984.0,12504748984.0,45614480000.0,318192069000.0,362344654000.0,139762315000.0,318192069000.0,5737095000.0,322467269000.0,362344654000.0,322810948000.0,343679000.0,322467269000.0,2221709000.0,21173337000.0,26481200000.0,-6369416000.0,-1831030000.0,2892583000.0,8621948000.0,169725371000.0,12921310000.0,125047490000.0,125047490000.0,201834635000.0,89225912000.0,37278720000.0,2869402000.0,,4000624000.0,438188000.0,3562436000.0,45077166000.0,5199781000.0,39877385000.0,112608723000.0,30179814000.0,3546815000.0,3546815000.0,537314000.0,537314000.0,,,0.0,78344780000.0,78344780000.0,49911453000.0,,19450909000.0,8982418000.0,524645583000.0,272274545000.0,5716204000.0,2749691000.0,5226236000.0,5226236000.0,56273598000.0,29768685000.0,11984034000.0,17784651000.0,26504913000.0,4275200000.0,4267586000.0,7614000.0,198033616000.0,-889782866000.0,1087816482000.0,63075000.0,74803502000.0,3676000.0,965050624000.0,40165436000.0,7730169000.0,0.0,252371038000.0,3504849000.0,,31069960000.0,2675390000.0,14897926000.0,13496644000.0,39196660000.0,2182369000.0,529525000.0,40256000.0,,36444510000.0,-209101000.0,36653611000.0,178599569000.0,4780792000.0,173818777000.0,131390311000.0,42428466000.0,2022-12-31,
,12505000000.0,12505000000.0,43131608000.0,351234659000.0,392608902000.0,136081231000.0,351234659000.0,5728342000.0,355205636000.0,392508902000.0,355550063000.0,344427000.0,355205636000.0,3027903000.0,25512725000.0,26481200000.0,-7615378000.0,-1542119000.0,8189022000.0,,191669715000.0,9947803000.0,125047490000.0,125047490000.0,194081051000.0,88195067000.0,38762150000.0,2642055000.0,,4300987000.0,426860000.0,3874127000.0,42489875000.0,5186609000.0,37303266000.0,105885984000.0,31628702000.0,3269274000.0,3269274000.0,641733000.0,541733000.0,100000000.0,,100000000.0,70346275000.0,70346275000.0,46517331000.0,,14615454000.0,9213490000.0,549631114000.0,307663899000.0,5558609000.0,2749664000.0,5070034000.0,5070034000.0,72086856000.0,31932932000.0,13876521000.0,18056411000.0,40153924000.0,3970977000.0,3963363000.0,7614000.0,218227759000.0,-896982493000.0,1115210252000.0,62591000.0,87353762000.0,2809000.0,979713165000.0,40453456000.0,7624469000.0,0.0,241967215000.0,761984000.0,1982304000.0,32678867000.0,1285541000.0,16282279000.0,15111047000.0,29304549000.0,2174739000.0,390291000.0,65094000.0,,26674425000.0,-169395000.0,26843820000.0,177239511000.0,5405053000.0,171834458000.0,133308587000.0,38525871000.0,2023-03-31,
,12503000000.0,12503000000.0,41800369000.0,322832046000.0,362777217000.0,96054454000.0,322832046000.0,5568348000.0,326545196000.0,362607217000.0,326888045000.0,342849000.0,326545196000.0,3083585000.0,32289530000.0,33206183000.0,-7720833000.0,-1252492000.0,8056672000.0,,155567923000.0,10572766000.0,125031392000.0,125031392000.0,226307619000.0,83329316000.0,35292719000.0,2630342000.0,,4306157000.0,436520000.0,3869637000.0,41100098000.0,5038077000.0,36062021000.0,142978303000.0,37003610000.0,3003162000.0,3003162000.0,700271000.0,530271000.0,170000000.0,,170000000.0,102271260000.0,102271260000.0,43350272000.0,45017096000.0,5072910000.0,8830982000.0,553195664000.0,314162907000.0,5508702000.0,2729901000.0,5139501000.0,5139501000.0,70454599000.0,30516846000.0,13678235000.0,16838611000.0,39937753000.0,3713150000.0,3705536000.0,7614000.0,226617054000.0,-903955552000.0,1130572606000.0,63004000.0,87970004000.0,2453000.0,994738241000.0,40335758000.0,7463146000.0,0.0,239032757000.0,798277000.0,1950450000.0,34552722000.0,2244158000.0,16193842000.0,16114722000.0,33501694000.0,2828618000.0,514839000.0,55538000.0,,30617538000.0,-142286000.0,30759824000.0,168229614000.0,5132722000.0,163096892000.0,113129425000.0,49967467000.0,2023-06-30,
0.0,12503000000.0,12503000000.0,84986448000.0,345694811000.0,429131577000.0,127209984000.0,345694811000.0,5532084000.0,349677213000.0,399057329000.0,350016189000.0,338976000.0,349677213000.0,4877050000.0,40897357000.0,33206183000.0,-1682318000.0,-996190000.0,10369682000.0,,170325099000.0,13423365000.0,125031392000.0,125031392000.0,197254767000.0,105184529000.0,43452397000.0,2618738000.0,2618738000.0,4724567000.0,452340000.0,4272227000.0,54388827000.0,5008711000.0,49380116000.0,92070238000.0,5237080000.0,3127957000.0,3127957000.0,30597621000.0,523373000.0,30074248000.0,12484248000.0,17590000000.0,53107580000.0,53107580000.0,38568743000.0,,6168142000.0,8370695000.0,547270956000.0,327990734000.0,5099190000.0,2733780000.0,5081978000.0,5081978000.0,70890494000.0,27726890000.0,11570850000.0,16156040000.0,43163604000.0,3982402000.0,3974788000.0,7614000.0,240202890000.0,-918597903000.0,1158800793000.0,65076000.0,87853501000.0,1658000.0,1022416827000.0,40972191000.0,7491540000.0,0.0,219280222000.0,985762000.0,1943208000.0,36560576000.0,1888356000.0,17096546000.0,17575674000.0,33939144000.0,2746623000.0,700266000.0,87405000.0,615000.0,31104501000.0,-148335000.0,31252836000.0,145851532000.0,5209982000.0,140641550000.0,95646446000.0,44995104000.0,2023-09-30,
0.0,12529822160.0,12529822160.0,64159086000.0,339003554000.0,402142008000.0,114900242000.0,339003554000.0,5393187000.0,343376109000.0,388612008000.0,343716968000.0,340859000.0,343376109000.0,2373830000.0,33665010000.0,33206183000.0,-8439670000.0,-1991331000.0,10889828000.0,9803778000.0,176391220000.0,15451605000.0,125298222000.0,125298222000.0,202859864000.0,100962714000.0,42580263000.0,2205085000.0,,6062604000.0,430640000.0,5631964000.0,50114762000.0,4878863000.0,45235899000.0,101897150000.0,22668951000.0,3250712000.0,3250712000.0,14044324000.0,514324000.0,13530000000.0,,13530000000.0,61933163000.0,61933163000.0,44867240000.0,,9539764000.0,7526159000.0,546576832000.0,329779440000.0,5084533000.0,2708823000.0,5130411000.0,5130411000.0,61633932000.0,28848132000.0,12153272000.0,16694860000.0,32785800000.0,4372555000.0,4364941000.0,7614000.0,250849186000.0,-917911788000.0,1168760974000.0,65823000.0,87084234000.0,1706000.0,1033352921000.0,40967263000.0,7289027000.0,0.0,216797392000.0,2319597000.0,,35712558000.0,2713300000.0,15560517000.0,17438741000.0,33162565000.0,3446928000.0,,130123000.0,,29585514000.0,-79062000.0,29664576000.0,144881672000.0,12328057000.0,132553615000.0,82224473000.0,50329142000.0,2023-12-31,721000000.0
