tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,other_special_charges,impairment_of_capital_assets,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-250545454.545455,0.181818,5699000000.0,-1378000000.0,-1378000000.0,-2101000000.0,6304000000.0,2819000000.0,4321000000.0,-1983000000.0,-558000000.0,558000000.0,,-973545454.545455,-2101000000.0,11634000000.0,-1894000000.0,,,,,-2101000000.0,0.0,-2101000000.0,0.0,-2101000000.0,-22000000.0,-2079000000.0,-2079000000.0,-462000000.0,-2541000000.0,-1357000000.0,46000000.0,-1214000000.0,101000000.0,,,1198000000.0,-25000000.0,-164000000.0,-558000000.0,558000000.0,,-626000000.0,4680000000.0,2169000000.0,2169000000.0,2511000000.0,4054000000.0,6954000000.0,11008000000.0,10689000000.0,2022-12-31
-36663974.151858,0.14378,6369000000.0,-255000000.0,-255000000.0,-1069000000.0,6781000000.0,1962000000.0,6114000000.0,-667000000.0,-515000000.0,571000000.0,56000000.0,-850663974.151858,-1069000000.0,11131000000.0,-557000000.0,2432000000.0,2432000000.0,-0.44,-0.44,-1069000000.0,0.0,-1069000000.0,,-1069000000.0,-9000000.0,-1060000000.0,-1060000000.0,-178000000.0,-1238000000.0,-292000000.0,,-126000000.0,,,31000000.0,95000000.0,-37000000.0,-129000000.0,-515000000.0,571000000.0,56000000.0,-431000000.0,4446000000.0,2058000000.0,2058000000.0,2388000000.0,4015000000.0,6685000000.0,10700000000.0,10415000000.0,2023-03-31
-30216216.216216,0.175676,5818000000.0,-172000000.0,-172000000.0,-1240000000.0,6552000000.0,1998000000.0,5646000000.0,-906000000.0,-574000000.0,574000000.0,,-1098216216.216216,-1240000000.0,11112000000.0,-906000000.0,2437000000.0,2437000000.0,-0.51,-0.51,-1240000000.0,,-1240000000.0,,-1240000000.0,-20000000.0,-1220000000.0,-1220000000.0,-260000000.0,-1480000000.0,-152000000.0,42000000.0,-157000000.0,0.0,5000000.0,6000000.0,146000000.0,-22000000.0,-15000000.0,-574000000.0,574000000.0,,-754000000.0,4476000000.0,1914000000.0,1914000000.0,2562000000.0,3722000000.0,6636000000.0,10358000000.0,10100000000.0,2023-06-30
-84116541.353383,0.234962,5575000000.0,-358000000.0,-358000000.0,-417000000.0,5175000000.0,2123000000.0,5217000000.0,42000000.0,-531000000.0,574000000.0,43000000.0,-143116541.353383,-417000000.0,9589000000.0,97000000.0,2438000000.0,2438000000.0,-0.17,-0.17,-417000000.0,,-417000000.0,,-417000000.0,-10000000.0,-407000000.0,-407000000.0,-125000000.0,-532000000.0,-391000000.0,-19000000.0,-271000000.0,0.0,-22000000.0,24000000.0,269000000.0,-14000000.0,-87000000.0,-531000000.0,574000000.0,43000000.0,390000000.0,4280000000.0,1989000000.0,1989000000.0,2291000000.0,4670000000.0,5309000000.0,9979000000.0,9662000000.0,2023-09-30
-14781402.936378,0.360522,5431000000.0,-41000000.0,-41000000.0,-400000000.0,5501000000.0,2419000000.0,5390000000.0,-111000000.0,-451000000.0,502000000.0,51000000.0,-373781402.936378,-400000000.0,10375000000.0,-182000000.0,,,,,-400000000.0,,-400000000.0,,-400000000.0,-8000000.0,-392000000.0,-392000000.0,-221000000.0,-613000000.0,-71000000.0,-21000000.0,-91000000.0,,0.0,16000000.0,75000000.0,-9000000.0,50000000.0,-451000000.0,502000000.0,51000000.0,-91000000.0,4479000000.0,2024000000.0,2024000000.0,2455000000.0,4388000000.0,5896000000.0,10284000000.0,9963000000.0,2023-12-31
