free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_capital_stock,capital_expenditure,interest_paid_supplemental_data,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,cash_dividends_paid,common_stock_dividend_paid,net_common_stock_issuance,common_stock_payments,common_stock_issuance,net_issuance_payments_of_debt,net_short_term_debt_issuance,short_term_debt_payments,net_long_term_debt_issuance,long_term_debt_payments,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_business_purchase_and_sale,purchase_of_business,capital_expenditure_reported,operating_cash_flow,cash_flow_from_continuing_operating_activities,dividend_received_cfo,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_other_current_assets,other_non_cash_items,stock_based_compensation,depreciation_amortization_depletion,depreciation_and_amortization,operating_gains_losses,earnings_losses_from_equity_investments,net_income_from_continuing_operations,date
213000000.0,,-1000000.0,0.0,-147000000.0,,,874000000.0,1074000000.0,1000000.0,-201000000.0,-115000000.0,-115000000.0,-2000000.0,-85000000.0,-85000000.0,-27000000.0,,0.0,-1000000.0,,,-684000000.0,-684000000.0,-446000000.0,-446000000.0,2000000.0,-301000000.0,-301000000.0,-147000000.0,360000000.0,360000000.0,7000000.0,7000000.0,-17000000.0,11000000.0,13000000.0,4000000.0,7000000.0,166000000.0,166000000.0,0.0,0.0,149000000.0,2022-12-31
162000000.0,-50000000.0,0.0,,-146000000.0,40000000.0,,770000000.0,874000000.0,1000000.0,-105000000.0,-308000000.0,-308000000.0,-30000000.0,-228000000.0,-228000000.0,-50000000.0,-50000000.0,,0.0,0.0,0.0,,,-105000000.0,-105000000.0,41000000.0,,,-146000000.0,308000000.0,308000000.0,7000000.0,-127000000.0,-88000000.0,-42000000.0,3000000.0,-36000000.0,7000000.0,169000000.0,169000000.0,-3000000.0,-7000000.0,291000000.0,2023-03-31
335000000.0,0.0,-1000000.0,,-177000000.0,50000000.0,,1025000000.0,770000000.0,1000000.0,254000000.0,-88000000.0,-88000000.0,-2000000.0,-85000000.0,-85000000.0,0.0,0.0,,-1000000.0,0.0,0.0,,,-170000000.0,-170000000.0,7000000.0,,,-177000000.0,512000000.0,512000000.0,11000000.0,62000000.0,91000000.0,-42000000.0,13000000.0,55000000.0,6000000.0,168000000.0,168000000.0,-4000000.0,-4000000.0,214000000.0,2023-06-30
165000000.0,-100000000.0,-1000000.0,,-149000000.0,39000000.0,3000000.0,1139000000.0,1025000000.0,-2000000.0,116000000.0,-210000000.0,-210000000.0,-2000000.0,-107000000.0,-107000000.0,-100000000.0,-100000000.0,,-1000000.0,,,-1000000.0,-1000000.0,12000000.0,12000000.0,161000000.0,,,-149000000.0,314000000.0,314000000.0,2000000.0,-4000000.0,,12000000.0,-29000000.0,19000000.0,6000000.0,174000000.0,174000000.0,4000000.0,4000000.0,113000000.0,2023-09-30
133000000.0,-32000000.0,-5000000.0,1000000.0,-174000000.0,,,1363000000.0,1139000000.0,2000000.0,222000000.0,-165000000.0,-165000000.0,-2000000.0,-127000000.0,-127000000.0,-31000000.0,-32000000.0,1000000.0,-5000000.0,,,-5000000.0,-5000000.0,80000000.0,80000000.0,249000000.0,,,-174000000.0,307000000.0,307000000.0,11000000.0,-45000000.0,,1000000.0,10000000.0,-17000000.0,11000000.0,186000000.0,186000000.0,1000000.0,1000000.0,134000000.0,2023-12-31
