tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,write_off,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
120000.0,0.04,2936000000.0,3000000.0,3000000.0,2273000000.0,398000000.0,4044000000.0,2939000000.0,2541000000.0,-115000000.0,170000000.0,55000000.0,2270120000.0,2235000000.0,6998000000.0,2465000000.0,1131000000.0,1122000000.0,1.98,1.99,2235000000.0,2235000000.0,2235000000.0,2235000000.0,-38000000.0,2273000000.0,98000000.0,2371000000.0,21000000.0,26000000.0,-14000000.0,,14000000.0,-8000000.0,17000000.0,-115000000.0,170000000.0,55000000.0,2465000000.0,2954000000.0,80000000.0,2251000000.0,623000000.0,5419000000.0,4044000000.0,9463000000.0,9463000000.0,2022-12-31
-7800000.0,0.1,2622000000.0,-78000000.0,-78000000.0,1702000000.0,470000000.0,4153000000.0,2544000000.0,2074000000.0,-120000000.0,179000000.0,59000000.0,1772200000.0,1704000000.0,7185000000.0,2090000000.0,1123000000.0,1116000000.0,1.52,1.53,1704000000.0,1704000000.0,1704000000.0,1704000000.0,2000000.0,1702000000.0,193000000.0,1895000000.0,-75000000.0,3000000.0,-87000000.0,,87000000.0,,9000000.0,-120000000.0,179000000.0,59000000.0,2090000000.0,3032000000.0,208000000.0,2210000000.0,614000000.0,5122000000.0,4153000000.0,9275000000.0,9275000000.0,2023-03-31
-210000.0,0.01,2429000000.0,-21000000.0,-21000000.0,1735000000.0,479000000.0,3792000000.0,2408000000.0,1929000000.0,-93000000.0,172000000.0,79000000.0,1755790000.0,1803000000.0,6632000000.0,1823000000.0,1124000000.0,1115000000.0,1.6,1.62,1803000000.0,1803000000.0,1803000000.0,1803000000.0,68000000.0,1735000000.0,22000000.0,1757000000.0,31000000.0,52000000.0,-15000000.0,-4000000.0,19000000.0,,-6000000.0,-93000000.0,172000000.0,79000000.0,1819000000.0,2840000000.0,,2222000000.0,618000000.0,4659000000.0,3792000000.0,8451000000.0,8451000000.0,2023-06-30
71610000.0,0.21,1714000000.0,341000000.0,341000000.0,1629000000.0,462000000.0,3880000000.0,2055000000.0,1593000000.0,-53000000.0,173000000.0,120000000.0,1359610000.0,1490000000.0,7506000000.0,1410000000.0,1125000000.0,1116000000.0,1.32,1.33,1490000000.0,1490000000.0,1490000000.0,1490000000.0,-139000000.0,1629000000.0,-209000000.0,1420000000.0,348000000.0,7000000.0,273000000.0,,12000000.0,,68000000.0,-53000000.0,173000000.0,120000000.0,1125000000.0,3626000000.0,,2135000000.0,629000000.0,4751000000.0,3880000000.0,8631000000.0,8631000000.0,2023-09-30
-150000.0,0.05,3580000000.0,-3000000.0,-3000000.0,2811000000.0,437000000.0,4312000000.0,3577000000.0,3140000000.0,-29000000.0,178000000.0,149000000.0,2813850000.0,2767000000.0,7007000000.0,2928000000.0,1127000000.0,1116000000.0,2.46,2.48,2767000000.0,2767000000.0,2767000000.0,2767000000.0,-44000000.0,2811000000.0,151000000.0,2962000000.0,63000000.0,66000000.0,-12000000.0,,12000000.0,,9000000.0,-29000000.0,178000000.0,149000000.0,2928000000.0,2695000000.0,-28000000.0,2096000000.0,627000000.0,5623000000.0,4312000000.0,9935000000.0,9935000000.0,2023-12-31
