tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,restructuring_and_mergern_acquisition,earnings_from_equity_interest,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
3656804.733728,0.011834,778000000.0,309000000.0,309000000.0,668000000.0,409000000.0,1479000000.0,1087000000.0,678000000.0,-2000000.0,2000000.0,,362656804.733728,668000000.0,1719000000.0,288000000.0,554000000.0,546000000.0,1.21,1.22,668000000.0,668000000.0,668000000.0,0.0,668000000.0,668000000.0,8000000.0,676000000.0,296000000.0,-13000000.0,309000000.0,403000000.0,94000000.0,-3000000.0,-2000000.0,,2000000.0,,382000000.0,240000000.0,110000000.0,130000000.0,622000000.0,1479000000.0,2101000000.0,2101000000.0,2022-12-31
415000.0,0.083,1073000000.0,5000000.0,5000000.0,254000000.0,343000000.0,1326000000.0,1078000000.0,735000000.0,1000000.0,,1000000.0,249415000.0,254000000.0,1106000000.0,290000000.0,555000000.0,550000000.0,0.46,0.46,254000000.0,254000000.0,254000000.0,0.0,254000000.0,254000000.0,23000000.0,727000000.0,-9000000.0,-15000000.0,5000000.0,,-5000000.0,1000000.0,1000000.0,,,1000000.0,735000000.0,-220000000.0,-109000000.0,-111000000.0,515000000.0,1326000000.0,1841000000.0,1841000000.0,2023-03-31
-2007547.169811,0.10566,653000000.0,-19000000.0,-19000000.0,240000000.0,340000000.0,1313000000.0,634000000.0,294000000.0,0.0,0.0,,256992452.830189,240000000.0,1551000000.0,275000000.0,556000000.0,552000000.0,0.43,0.43,240000000.0,240000000.0,240000000.0,3000000.0,237000000.0,237000000.0,28000000.0,265000000.0,-29000000.0,-11000000.0,-19000000.0,,19000000.0,1000000.0,0.0,,0.0,,294000000.0,238000000.0,106000000.0,132000000.0,532000000.0,1313000000.0,1845000000.0,1845000000.0,2023-06-30
-3570000.0,0.21,661000000.0,-17000000.0,-17000000.0,249000000.0,366000000.0,1323000000.0,644000000.0,278000000.0,3000000.0,,,262430000.0,249000000.0,1574000000.0,261000000.0,556000000.0,553000000.0,0.45,0.45,249000000.0,249000000.0,249000000.0,0.0,249000000.0,249000000.0,-6000000.0,243000000.0,-38000000.0,-21000000.0,-17000000.0,,17000000.0,0.0,3000000.0,-3000000.0,,,278000000.0,251000000.0,108000000.0,143000000.0,529000000.0,1323000000.0,1852000000.0,1852000000.0,2023-09-30
,,,,,,,,,,,,,,,,,557000000.0,553000000.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-31
