tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-28264864.864865,0.17027,1691000000.0,-166000000.0,-166000000.0,921000000.0,326000000.0,3712000000.0,1525000000.0,1199000000.0,-5000000.0,89000000.0,84000000.0,1058735135.135135,921000000.0,6114000000.0,1244000000.0,,,,,921000000.0,921000000.0,921000000.0,921000000.0,921000000.0,189000000.0,1110000000.0,-154000000.0,12000000.0,-25000000.0,25000000.0,-141000000.0,-5000000.0,89000000.0,84000000.0,1269000000.0,2402000000.0,541000000.0,822000000.0,1039000000.0,524000000.0,515000000.0,515000000.0,3671000000.0,3712000000.0,7383000000.0,7383000000.0,2022-12-31
-30160000.0,0.26,1547000000.0,-116000000.0,-116000000.0,795000000.0,270000000.0,3725000000.0,1431000000.0,1161000000.0,21000000.0,87000000.0,108000000.0,880840000.0,795000000.0,5877000000.0,999000000.0,1134000000.0,1129000000.0,0.7,0.7,795000000.0,795000000.0,795000000.0,795000000.0,795000000.0,279000000.0,1074000000.0,-110000000.0,6000000.0,-164000000.0,164000000.0,48000000.0,21000000.0,87000000.0,108000000.0,1163000000.0,2152000000.0,488000000.0,721000000.0,943000000.0,436000000.0,507000000.0,507000000.0,3315000000.0,3725000000.0,7040000000.0,7040000000.0,2023-03-31
22890000.0,0.21,1550000000.0,109000000.0,109000000.0,1029000000.0,269000000.0,3939000000.0,1659000000.0,1390000000.0,29000000.0,87000000.0,116000000.0,942890000.0,1029000000.0,6130000000.0,1133000000.0,1114000000.0,1111000000.0,0.92,0.93,1029000000.0,1029000000.0,1029000000.0,1029000000.0,1029000000.0,274000000.0,1303000000.0,117000000.0,8000000.0,-24000000.0,24000000.0,133000000.0,29000000.0,87000000.0,116000000.0,1157000000.0,2191000000.0,492000000.0,743000000.0,956000000.0,465000000.0,491000000.0,491000000.0,3348000000.0,3939000000.0,7287000000.0,7287000000.0,2023-06-30
-2700000.0,0.18,1612000000.0,-15000000.0,-15000000.0,1020000000.0,270000000.0,4049000000.0,1597000000.0,1327000000.0,38000000.0,86000000.0,124000000.0,1032300000.0,1020000000.0,6211000000.0,1168000000.0,1098000000.0,1094000000.0,0.93,0.93,1020000000.0,1020000000.0,1020000000.0,1020000000.0,1020000000.0,221000000.0,1241000000.0,-4000000.0,11000000.0,-39000000.0,39000000.0,24000000.0,38000000.0,86000000.0,124000000.0,1207000000.0,2162000000.0,474000000.0,739000000.0,949000000.0,442000000.0,507000000.0,507000000.0,3369000000.0,4049000000.0,7418000000.0,7418000000.0,2023-09-30
66947573.898494,0.21807,1836000000.0,307000000.0,307000000.0,1402000000.0,263000000.0,4354000000.0,2143000000.0,1880000000.0,45000000.0,87000000.0,132000000.0,1161947573.898494,1402000000.0,6609000000.0,1728000000.0,,,,,1402000000.0,1402000000.0,1402000000.0,1402000000.0,1402000000.0,391000000.0,1793000000.0,331000000.0,24000000.0,311000000.0,-311000000.0,-4000000.0,45000000.0,87000000.0,132000000.0,1417000000.0,2255000000.0,465000000.0,770000000.0,1020000000.0,466000000.0,554000000.0,554000000.0,3672000000.0,4354000000.0,8026000000.0,8026000000.0,2023-12-31
