treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,unrealized_gain_loss,retained_earnings,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_taxes_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,other_payable,dividends_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,duefrom_related_parties_non_current,non_current_accounts_receivable,investments_and_advances,other_investments,long_term_equity_investment,investmentsin_joint_venturesat_cost,investment_properties,goodwill_and_other_intangible_assets,other_intangible_assets,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,current_assets,other_current_assets,restricted_cash,inventory,receivables,duefrom_related_parties_current,taxes_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date
,683509869.0,683509869.0,16631968000.0,18958671000.0,-11912286000.0,45832986000.0,627322000.0,-11912286000.0,459218000.0,27333533000.0,43703588000.0,27333533000.0,27333533000.0,12333533000.0,12333533000.0,,,15000000000.0,15000000000.0,29874232000.0,23216890000.0,3318241000.0,2150191000.0,2150191000.0,349001000.0,349001000.0,16712711000.0,342656000.0,16370055000.0,686746000.0,6657342000.0,799466000.0,,,2245960000.0,116562000.0,2129398000.0,2129398000.0,,924038000.0,2687878000.0,1240229000.0,741725000.0,1447649000.0,723242000.0,,293461000.0,,430946000.0,57207765000.0,49923101000.0,325648000.0,950950000.0,9780152000.0,110765000.0,,110765000.0,,46726000.0,39245819000.0,39245819000.0,413991000.0,-455592000.0,869583000.0,11711000.0,857872000.0,7284664000.0,66312000.0,37474000.0,124247000.0,3511273000.0,205793000.0,242906000.0,3062574000.0,3545358000.0,1677873000.0,1867485000.0,1727641000.0,139844000.0,2022-12-31
,683509869.0,683509869.0,17459473000.0,18295923000.0,-11663456000.0,46376668000.0,239961000.0,-11663456000.0,,28080745000.0,44399852000.0,28080745000.0,28080745000.0,12333533000.0,12333533000.0,,747212000.0,15000000000.0,15000000000.0,28846046000.0,22682251000.0,3128356000.0,2143788000.0,2143788000.0,352837000.0,352837000.0,16319107000.0,,16319107000.0,738163000.0,6163795000.0,838145000.0,,,1976816000.0,,1976816000.0,,,911048000.0,2437786000.0,495529000.0,,1942257000.0,604532000.0,741725000.0,338254000.0,,257746000.0,56926791000.0,50523035000.0,185040000.0,958670000.0,10032659000.0,149551000.0,,149551000.0,,46714000.0,39744201000.0,,364870000.0,,,,,6403756000.0,93173000.0,48301000.0,117296000.0,3659223000.0,198687000.0,266437000.0,3194099000.0,2485763000.0,1649313000.0,836450000.0,,,2023-03-31
,683509869.0,683509869.0,16971708000.0,18705189000.0,-11651821000.0,47046442000.0,-187766000.0,-11651821000.0,406308000.0,28747561000.0,44563155000.0,28747561000.0,28747561000.0,12256606000.0,1866071000.0,10390535000.0,1490955000.0,15000000000.0,15000000000.0,28706060000.0,22256087000.0,3080458000.0,2279041000.0,2135644000.0,305405000.0,305405000.0,16126235000.0,310641000.0,15815594000.0,464948000.0,6449973000.0,873051000.0,35905000.0,35905000.0,2578954000.0,95667000.0,2483287000.0,2483287000.0,1397414000.0,486107000.0,1078542000.0,900340000.0,,1078542000.0,588456000.0,709000.0,232698000.0,112882000.0,256679000.0,57453621000.0,51191414000.0,377097000.0,951059000.0,9842117000.0,154907000.0,32247000.0,122660000.0,122660000.0,46702000.0,40399382000.0,40399382000.0,371209000.0,-368169000.0,739378000.0,,739378000.0,6262207000.0,82032000.0,37873000.0,120614000.0,3765337000.0,219803000.0,244820000.0,3300714000.0,2256351000.0,929178000.0,1327173000.0,1207475000.0,119698000.0,2023-06-30
0.0,683509869.0,683509869.0,17410002000.0,19002890000.0,-12231592000.0,48596746000.0,60664000.0,-12231592000.0,,29593856000.0,45944596000.0,29593856000.0,29593856000.0,12256606000.0,12256606000.0,,2337250000.0,15000000000.0,15000000000.0,29388038000.0,22328786000.0,2915925000.0,2126918000.0,2126918000.0,232062000.0,232062000.0,16350740000.0,,16350740000.0,703141000.0,7059252000.0,897547000.0,,,2652150000.0,,2652150000.0,,,1014493000.0,2495062000.0,909606000.0,,1585456000.0,756547000.0,553000.0,310157000.0,,518199000.0,58981894000.0,51861978000.0,369520000.0,941047000.0,9045529000.0,156367000.0,,156367000.0,,46690000.0,41825448000.0,,418424000.0,,,,,7119916000.0,81746000.0,53736000.0,120608000.0,3889370000.0,232797000.0,262742000.0,3393831000.0,2974456000.0,1381568000.0,1592888000.0,,,2023-09-30
