tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,other_taxes,provision_for_doubtful_accounts,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,excise_taxes,operating_revenue,date
19062780.0,0.34,1574421000.0,56067000.0,56067000.0,642210000.0,649227000.0,3268519000.0,1630488000.0,981261000.0,-562738000.0,410665000.0,-7782000.0,605205780.0,642210000.0,4862027000.0,6784915000.0,,,,,642210000.0,642210000.0,642210000.0,642210000.0,642210000.0,-71614000.0,570596000.0,63170000.0,7103000.0,56067000.0,-562738000.0,144291000.0,410665000.0,-7782000.0,1070164000.0,927005000.0,-6198000.0,18878000.0,215609000.0,-17276000.0,-17276000.0,715992000.0,528094000.0,187898000.0,320868000.0,-132970000.0,1997169000.0,3935022000.0,5932191000.0,406257000.0,6338448000.0,2022-12-31
84032360.0,0.34,1882703000.0,247154000.0,247154000.0,747212000.0,657145000.0,3030041000.0,2129857000.0,1472712000.0,-506682000.0,339767000.0,66560000.0,584090360.0,747212000.0,4312230000.0,-652173000.0,683509869.0,683509869.0,1.0932,1.0932,747212000.0,747212000.0,747212000.0,747212000.0,747212000.0,385733000.0,1132945000.0,253488000.0,6334000.0,247154000.0,-506682000.0,233475000.0,339767000.0,66560000.0,1386139000.0,658507000.0,-14634000.0,21790000.0,162805000.0,33463000.0,33463000.0,455083000.0,225657000.0,229426000.0,141462000.0,87964000.0,2044646000.0,3653723000.0,5698369000.0,370298000.0,6068667000.0,2023-03-31
106600678.478361,0.296254,1689322000.0,359829000.0,359829000.0,743743000.0,670771000.0,3591217000.0,2049151000.0,1378380000.0,-373876000.0,321546000.0,68787000.0,490514678.478361,743743000.0,5093703000.0,1060834000.0,683509869.0,683509869.0,1.08812,1.08812,743743000.0,743743000.0,743743000.0,743743000.0,743743000.0,313091000.0,1056834000.0,369876000.0,10047000.0,359829000.0,-373876000.0,121117000.0,321546000.0,68787000.0,1060834000.0,883028000.0,-50487000.0,19315000.0,217426000.0,51313000.0,51313000.0,645461000.0,132254000.0,513207000.0,191367000.0,321840000.0,1943862000.0,4210675000.0,6154537000.0,300973000.0,6455510000.0,2023-06-30
-16739309.99359,0.337615,2464976000.0,-49581000.0,-49581000.0,846295000.0,713461000.0,3944519000.0,2415395000.0,1701934000.0,-379339000.0,,,879136690.00641,846295000.0,4751312000.0,,682495968.0,682495968.0,1.24,1.24,846295000.0,846295000.0,846295000.0,846295000.0,846295000.0,431354000.0,1277649000.0,-44946000.0,4635000.0,-49581000.0,-379339000.0,379339000.0,,,1701934000.0,806793000.0,-6028000.0,,156664000.0,,,656157000.0,237074000.0,419083000.0,419083000.0,,2508727000.0,3944519000.0,6453246000.0,,6453246000.0,2023-09-30
