tax_effect_of_unusual_items,tax_rate_for_calcs,net_income_from_continuing_operation_net_minority_interest,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_operating_expenses,total_revenue,operating_revenue,date
0.0,0.21,-9500000.0,-9500000.0,-9500000.0,3117100000.0,,,,,-9500000.0,-9500000.0,-9500000.0,-25000000.0,15500000.0,15500000.0,-10600000.0,4900000.0,1196900000.0,3122000000.0,3122000000.0,2022-12-31
0.0,0.37,-140100000.0,-140100000.0,-140100000.0,3031500000.0,243400000.0,243400000.0,-0.58,-0.58,-140100000.0,-140100000.0,-140100000.0,-5600000.0,-134500000.0,-134500000.0,-78000000.0,-212500000.0,1242900000.0,2819000000.0,2819000000.0,2023-03-31
0.0,0.13,388800000.0,388800000.0,388800000.0,3103700000.0,242000000.0,242000000.0,1.58,1.6,388800000.0,388800000.0,388800000.0,-4900000.0,393700000.0,393700000.0,59900000.0,453600000.0,1252700000.0,3557300000.0,3557300000.0,2023-06-30
0.0,0.22,1246200000.0,1246200000.0,1246200000.0,2993800000.0,239657860.0,239657860.0,5.1,5.17,1246200000.0,1246200000.0,1246200000.0,-3900000.0,1250100000.0,1250100000.0,354800000.0,1604900000.0,1286100000.0,4598700000.0,4598700000.0,2023-09-30
0.0,0.242052,-871700000.0,-871700000.0,-871700000.0,3798000000.0,,,,,-871700000.0,-871700000.0,-871700000.0,-32500000.0,-839200000.0,-839200000.0,-268000000.0,-1107200000.0,1290400000.0,2690800000.0,2690800000.0,2023-12-31
