tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.168339,46211000.0,37868000.0,1506000.0,90006000.0,46211000.0,44705000.0,37868000.0,37868000.0,153398000.0,44705000.0,63028000.0,62327000.0,0.6,0.61,37868000.0,37868000.0,37868000.0,37868000.0,37868000.0,7665000.0,45533000.0,232000.0,232000.0,44705000.0,63392000.0,1506000.0,1506000.0,27123000.0,34763000.0,16656000.0,18107000.0,18107000.0,108097000.0,90006000.0,198103000.0,198103000.0,2022-12-31
0.0,0.179,48572000.0,38791000.0,1487000.0,103629000.0,48572000.0,47085000.0,38791000.0,38791000.0,173928000.0,47085000.0,62767000.0,62211000.0,0.62,0.62,38791000.0,38791000.0,38791000.0,38791000.0,38791000.0,8437000.0,47228000.0,143000.0,143000.0,47085000.0,70299000.0,1487000.0,1487000.0,30794000.0,38018000.0,18065000.0,19953000.0,19953000.0,117384000.0,103629000.0,221013000.0,221013000.0,2023-03-31
0.0,0.231,51803000.0,39620000.0,1320000.0,108813000.0,51803000.0,50483000.0,39620000.0,39620000.0,180533000.0,50483000.0,62432000.0,61862000.0,0.63,0.64,39620000.0,39620000.0,39620000.0,39620000.0,39620000.0,11904000.0,51524000.0,1041000.0,1041000.0,50483000.0,71720000.0,1320000.0,1320000.0,31600000.0,38800000.0,18563000.0,20237000.0,20237000.0,122203000.0,108813000.0,231016000.0,231016000.0,2023-06-30
0.0,0.104,54888000.0,49421000.0,1440000.0,111439000.0,54888000.0,53448000.0,49421000.0,49421000.0,184993000.0,53448000.0,62310000.0,61639000.0,0.79,0.8,49421000.0,49421000.0,49421000.0,49421000.0,49421000.0,5766000.0,55187000.0,1739000.0,1739000.0,53448000.0,73554000.0,1440000.0,1440000.0,33093000.0,39021000.0,17650000.0,21371000.0,21371000.0,127002000.0,111439000.0,238441000.0,238441000.0,2023-09-30
0.0,0.184089,60370000.0,48736000.0,1505000.0,106733000.0,60370000.0,58865000.0,48736000.0,48736000.0,179390000.0,58865000.0,62555000.0,61566000.0,0.78,0.79,48736000.0,48736000.0,48736000.0,48736000.0,48736000.0,10996000.0,59732000.0,-4437000.0,-4437000.0,58865000.0,72657000.0,1505000.0,1505000.0,31327000.0,39825000.0,20212000.0,19613000.0,19613000.0,131522000.0,106733000.0,238255000.0,238255000.0,2023-12-31
0.0,0.082301,59123000.0,53801000.0,1493000.0,119287000.0,59123000.0,57630000.0,53801000.0,53801000.0,196922000.0,57630000.0,62493000.0,61625000.0,0.86,0.87,53801000.0,53801000.0,53801000.0,53801000.0,53801000.0,4825000.0,58626000.0,996000.0,996000.0,57630000.0,77635000.0,1493000.0,1493000.0,35010000.0,41132000.0,19929000.0,21203000.0,21203000.0,135265000.0,119287000.0,254552000.0,254552000.0,2024-03-31
