tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.23049,172185000.0,97204000.0,25807000.0,369255000.0,172185000.0,146378000.0,-3205000.0,3205000.0,97204000.0,97204000.0,463140000.0,146498000.0,138478000.0,136536000.0,0.7,0.71,97204000.0,97204000.0,97204000.0,-12969000.0,110173000.0,110173000.0,33000000.0,143173000.0,-120000.0,-120000.0,-3205000.0,3205000.0,146498000.0,93885000.0,93885000.0,240383000.0,369255000.0,609638000.0,609638000.0,2022-10-31
0.0,0.169,157133000.0,93027000.0,27060000.0,377116000.0,157133000.0,130073000.0,-6068000.0,6068000.0,93027000.0,93027000.0,491481000.0,129434000.0,138579000.0,136655000.0,0.67,0.68,93027000.0,93027000.0,93027000.0,-9978000.0,103005000.0,103005000.0,21000000.0,124005000.0,639000.0,639000.0,-6068000.0,6068000.0,129434000.0,114365000.0,114365000.0,243799000.0,377116000.0,620915000.0,620915000.0,2023-01-31
0.0,0.212,187157000.0,105120000.0,29724000.0,421329000.0,187157000.0,157433000.0,-11373000.0,11373000.0,105120000.0,105120000.0,530751000.0,157090000.0,138600000.0,136916000.0,0.76,0.77,105120000.0,105120000.0,105120000.0,-9940000.0,115060000.0,115060000.0,31000000.0,146060000.0,343000.0,343000.0,-11373000.0,11373000.0,157090000.0,109422000.0,109422000.0,266512000.0,421329000.0,687841000.0,687841000.0,2023-04-30
0.0,0.184,179804000.0,102023000.0,29531000.0,444168000.0,179804000.0,150273000.0,-12120000.0,12120000.0,102023000.0,102023000.0,573535000.0,149367000.0,138668000.0,137006000.0,0.74,0.74,102023000.0,102023000.0,102023000.0,-10730000.0,112753000.0,112753000.0,25400000.0,138153000.0,906000.0,906000.0,-12120000.0,12120000.0,149367000.0,129367000.0,129367000.0,278734000.0,444168000.0,722902000.0,722902000.0,2023-07-31
0.0,0.22779,234216000.0,103426000.0,43728000.0,572004000.0,234216000.0,190488000.0,-43423000.0,43423000.0,103426000.0,103426000.0,746999000.0,189448000.0,139774000.0,138162000.0,0.74,0.75,103426000.0,103426000.0,103426000.0,-10139000.0,113565000.0,113565000.0,33500000.0,147065000.0,1040000.0,1040000.0,-43423000.0,43423000.0,189448000.0,174995000.0,174995000.0,364443000.0,572004000.0,936447000.0,936447000.0,2023-10-31
0.0,0.118075,224394000.0,114698000.0,43505000.0,549594000.0,224394000.0,180889000.0,-38607000.0,38607000.0,114698000.0,114698000.0,716153000.0,180210000.0,139893000.0,138265000.0,0.82,0.83,114698000.0,114698000.0,114698000.0,-10784000.0,125482000.0,125482000.0,16800000.0,142282000.0,679000.0,679000.0,-38607000.0,38607000.0,180210000.0,166559000.0,166559000.0,346769000.0,549594000.0,896363000.0,896363000.0,2024-01-31
