treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,preferred_securities_outside_stock_equity,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,line_of_credit,commercial_paper,current_notes_payable,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,long_term_equity_investment,investments_in_other_ventures_under_equity_method,investmentsin_associatesat_cost,investmentsin_subsidiariesat_cost,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,land_and_improvements,current_assets,other_current_assets,hedging_assets_current,restricted_cash,inventory,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
,2247681626.0,2247681626.0,31043000000.0,31788000000.0,8968000000.0,62530000000.0,-3127000000.0,8968000000.0,30742000000.0,59145000000.0,32114000000.0,1372000000.0,30742000000.0,-402000000.0,-402000000.0,-10551000000.0,41673000000.0,22000000.0,22000000.0,37964000000.0,31034000000.0,2008000000.0,109000000.0,623000000.0,623000000.0,28403000000.0,28403000000.0,6930000000.0,1322000000.0,3385000000.0,3385000000.0,3385000000.0,,,,2223000000.0,515000000.0,515000000.0,1708000000.0,264000000.0,1444000000.0,70078000000.0,66275000000.0,1249000000.0,0.0,0.0,7653000000.0,7653000000.0,347000000.0,6927000000.0,379000000.0,21774000000.0,1809000000.0,19965000000.0,35599000000.0,-20412000000.0,56011000000.0,1043000000.0,5624000000.0,1738000000.0,3803000000.0,304000000.0,231000000.0,49000000.0,634000000.0,1840000000.0,1840000000.0,-1000000.0,1841000000.0,745000000.0,745000000.0,2022-12-31
,2241158000.0,2241158000.0,31090000000.0,31506000000.0,9049000000.0,62263000000.0,-2079000000.0,9049000000.0,30757000000.0,60103000000.0,32114000000.0,1357000000.0,30757000000.0,-341000000.0,-341000000.0,-10499000000.0,41575000000.0,22000000.0,22000000.0,36817000000.0,32042000000.0,1865000000.0,109000000.0,831000000.0,831000000.0,29346000000.0,29346000000.0,4775000000.0,1177000000.0,2160000000.0,2160000000.0,2160000000.0,0.0,0.0,0.0,1438000000.0,351000000.0,351000000.0,1087000000.0,,1087000000.0,68931000000.0,66235000000.0,1272000000.0,1272000000.0,,7616000000.0,,,,,21708000000.0,1743000000.0,19965000000.0,35639000000.0,,,,,,2696000000.0,184000000.0,164000000.0,22000000.0,589000000.0,1321000000.0,1321000000.0,,,416000000.0,416000000.0,2023-03-31
,2228894500.0,2228894500.0,30895000000.0,31392000000.0,8908000000.0,61961000000.0,-2885000000.0,8908000000.0,30569000000.0,59201000000.0,31909000000.0,1340000000.0,30569000000.0,-290000000.0,-290000000.0,-10550000000.0,41387000000.0,22000000.0,22000000.0,37164000000.0,31561000000.0,1919000000.0,,1010000000.0,1010000000.0,28632000000.0,28632000000.0,5603000000.0,1190000000.0,2760000000.0,2760000000.0,2760000000.0,0.0,0.0,,1653000000.0,511000000.0,511000000.0,1142000000.0,,1142000000.0,69073000000.0,66355000000.0,1270000000.0,,,7665000000.0,,,,,21661000000.0,1696000000.0,19965000000.0,35759000000.0,,,,,,2718000000.0,192000000.0,153000000.0,23000000.0,569000000.0,1284000000.0,1284000000.0,,,497000000.0,497000000.0,2023-06-30
0.0,2227817827.0,2227817827.0,30921000000.0,31001000000.0,8641000000.0,61259000000.0,-3818000000.0,8641000000.0,30258000000.0,58129000000.0,31581000000.0,1323000000.0,30258000000.0,-418000000.0,-418000000.0,-10652000000.0,41306000000.0,22000000.0,22000000.0,37281000000.0,31030000000.0,2047000000.0,,1112000000.0,1112000000.0,27871000000.0,27871000000.0,6251000000.0,1304000000.0,3130000000.0,3130000000.0,2810000000.0,0.0,320000000.0,,1817000000.0,387000000.0,387000000.0,1430000000.0,,1430000000.0,68862000000.0,66429000000.0,1194000000.0,,,7674000000.0,,,,,21617000000.0,1652000000.0,19965000000.0,35944000000.0,,,,,,2433000000.0,190000000.0,79000000.0,17000000.0,565000000.0,1502000000.0,1502000000.0,,,80000000.0,80000000.0,2023-09-30
0.0,2219729644.0,2219729644.0,32033000000.0,32116000000.0,8228000000.0,62422000000.0,-4679000000.0,8228000000.0,30306000000.0,58373000000.0,31729000000.0,1423000000.0,30306000000.0,-217000000.0,-217000000.0,-10689000000.0,41190000000.0,22000000.0,22000000.0,39291000000.0,32070000000.0,2615000000.0,,1388000000.0,1388000000.0,28067000000.0,28067000000.0,7221000000.0,1021000000.0,4049000000.0,4049000000.0,2060000000.0,0.0,1989000000.0,,2151000000.0,513000000.0,513000000.0,1638000000.0,272000000.0,1366000000.0,71020000000.0,68478000000.0,1229000000.0,,,7874000000.0,7874000000.0,,,,22078000000.0,1957000000.0,20121000000.0,37297000000.0,-22075000000.0,59372000000.0,1045000000.0,5596000000.0,1917000000.0,2542000000.0,207000000.0,126000000.0,13000000.0,525000000.0,1588000000.0,1588000000.0,-1000000.0,1589000000.0,83000000.0,83000000.0,2023-12-31
,2219374654.0,2219374654.0,32027000000.0,32146000000.0,8371000000.0,62518000000.0,-2268000000.0,8371000000.0,30372000000.0,60543000000.0,31743000000.0,1371000000.0,30372000000.0,-276000000.0,-276000000.0,-10574000000.0,41200000000.0,22000000.0,22000000.0,38993000000.0,34418000000.0,2679000000.0,,1568000000.0,1568000000.0,30171000000.0,30171000000.0,4575000000.0,965000000.0,1975000000.0,1975000000.0,1450000000.0,0.0,525000000.0,,1635000000.0,365000000.0,365000000.0,1270000000.0,196000000.0,1074000000.0,70736000000.0,68429000000.0,1209000000.0,,,7906000000.0,,,,,22001000000.0,1907000000.0,20094000000.0,37313000000.0,,,,,,2307000000.0,157000000.0,55000000.0,24000000.0,548000000.0,1404000000.0,1404000000.0,,,119000000.0,119000000.0,2024-03-31
