tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_taxes,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
192771.084337,0.192771,617000000.0,1000000.0,1000000.0,134000000.0,314000000.0,1901000000.0,618000000.0,304000000.0,-138000000.0,138000000.0,133192771.084337,134000000.0,2357000000.0,354000000.0,,,,,122000000.0,122000000.0,12000000.0,134000000.0,134000000.0,0.0,134000000.0,32000000.0,166000000.0,-50000000.0,-51000000.0,0.0,0.0,1000000.0,-138000000.0,138000000.0,354000000.0,456000000.0,142000000.0,314000000.0,314000000.0,810000000.0,1901000000.0,2711000000.0,2711000000.0,2022-12-31
-190000.0,0.19,873000000.0,-1000000.0,-1000000.0,325000000.0,319000000.0,1781000000.0,872000000.0,553000000.0,-150000000.0,150000000.0,325810000.0,325000000.0,2238000000.0,541000000.0,633000000.0,630000000.0,0.49,0.5,313000000.0,313000000.0,12000000.0,325000000.0,325000000.0,,325000000.0,78000000.0,403000000.0,12000000.0,13000000.0,0.0,0.0,-1000000.0,-150000000.0,150000000.0,541000000.0,457000000.0,138000000.0,319000000.0,319000000.0,998000000.0,1781000000.0,2779000000.0,2779000000.0,2023-03-31
-1890000.0,0.21,742000000.0,-9000000.0,-9000000.0,118000000.0,349000000.0,1016000000.0,733000000.0,384000000.0,-167000000.0,167000000.0,125110000.0,118000000.0,1495000000.0,380000000.0,633000000.0,631000000.0,0.17,0.17,106000000.0,106000000.0,12000000.0,118000000.0,118000000.0,,118000000.0,99000000.0,217000000.0,4000000.0,13000000.0,-12000000.0,-12000000.0,3000000.0,-167000000.0,167000000.0,380000000.0,479000000.0,130000000.0,349000000.0,349000000.0,859000000.0,1016000000.0,1875000000.0,1875000000.0,2023-06-30
380000.0,0.19,905000000.0,2000000.0,2000000.0,282000000.0,374000000.0,841000000.0,907000000.0,533000000.0,-183000000.0,183000000.0,280380000.0,282000000.0,1342000000.0,518000000.0,633000000.0,631000000.0,0.4,0.41,256000000.0,256000000.0,26000000.0,282000000.0,282000000.0,,282000000.0,68000000.0,350000000.0,15000000.0,13000000.0,0.0,0.0,2000000.0,-183000000.0,183000000.0,518000000.0,501000000.0,127000000.0,374000000.0,374000000.0,1019000000.0,841000000.0,1860000000.0,1860000000.0,2023-09-30
-210000.0,0.21,678000000.0,-1000000.0,-1000000.0,192000000.0,359000000.0,1372000000.0,677000000.0,318000000.0,-201000000.0,201000000.0,192790000.0,192000000.0,1861000000.0,321000000.0,,,,,192000000.0,192000000.0,0.0,192000000.0,192000000.0,,192000000.0,-75000000.0,117000000.0,-3000000.0,-2000000.0,-1000000.0,-1000000.0,0.0,-201000000.0,201000000.0,321000000.0,489000000.0,130000000.0,359000000.0,359000000.0,810000000.0,1372000000.0,2182000000.0,2182000000.0,2023-12-31
