treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,preferred_securities_outside_stock_equity,derivative_product_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,dividends_payable,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,financial_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,other_properties,current_assets,other_current_assets,hedging_assets_current,assets_held_for_sale_current,inventory,other_inventories,receivables,taxes_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
,629535631.0,629535631.0,16782000000.0,16856000000.0,4923000000.0,26111000000.0,-414000000.0,5713000000.0,9255000000.0,790000000.0,24881000000.0,10045000000.0,10045000000.0,-31000000.0,709000000.0,8568000000.0,799000000.0,9000000.0,790000000.0,28501000000.0,23388000000.0,774000000.0,,0.0,547000000.0,547000000.0,3986000000.0,3986000000.0,14836000000.0,14836000000.0,5113000000.0,1030000000.0,110000000.0,110000000.0,2020000000.0,2020000000.0,2020000000.0,1953000000.0,159000000.0,159000000.0,1794000000.0,144000000.0,298000000.0,1352000000.0,38546000000.0,33847000000.0,177000000.0,2000000.0,4332000000.0,38000000.0,4294000000.0,27143000000.0,-10585000000.0,37728000000.0,1357000000.0,4699000000.0,1556000000.0,10000000.0,0.0,876000000.0,241000000.0,1673000000.0,20000000.0,889000000.0,-38000000.0,927000000.0,584000000.0,510000000.0,74000000.0,2022-12-31
166.0,631018976.0,631019142.0,16388000000.0,16502000000.0,5235000000.0,26068000000.0,-11000000.0,6025000000.0,9566000000.0,790000000.0,26139000000.0,10356000000.0,10356000000.0,-32000000.0,1034000000.0,8558000000.0,796000000.0,6000000.0,790000000.0,27396000000.0,24246000000.0,793000000.0,0.0,,550000000.0,550000000.0,3986000000.0,3986000000.0,15783000000.0,15783000000.0,3150000000.0,961000000.0,109000000.0,109000000.0,719000000.0,719000000.0,719000000.0,1361000000.0,152000000.0,152000000.0,1209000000.0,0.0,275000000.0,934000000.0,37752000000.0,34613000000.0,185000000.0,0.0,4331000000.0,37000000.0,4294000000.0,27598000000.0,-10253000000.0,37851000000.0,,3139000000.0,416000000.0,1000000.0,,781000000.0,89000000.0,1279000000.0,7000000.0,874000000.0,-43000000.0,917000000.0,662000000.0,548000000.0,114000000.0,2023-03-31
,631073571.0,631073571.0,16752000000.0,16966000000.0,5415000000.0,26542000000.0,-382000000.0,6205000000.0,9576000000.0,790000000.0,26398000000.0,10366000000.0,10366000000.0,-32000000.0,1032000000.0,8570000000.0,796000000.0,6000000.0,790000000.0,27731000000.0,24547000000.0,833000000.0,0.0,,555000000.0,555000000.0,4036000000.0,4036000000.0,16032000000.0,16032000000.0,3184000000.0,930000000.0,109000000.0,109000000.0,934000000.0,934000000.0,934000000.0,1211000000.0,203000000.0,203000000.0,1008000000.0,0.0,176000000.0,832000000.0,38097000000.0,35295000000.0,185000000.0,0.0,4161000000.0,1000000.0,4160000000.0,28454000000.0,-10320000000.0,38774000000.0,,2802000000.0,396000000.0,1000000.0,,729000000.0,79000000.0,945000000.0,18000000.0,638000000.0,-41000000.0,679000000.0,731000000.0,517000000.0,214000000.0,2023-06-30
,631209962.0,631209962.0,18152000000.0,18272000000.0,5424000000.0,27857000000.0,-871000000.0,5424000000.0,9585000000.0,,26423000000.0,9585000000.0,9585000000.0,-29000000.0,1027000000.0,8581000000.0,6000000.0,6000000.0,0.0,29416000000.0,25523000000.0,829000000.0,0.0,,533000000.0,533000000.0,4128000000.0,4128000000.0,16838000000.0,16838000000.0,3893000000.0,1037000000.0,110000000.0,110000000.0,1434000000.0,1434000000.0,1434000000.0,1312000000.0,179000000.0,179000000.0,1133000000.0,126000000.0,244000000.0,763000000.0,39001000000.0,35979000000.0,166000000.0,0.0,4161000000.0,1000000.0,4160000000.0,29171000000.0,-10447000000.0,39618000000.0,,3022000000.0,351000000.0,1000000.0,,810000000.0,138000000.0,1174000000.0,67000000.0,767000000.0,-31000000.0,798000000.0,686000000.0,566000000.0,120000000.0,2023-09-30
166.0,631225829.0,631225995.0,18528000000.0,18618000000.0,5507000000.0,28285000000.0,-837000000.0,5507000000.0,9667000000.0,,27226000000.0,9667000000.0,9667000000.0,-35000000.0,1092000000.0,8604000000.0,6000000.0,6000000.0,0.0,30048000000.0,26184000000.0,763000000.0,,3000000.0,572000000.0,572000000.0,4079000000.0,4079000000.0,17559000000.0,17559000000.0,3864000000.0,1124000000.0,111000000.0,111000000.0,1059000000.0,1059000000.0,1059000000.0,1570000000.0,236000000.0,236000000.0,1334000000.0,126000000.0,291000000.0,917000000.0,39715000000.0,36688000000.0,162000000.0,0.0,4160000000.0,,4160000000.0,29853000000.0,-10543000000.0,40396000000.0,3372000000.0,3027000000.0,306000000.0,0.0,,770000000.0,197000000.0,1320000000.0,94000000.0,710000000.0,-27000000.0,737000000.0,631000000.0,541000000.0,90000000.0,2023-12-31
