ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,employee_benefits,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,total_assets,investments_and_advances,long_term_equity_investment,investments_in_other_ventures_under_equity_method,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,prepaid_assets,receivables,other_receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,treasury_shares_number
112437825.0,112437825.0,989764000.0,2157175000.0,-1323023000.0,2460892000.0,-1323023000.0,174688000.0,478405000.0,2430305000.0,817812000.0,339407000.0,478405000.0,6035000.0,6035000.0,53988000.0,418123000.0,259000.0,259000.0,0.0,5565931000.0,360417000.0,562000.0,562000.0,2103844000.0,151944000.0,1951900000.0,53331000.0,22744000.0,30587000.0,30587000.0,119022000.0,6383743000.0,38514000.0,38514000.0,38514000.0,1801428000.0,486444000.0,1314984000.0,175141000.0,50438000.0,2871698000.0,2871284000.0,231423000.0,992723000.0,992723000.0,2022-12-31,
113233651.0,113233651.0,1268042000.0,2144641000.0,-1385182000.0,2481376000.0,-1385182000.0,171853000.0,508588000.0,2458917000.0,851598000.0,343010000.0,508588000.0,4283000.0,4283000.0,67148000.0,436898000.0,259000.0,259000.0,0.0,5195362000.0,174342000.0,618000.0,618000.0,2101735000.0,151406000.0,1950329000.0,42906000.0,20447000.0,22459000.0,22459000.0,73976000.0,6046960000.0,41166000.0,41166000.0,41166000.0,1893770000.0,514568000.0,1379202000.0,173451000.0,42380000.0,2741221000.0,2740946000.0,234557000.0,704746000.0,704746000.0,2023-03-31,
115208931.0,115208931.0,1013386000.0,2160432000.0,-1314024000.0,2538308000.0,-1314024000.0,181059000.0,558935000.0,2507721000.0,943918000.0,384983000.0,558935000.0,8525000.0,8525000.0,97226000.0,452925000.0,259000.0,259000.0,0.0,6291879000.0,355462000.0,208000.0,208000.0,2110703000.0,161917000.0,1948786000.0,49729000.0,19142000.0,30587000.0,30587000.0,95923000.0,7235797000.0,43762000.0,43762000.0,43762000.0,1872959000.0,493859000.0,1379100000.0,168996000.0,43690000.0,3667701000.0,3667494000.0,,965987000.0,965987000.0,2023-06-30,
118222528.0,118222528.0,1226691000.0,2157966000.0,-1630660000.0,2524039000.0,-1630660000.0,176905000.0,542978000.0,2488473000.0,941241000.0,398263000.0,542978000.0,8236000.0,8236000.0,92179000.0,442304000.0,259000.0,259000.0,0.0,5484621000.0,295416000.0,126000.0,126000.0,2102478000.0,156983000.0,1945495000.0,55488000.0,19922000.0,35566000.0,35566000.0,114952000.0,6425862000.0,45272000.0,45272000.0,45272000.0,2173638000.0,591879000.0,1581759000.0,164041000.0,51349000.0,2797290000.0,2782410000.0,,754370000.0,754370000.0,2023-09-30,
118593062.0,118593062.0,1140422000.0,2155038000.0,-1697398000.0,2538966000.0,-1697398000.0,175826000.0,559754000.0,2503591000.0,979644000.0,419890000.0,559754000.0,3076000.0,3076000.0,114420000.0,441997000.0,261000.0,261000.0,0.0,6267565000.0,444477000.0,,,2098294000.0,154457000.0,1943837000.0,56744000.0,21369000.0,35375000.0,35375000.0,136340000.0,7247209000.0,46099000.0,46099000.0,46099000.0,2257152000.0,610670000.0,1646482000.0,170135000.0,49583000.0,3462322000.0,3441760000.0,20562000.0,838790000.0,838790000.0,2023-12-31,0.0
