tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,other_operating_expenses,depreciation_and_amortization_in_income_statement,amortization,depreciation_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,total_revenue,operating_revenue,date
-145110.687245,0.113456,-1279000.0,-1279000.0,17895000.0,26825000.0,81008000.0,-29367000.0,29367000.0,19028889.312755,17895000.0,383374000.0,267771000.0,112437825.0,0.14,0.16,-37513000.0,,17299000.0,,17895000.0,-27887000.0,45782000.0,45782000.0,5859000.0,51641000.0,-1279000.0,1279000.0,-29367000.0,29367000.0,-1759000.0,26825000.0,25038000.0,1787000.0,327662000.0,327662000.0,57120000.0,270542000.0,435015000.0,435015000.0,2022-12-31
-104958.0,0.147,-714000.0,-714000.0,13160000.0,27377000.0,72220000.0,-29468000.0,29468000.0,13769042.0,13160000.0,414847000.0,266978224.0,111034503.0,0.11,0.12,30565000.0,17180000.0,13385000.0,-225000.0,13160000.0,-23297000.0,36457000.0,36457000.0,6295000.0,42752000.0,-714000.0,714000.0,-29468000.0,29468000.0,-138000.0,27377000.0,25185000.0,2192000.0,359421000.0,359421000.0,51699000.0,307722000.0,457599000.0,457599000.0,2023-03-31
-219112.0,0.122,-1796000.0,-1796000.0,30078000.0,26545000.0,124348000.0,-28881000.0,28881000.0,31654888.0,30078000.0,489682000.0,123845655.0,112915557.0,0.26,0.27,32105000.0,1621000.0,30484000.0,-406000.0,30078000.0,-53739000.0,83817000.0,83817000.0,11650000.0,95467000.0,-1796000.0,1796000.0,-28881000.0,28881000.0,108000.0,26545000.0,24368000.0,2177000.0,433968000.0,433968000.0,81608000.0,352360000.0,585149000.0,585149000.0,2023-06-30
-388080.0,0.21,-1848000.0,-1848000.0,-5047000.0,31773000.0,72021000.0,-31491000.0,31491000.0,-3587080.0,-5047000.0,461408000.0,115872327.0,115872327.0,-0.04,-0.04,-5147000.0,0.0,-5147000.0,100000.0,-5047000.0,-20750000.0,15703000.0,15703000.0,24827000.0,40530000.0,-1848000.0,1848000.0,-31491000.0,31491000.0,67000.0,31773000.0,29572000.0,2201000.0,398500000.0,398500000.0,69288000.0,329212000.0,501938000.0,501938000.0,2023-09-30
-12089.343653,0.011373,-1063000.0,-1063000.0,22846000.0,30142000.0,88843000.0,-29667000.0,29667000.0,23896910.656347,22846000.0,473687000.0,,,,,23206000.0,1057000.0,22149000.0,697000.0,22846000.0,-35657000.0,58503000.0,58503000.0,673000.0,59176000.0,-1063000.0,1063000.0,-29667000.0,29667000.0,10343000.0,30142000.0,27674000.0,2468000.0,405321000.0,405321000.0,73586000.0,331735000.0,532863000.0,532863000.0,2023-12-31
