tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-25952049.357793,0.26489,645036000.0,-97973000.0,-97973000.0,205009000.0,269700000.0,936577000.0,547063000.0,277363000.0,5728000.0,-1519000.0,,277029950.642207,205009000.0,1100093000.0,456439000.0,455558000.0,0.45,0.45,205009000.0,,205009000.0,205009000.0,205009000.0,205009000.0,73873000.0,278882000.0,-11472000.0,86501000.0,,,,,72091000.0,5728000.0,-1519000.0,,284626000.0,163516000.0,97290000.0,54582000.0,54582000.0,54582000.0,448142000.0,936577000.0,1384719000.0,1386325000.0,2022-12-31
101108832.0,0.066,740954000.0,1531952000.0,1531952000.0,1816891000.0,303959000.0,957103000.0,2272906000.0,1968947000.0,-20980000.0,23448000.0,2468000.0,386047832.0,1816891000.0,1069767000.0,470455000.0,468968000.0,3.86,3.87,1815115000.0,-1776000.0,1816891000.0,1816891000.0,1816891000.0,1816891000.0,128608000.0,1945499000.0,1526585000.0,-5367000.0,1525633000.0,-2542000.0,,-1528175000.0,6319000.0,-20980000.0,23448000.0,2468000.0,439894000.0,112664000.0,53211000.0,48208000.0,48208000.0,48208000.0,552558000.0,957103000.0,1509661000.0,1509743000.0,2023-03-31
5617080.295493,0.299179,864664000.0,18775000.0,18775000.0,326821000.0,381262000.0,1124515000.0,883439000.0,502177000.0,-34356000.0,35837000.0,1481000.0,313663080.295493,326821000.0,1235660000.0,495509000.0,494138000.0,0.66,0.66,325681000.0,-1140000.0,326821000.0,326821000.0,326821000.0,326821000.0,139519000.0,466340000.0,18159000.0,-616000.0,-3644000.0,-1058000.0,913000.0,1673000.0,22419000.0,-34356000.0,35837000.0,1481000.0,482537000.0,111145000.0,54422000.0,47312000.0,47312000.0,47312000.0,593682000.0,1124515000.0,1718197000.0,1718166000.0,2023-06-30
-13022686.324232,0.341695,760122000.0,-38112000.0,-38112000.0,178606000.0,414994000.0,1174405000.0,722010000.0,307016000.0,-34074000.0,35704000.0,1630000.0,203695313.675768,178606000.0,1287290000.0,496404000.0,495286000.0,0.36,0.36,178606000.0,,178606000.0,178606000.0,178606000.0,178606000.0,92706000.0,271312000.0,-49735000.0,-11623000.0,-10594000.0,-5491000.0,512000.0,4591000.0,-27518000.0,-34074000.0,35704000.0,1630000.0,355121000.0,112885000.0,61594000.0,38930000.0,38930000.0,38930000.0,468006000.0,1174405000.0,1642411000.0,1643953000.0,2023-09-30
-294280800.0,0.4,799403000.0,-735702000.0,-735702000.0,-381011000.0,391556000.0,1169011000.0,63701000.0,-327855000.0,188000.0,-3773000.0,6079000.0,60410200.0,-381011000.0,1339002000.0,497076000.0,496499000.0,-0.77,-0.77,-385747000.0,,-381011000.0,-381011000.0,-381011000.0,-381011000.0,56929000.0,-324082000.0,-741908000.0,-6206000.0,-803242000.0,-17667000.0,,0.0,67540000.0,188000.0,-3773000.0,6079000.0,417638000.0,169991000.0,81615000.0,74001000.0,74001000.0,74001000.0,587629000.0,1169011000.0,1756640000.0,1756211000.0,2023-12-31
-13031150.0,0.29,927473000.0,-44935000.0,-44935000.0,347192000.0,357225000.0,1140810000.0,882538000.0,525313000.0,-33217000.0,36265000.0,3048000.0,379095850.0,347192000.0,1252974000.0,498807000.0,497619000.0,0.7,0.7,347556000.0,364000.0,347192000.0,347192000.0,347192000.0,347192000.0,141856000.0,489048000.0,-54584000.0,-9649000.0,-3547000.0,-3547000.0,,0.0,-41388000.0,-33217000.0,36265000.0,3048000.0,576849000.0,112164000.0,53005000.0,48117000.0,48117000.0,48117000.0,689013000.0,1140810000.0,1829823000.0,1831864000.0,2024-03-31
