tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
31801278.149726,0.093122,-68100000.0,341500000.0,341500000.0,148900000.0,67900000.0,51300000.0,273400000.0,205500000.0,-41200000.0,41200000.0,-160798721.850274,61100000.0,365900000.0,218200000.0,156974983.0,156028555.0,0.39,0.39,61100000.0,61100000.0,61100000.0,-100000.0,61200000.0,,149000000.0,15300000.0,164300000.0,341500000.0,-12700000.0,-41200000.0,41200000.0,-136000000.0,314600000.0,-33500000.0,-33500000.0,-46600000.0,-46600000.0,13100000.0,-5600000.0,178600000.0,51300000.0,229900000.0,229900000.0,2022-12-31
-298100.0,0.271,356400000.0,-1100000.0,-1100000.0,194400000.0,62300000.0,216200000.0,355300000.0,293000000.0,-26400000.0,26400000.0,195201900.0,56400000.0,357500000.0,294100000.0,152709319.0,152032255.0,0.37,0.37,56400000.0,56400000.0,56400000.0,100000.0,56400000.0,-138000000.0,194400000.0,72200000.0,266600000.0,-1100000.0,-1100000.0,-26400000.0,26400000.0,294100000.0,141300000.0,62300000.0,62300000.0,17700000.0,17700000.0,44600000.0,79000000.0,435400000.0,216200000.0,651600000.0,651600000.0,2023-03-31
-1475600.0,0.238,371300000.0,-6200000.0,-6200000.0,204400000.0,65300000.0,216900000.0,365100000.0,299800000.0,-31600000.0,31600000.0,209124400.0,196900000.0,369000000.0,306000000.0,145500121.0,144834494.0,1.35,1.36,196900000.0,196900000.0,196900000.0,-100000.0,196800000.0,-7500000.0,204300000.0,63900000.0,268200000.0,-6200000.0,-6200000.0,-31600000.0,31600000.0,306000000.0,152100000.0,65300000.0,65300000.0,18800000.0,18800000.0,46500000.0,86800000.0,458100000.0,216900000.0,675000000.0,675000000.0,2023-06-30
-500000.0,0.25,348800000.0,-2000000.0,-2000000.0,187400000.0,67700000.0,217200000.0,346800000.0,279100000.0,-29400000.0,29400000.0,188900000.0,187400000.0,396500000.0,281100000.0,145742519.0,145011020.0,1.29,1.29,187400000.0,187400000.0,187400000.0,0.0,187400000.0,0.0,187400000.0,62300000.0,249700000.0,-2000000.0,-2000000.0,-29400000.0,29400000.0,281100000.0,179300000.0,67700000.0,67700000.0,19600000.0,19600000.0,48100000.0,111600000.0,460400000.0,217200000.0,677600000.0,677600000.0,2023-09-30
5051998.351875,0.248867,336600000.0,20300000.0,20300000.0,182300000.0,86100000.0,226200000.0,356900000.0,270800000.0,-28100000.0,28100000.0,167051998.351875,173800000.0,426700000.0,250500000.0,,,,,173800000.0,173800000.0,173800000.0,-200000.0,173800000.0,-8500000.0,182300000.0,60400000.0,242700000.0,20300000.0,20300000.0,-28100000.0,28100000.0,250500000.0,200500000.0,86100000.0,86100000.0,18500000.0,18500000.0,67600000.0,114400000.0,451000000.0,226200000.0,677200000.0,677200000.0,2023-12-31
