tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,general_and_administrative_expense,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-7561959.654179,0.236311,1575000000.0,-32000000.0,-32000000.0,248000000.0,929000000.0,2082000000.0,1543000000.0,614000000.0,-259000000.0,267000000.0,8000000.0,272438040.345821,248000000.0,4386000000.0,669000000.0,,,,,248000000.0,248000000.0,248000000.0,-17000000.0,265000000.0,265000000.0,82000000.0,347000000.0,-31000000.0,1000000.0,14000000.0,-14000000.0,-46000000.0,-259000000.0,267000000.0,8000000.0,637000000.0,2304000000.0,-3000000.0,929000000.0,929000000.0,340000000.0,340000000.0,589000000.0,1378000000.0,1378000000.0,1378000000.0,2941000000.0,2082000000.0,5023000000.0,5023000000.0,2022-12-31
2376000.0,0.198,1591000000.0,12000000.0,12000000.0,217000000.0,1022000000.0,1803000000.0,1603000000.0,581000000.0,-295000000.0,302000000.0,7000000.0,207376000.0,217000000.0,4364000000.0,599000000.0,1440000000.0,1439000000.0,0.15,0.15,217000000.0,217000000.0,217000000.0,-7000000.0,224000000.0,224000000.0,55000000.0,279000000.0,13000000.0,1000000.0,38000000.0,-38000000.0,-26000000.0,-295000000.0,302000000.0,7000000.0,561000000.0,2561000000.0,-1000000.0,1022000000.0,1022000000.0,382000000.0,382000000.0,640000000.0,1540000000.0,1540000000.0,1540000000.0,3122000000.0,1803000000.0,4925000000.0,4925000000.0,2023-03-31
-1944000.0,0.243,1591000000.0,-8000000.0,-8000000.0,200000000.0,1006000000.0,1790000000.0,1583000000.0,577000000.0,-314000000.0,318000000.0,4000000.0,206056000.0,200000000.0,4355000000.0,582000000.0,1452000000.0,1447000000.0,0.14,0.14,200000000.0,200000000.0,200000000.0,4000000.0,196000000.0,196000000.0,63000000.0,259000000.0,-6000000.0,2000000.0,3000000.0,-3000000.0,-11000000.0,-314000000.0,318000000.0,4000000.0,579000000.0,2565000000.0,-9000000.0,1006000000.0,1006000000.0,408000000.0,408000000.0,598000000.0,1568000000.0,1568000000.0,1568000000.0,3144000000.0,1790000000.0,4934000000.0,4934000000.0,2023-06-30
-1187878.787879,0.169697,1507000000.0,-7000000.0,-7000000.0,136000000.0,1000000000.0,1858000000.0,1500000000.0,500000000.0,-330000000.0,335000000.0,5000000.0,141812121.212121,136000000.0,4489000000.0,517000000.0,1459000000.0,1454000000.0,0.09,0.09,136000000.0,136000000.0,136000000.0,-1000000.0,137000000.0,137000000.0,28000000.0,165000000.0,-6000000.0,1000000.0,1000000.0,-1000000.0,-8000000.0,-330000000.0,335000000.0,5000000.0,501000000.0,2631000000.0,-2000000.0,1000000000.0,1000000000.0,389000000.0,389000000.0,611000000.0,1633000000.0,1633000000.0,1633000000.0,3132000000.0,1858000000.0,4990000000.0,4990000000.0,2023-09-30
17129533.678756,0.196891,1678000000.0,87000000.0,87000000.0,288000000.0,1041000000.0,2086000000.0,1765000000.0,724000000.0,-325000000.0,338000000.0,13000000.0,218129533.678756,288000000.0,4533000000.0,664000000.0,,,,,288000000.0,288000000.0,288000000.0,-22000000.0,310000000.0,310000000.0,76000000.0,386000000.0,88000000.0,1000000.0,26000000.0,-26000000.0,61000000.0,-325000000.0,338000000.0,13000000.0,623000000.0,2447000000.0,-1000000.0,1041000000.0,1041000000.0,376000000.0,376000000.0,665000000.0,1407000000.0,1407000000.0,1407000000.0,3070000000.0,2086000000.0,5156000000.0,5156000000.0,2023-12-31
