free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,capital_expenditure,end_cash_position,beginning_cash_position,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,net_common_stock_issuance,common_stock_payments,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,purchase_of_investment,net_business_purchase_and_sale,sale_of_business,capital_expenditure_reported,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_payable,other_non_cash_items,stock_based_compensation,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,operating_gains_losses,earnings_losses_from_equity_investments,gain_loss_on_investment_securities,net_income_from_continuing_operations,date,gain_loss_on_sale_of_business
-20000000.0,-241000000.0,-28000000.0,25000000.0,-24000000.0,400000000.0,234000000.0,166000000.0,-248000000.0,-248000000.0,-4000000.0,-241000000.0,-241000000.0,-3000000.0,-3000000.0,-28000000.0,25000000.0,410000000.0,410000000.0,2000000.0,,,432000000.0,432000000.0,-24000000.0,4000000.0,4000000.0,-21000000.0,9000000.0,-30000000.0,-30000000.0,37000000.0,9000000.0,38000000.0,38000000.0,67000000.0,67000000.0,-304000000.0,-332000000.0,28000000.0,178000000.0,2022-12-31,
-13000000.0,-40000000.0,-1416000000.0,1248000000.0,-54000000.0,194000000.0,400000000.0,-206000000.0,-235000000.0,-235000000.0,-27000000.0,-40000000.0,-40000000.0,-168000000.0,-168000000.0,-1416000000.0,1248000000.0,-12000000.0,-12000000.0,,,,42000000.0,42000000.0,-54000000.0,41000000.0,41000000.0,-8000000.0,-6000000.0,-2000000.0,-2000000.0,-1000000.0,8000000.0,22000000.0,22000000.0,58000000.0,58000000.0,-107000000.0,-221000000.0,114000000.0,69000000.0,2023-03-31,
-137000000.0,0.0,-129000000.0,203000000.0,-41000000.0,103000000.0,194000000.0,-91000000.0,74000000.0,74000000.0,0.0,0.0,0.0,74000000.0,74000000.0,-129000000.0,203000000.0,-69000000.0,-69000000.0,,,,0.0,0.0,-41000000.0,-96000000.0,-96000000.0,-131000000.0,-34000000.0,-97000000.0,-97000000.0,-1000000.0,8000000.0,73000000.0,73000000.0,56000000.0,56000000.0,-353000000.0,-313000000.0,-40000000.0,252000000.0,2023-06-30,
-45000000.0,0.0,-2000000.0,50000000.0,-54000000.0,110000000.0,103000000.0,7000000.0,46000000.0,46000000.0,-2000000.0,0.0,0.0,48000000.0,48000000.0,-2000000.0,50000000.0,-48000000.0,-48000000.0,6000000.0,0.0,0.0,0.0,0.0,-54000000.0,9000000.0,9000000.0,-23000000.0,-20000000.0,-3000000.0,-3000000.0,-1000000.0,9000000.0,42000000.0,42000000.0,55000000.0,55000000.0,-235000000.0,-316000000.0,81000000.0,162000000.0,2023-09-30,
-11000000.0,-187000000.0,-69000000.0,0.0,-73000000.0,176000000.0,110000000.0,66000000.0,-275000000.0,-275000000.0,-19000000.0,-187000000.0,-187000000.0,-69000000.0,-69000000.0,-69000000.0,0.0,279000000.0,279000000.0,0.0,0.0,0.0,352000000.0,352000000.0,-73000000.0,62000000.0,62000000.0,56000000.0,80000000.0,-24000000.0,-24000000.0,-1000000.0,9000000.0,31000000.0,31000000.0,61000000.0,61000000.0,-299000000.0,-263000000.0,-54000000.0,205000000.0,2023-12-31,18000000.0
