treasury_shares_number,preferred_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,preferred_securities_outside_stock_equity,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,total_assets,total_non_current_assets,other_non_current_assets,investments_and_advances,long_term_equity_investment,investmentsin_subsidiariesat_cost,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
,7183812.0,146597400.0,146597400.0,3426000000.0,3887000000.0,6625000000.0,12284000000.0,-1015000000.0,6625000000.0,86000000.0,8483000000.0,10908000000.0,8501000000.0,18000000.0,8483000000.0,9000000.0,9000000.0,5155000000.0,3318000000.0,1000000.0,1000000.0,6641000000.0,4966000000.0,150000000.0,202000000.0,2103000000.0,63000000.0,2040000000.0,2511000000.0,86000000.0,2425000000.0,1675000000.0,137000000.0,20000000.0,20000000.0,1376000000.0,1376000000.0,50000000.0,92000000.0,15142000000.0,14482000000.0,180000000.0,11433000000.0,11433000000.0,11433000000.0,1858000000.0,1103000000.0,755000000.0,1011000000.0,-385000000.0,1396000000.0,126000000.0,231000000.0,918000000.0,105000000.0,16000000.0,0.0,660000000.0,84000000.0,201000000.0,201000000.0,-4000000.0,205000000.0,375000000.0,375000000.0,2022-12-31
,7183812.0,146197317.0,146197317.0,3510000000.0,3764000000.0,6718000000.0,12245000000.0,161000000.0,6718000000.0,85000000.0,8566000000.0,12240000000.0,8584000000.0,18000000.0,8566000000.0,59000000.0,59000000.0,5224000000.0,3282000000.0,1000000.0,1000000.0,6545000000.0,6252000000.0,155000000.0,202000000.0,2136000000.0,62000000.0,2074000000.0,3759000000.0,85000000.0,3674000000.0,293000000.0,152000000.0,21000000.0,21000000.0,5000000.0,5000000.0,29000000.0,86000000.0,15129000000.0,14675000000.0,206000000.0,11609000000.0,11609000000.0,11609000000.0,1848000000.0,1093000000.0,755000000.0,1012000000.0,,,,,,,,,454000000.0,91000000.0,194000000.0,194000000.0,-4000000.0,198000000.0,169000000.0,169000000.0,2023-03-31
,7183812.0,146213102.0,146213102.0,3653000000.0,3818000000.0,6985000000.0,12553000000.0,199000000.0,6985000000.0,84000000.0,8819000000.0,12548000000.0,8839000000.0,20000000.0,8819000000.0,56000000.0,56000000.0,5476000000.0,3286000000.0,1000000.0,1000000.0,6570000000.0,6376000000.0,152000000.0,202000000.0,2209000000.0,63000000.0,2146000000.0,3813000000.0,84000000.0,3729000000.0,194000000.0,63000000.0,24000000.0,24000000.0,5000000.0,5000000.0,10000000.0,92000000.0,15409000000.0,15016000000.0,253000000.0,11916000000.0,11916000000.0,11916000000.0,1834000000.0,1079000000.0,755000000.0,1013000000.0,,,,,,,,,393000000.0,129000000.0,183000000.0,183000000.0,-5000000.0,188000000.0,81000000.0,81000000.0,2023-06-30
0.0,7183812.0,146213126.0,146213126.0,3777000000.0,3948000000.0,7155000000.0,12842000000.0,201000000.0,7155000000.0,83000000.0,8977000000.0,12837000000.0,8997000000.0,20000000.0,8977000000.0,45000000.0,45000000.0,5638000000.0,3293000000.0,1000000.0,1000000.0,6771000000.0,6542000000.0,147000000.0,202000000.0,2250000000.0,66000000.0,2184000000.0,3943000000.0,83000000.0,3860000000.0,229000000.0,71000000.0,28000000.0,28000000.0,5000000.0,5000000.0,21000000.0,104000000.0,15768000000.0,15338000000.0,251000000.0,12229000000.0,12229000000.0,12229000000.0,1822000000.0,1067000000.0,755000000.0,1036000000.0,,,,,,,,,430000000.0,122000000.0,220000000.0,220000000.0,-5000000.0,225000000.0,88000000.0,88000000.0,2023-09-30
,7183812.0,143963619.0,143963619.0,3578000000.0,3819000000.0,7197000000.0,12739000000.0,252000000.0,7197000000.0,83000000.0,9003000000.0,12736000000.0,9023000000.0,20000000.0,9003000000.0,52000000.0,52000000.0,5843000000.0,3107000000.0,1000000.0,1000000.0,6618000000.0,6440000000.0,141000000.0,202000000.0,2281000000.0,65000000.0,2216000000.0,3816000000.0,83000000.0,3733000000.0,178000000.0,59000000.0,30000000.0,30000000.0,3000000.0,3000000.0,0.0,86000000.0,15641000000.0,15211000000.0,236000000.0,12116000000.0,12116000000.0,12116000000.0,1806000000.0,1051000000.0,755000000.0,1053000000.0,-530000000.0,1583000000.0,197000000.0,312000000.0,950000000.0,108000000.0,16000000.0,0.0,430000000.0,94000000.0,178000000.0,178000000.0,-5000000.0,183000000.0,158000000.0,158000000.0,2023-12-31
