treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,payables,other_payable,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,investmentin_financial_assets,available_for_sale_securities,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,machinery_furniture_equipment,buildings_and_improvements,properties,current_assets,other_current_assets,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date,current_accrued_expenses
,125054278.0,125054278.0,1358362000.0,2390070000.0,-1220404000.0,1732366000.0,881988000.0,-1220404000.0,110430000.0,-547274000.0,1732366000.0,-547274000.0,-547274000.0,-314217000.0,-314217000.0,-1048267000.0,815085000.0,125000.0,125000.0,0.0,3182235000.0,2550480000.0,120406000.0,44735000.0,44735000.0,2385339000.0,105699000.0,2279640000.0,631755000.0,19064000.0,14008000.0,14008000.0,4731000.0,4731000.0,63718000.0,530234000.0,530234000.0,,139725000.0,390509000.0,2634961000.0,1121218000.0,47701000.0,121506000.0,121506000.0,29137000.0,29137000.0,29137000.0,673130000.0,535406000.0,137724000.0,249744000.0,-204189000.0,453933000.0,56095000.0,419000.0,264356000.0,133063000.0,0.0,1513743000.0,80203000.0,261849000.0,261849000.0,-8303000.0,270152000.0,1171691000.0,250413000.0,921278000.0,388446000.0,532832000.0,2022-12-31,
,122953145.0,122953145.0,1493867000.0,2389520000.0,-1212715000.0,1740475000.0,845833000.0,-1212715000.0,108857000.0,-540188000.0,1740475000.0,-540188000.0,-540188000.0,-297849000.0,-297849000.0,-1156134000.0,913672000.0,123000.0,123000.0,0.0,3040729000.0,2541616000.0,112430000.0,44379000.0,44379000.0,2384807000.0,104144000.0,2280663000.0,499113000.0,17614000.0,14506000.0,14506000.0,4713000.0,4713000.0,36981000.0,425299000.0,425299000.0,,112151000.0,313148000.0,2500541000.0,1155595000.0,49009000.0,128679000.0,128679000.0,57028000.0,57028000.0,57028000.0,672527000.0,534466000.0,138061000.0,248352000.0,-216747000.0,465099000.0,,,,,,1344946000.0,76856000.0,228628000.0,228628000.0,-9933000.0,238561000.0,1039462000.0,252666000.0,786796000.0,189347000.0,597449000.0,2023-03-31,
0.0,123249136.0,123249136.0,1440172000.0,2388976000.0,-1076452000.0,1817509000.0,910537000.0,-1076452000.0,107292000.0,-464175000.0,1817509000.0,-464175000.0,-464175000.0,-286624000.0,-286624000.0,-1135412000.0,957738000.0,123000.0,123000.0,0.0,3032927000.0,2529708000.0,116424000.0,28982000.0,28982000.0,2384302000.0,102618000.0,2281684000.0,503219000.0,16317000.0,14411000.0,14411000.0,4674000.0,4674000.0,53939000.0,413878000.0,413878000.0,,96141000.0,317737000.0,2568752000.0,1154996000.0,55130000.0,170477000.0,170477000.0,73983000.0,73983000.0,73983000.0,612277000.0,474201000.0,138076000.0,243129000.0,-235203000.0,478332000.0,,,,,,1413756000.0,93240000.0,243741000.0,243741000.0,-10425000.0,254166000.0,1076775000.0,235263000.0,841512000.0,266017000.0,575495000.0,2023-06-30,
,119662608.0,119662608.0,2282751000.0,2389086000.0,-1212870000.0,1660223000.0,795044000.0,-1212870000.0,106335000.0,-622528000.0,1660223000.0,-622528000.0,-622528000.0,-303753000.0,-303753000.0,-1347230000.0,,1028455000.0,1028455000.0,0.0,3071725000.0,2522908000.0,113547000.0,25496000.0,25496000.0,2383865000.0,101114000.0,2282751000.0,548817000.0,20531000.0,14984000.0,14984000.0,5221000.0,5221000.0,68425000.0,439656000.0,439656000.0,330183000.0,109473000.0,,2449197000.0,1105336000.0,46208000.0,146380000.0,146380000.0,76600000.0,76600000.0,76600000.0,590342000.0,452881000.0,137461000.0,245806000.0,-230000000.0,475806000.0,,,,,,1343861000.0,125605000.0,241368000.0,,,,976888000.0,234930000.0,,,,2023-09-30,
0.0,119068884.0,119068884.0,1369494000.0,2389516000.0,-1139232000.0,1740102000.0,859665000.0,-1139232000.0,105699000.0,-543715000.0,1740102000.0,-543715000.0,-543715000.0,-267470000.0,-267470000.0,-1357390000.0,1081026000.0,119000.0,119000.0,0.0,3229115000.0,2518334000.0,121705000.0,13192000.0,13192000.0,2383437000.0,99620000.0,2283817000.0,710781000.0,41207000.0,14635000.0,14635000.0,6079000.0,6079000.0,95842000.0,553018000.0,432214000.0,,136907000.0,295307000.0,2685400000.0,1114954000.0,45191000.0,137776000.0,137776000.0,86676000.0,,,595517000.0,457140000.0,138377000.0,249794000.0,-244052000.0,493846000.0,62220000.0,0.0,298563000.0,133063000.0,0.0,1570446000.0,129884000.0,290121000.0,290121000.0,-10149000.0,300270000.0,1150441000.0,236118000.0,914323000.0,,,2023-12-31,120804000.0
