tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,earnings_from_equity_interest,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,other_taxes,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-2809576.103668,0.216121,5669000000.0,-13000000.0,-13000000.0,3249000000.0,797000000.0,34372000000.0,5656000000.0,4859000000.0,-184000000.0,306000000.0,139000000.0,3259190423.896332,3321000000.0,35354000000.0,4739000000.0,468000000.0,465000000.0,7.09,7.13,3319000000.0,3319000000.0,2000000.0,3321000000.0,-320000000.0,3641000000.0,72000000.0,3569000000.0,984000000.0,4553000000.0,278000000.0,105000000.0,-13000000.0,-11000000.0,,186000000.0,-184000000.0,17000000.0,306000000.0,139000000.0,4459000000.0,982000000.0,-105000000.0,219000000.0,763000000.0,5441000000.0,34372000000.0,39813000000.0,39813000000.0,2022-12-31
-1263885.334016,0.210648,5024000000.0,-6000000.0,-6000000.0,2724000000.0,800000000.0,30094000000.0,5018000000.0,4218000000.0,-145000000.0,311000000.0,149000000.0,2728736114.665984,2724000000.0,31016000000.0,4061000000.0,447000000.0,444000000.0,6.09,6.13,2724000000.0,2724000000.0,,2724000000.0,-360000000.0,3084000000.0,,3084000000.0,823000000.0,3907000000.0,204000000.0,77000000.0,-6000000.0,3000000.0,9000000.0,133000000.0,-145000000.0,-17000000.0,311000000.0,149000000.0,3848000000.0,922000000.0,,231000000.0,691000000.0,4770000000.0,30094000000.0,34864000000.0,34864000000.0,2023-03-31
2396142.902308,0.184319,4300000000.0,13000000.0,13000000.0,2226000000.0,834000000.0,32596000000.0,4313000000.0,3479000000.0,-142000000.0,316000000.0,150000000.0,2215396142.902308,2226000000.0,33519000000.0,3305000000.0,419000000.0,417000000.0,5.32,5.34,2225000000.0,2225000000.0,1000000.0,2226000000.0,-354000000.0,2580000000.0,,2580000000.0,583000000.0,3163000000.0,481000000.0,269000000.0,13000000.0,13000000.0,,199000000.0,-142000000.0,-24000000.0,316000000.0,150000000.0,2824000000.0,923000000.0,,219000000.0,704000000.0,3747000000.0,32596000000.0,36343000000.0,36343000000.0,2023-06-30
23827400.21575,0.216613,5690000000.0,110000000.0,110000000.0,3280000000.0,845000000.0,35773000000.0,5800000000.0,4955000000.0,-138000000.0,320000000.0,141000000.0,3193827400.21575,3280000000.0,36830000000.0,4753000000.0,396000000.0,394000000.0,8.28,8.31,3278000000.0,3278000000.0,2000000.0,3280000000.0,-351000000.0,3631000000.0,,3631000000.0,1004000000.0,4635000000.0,686000000.0,361000000.0,110000000.0,110000000.0,,215000000.0,-138000000.0,-41000000.0,320000000.0,141000000.0,4087000000.0,1057000000.0,,233000000.0,824000000.0,5144000000.0,35773000000.0,40917000000.0,40917000000.0,2023-09-30
16215849.38704,0.178196,3339000000.0,91000000.0,91000000.0,1451000000.0,828000000.0,33410000000.0,3430000000.0,2602000000.0,-43000000.0,318000000.0,291000000.0,1376215849.38704,1451000000.0,34428000000.0,,377000000.0,376000000.0,3.84,3.86,1449000000.0,1449000000.0,2000000.0,1451000000.0,-426000000.0,1877000000.0,,1877000000.0,407000000.0,2284000000.0,500000000.0,214000000.0,91000000.0,91000000.0,0.0,195000000.0,-43000000.0,16000000.0,318000000.0,291000000.0,1827000000.0,1018000000.0,,198000000.0,820000000.0,2845000000.0,33410000000.0,36255000000.0,36255000000.0,2023-12-31
