treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,line_of_credit,commercial_paper,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,investments_and_advances,other_investments,long_term_equity_investment,investmentsin_joint_venturesat_cost,investment_properties,goodwill_and_other_intangible_assets,other_intangible_assets,net_ppe,gross_ppe,other_properties,current_assets,assets_held_for_sale_current,restricted_cash,receivables,loans_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,other_equity_interest
,546641973.0,546641973.0,6425581000.0,6706128000.0,6236640000.0,13152314000.0,-1167193000.0,6236640000.0,208515000.0,6654701000.0,12156708000.0,7288277000.0,633576000.0,6654701000.0,28134000.0,28134000.0,-4269689000.0,10349614000.0,546642000.0,546642000.0,8482952000.0,6710791000.0,156193000.0,844076000.0,844076000.0,5710522000.0,208515000.0,5502007000.0,1772161000.0,4070000.0,,,995606000.0,995606000.0,995606000.0,,,772485000.0,506889000.0,59291000.0,265596000.0,265596000.0,15771229000.0,15166261000.0,780722000.0,706677000.0,0.0,706677000.0,706677000.0,13023483000.0,418061000.0,418061000.0,237318000.0,237318000.0,237318000.0,604968000.0,49866000.0,54802000.0,428268000.0,374832000.0,53436000.0,-2399000.0,55835000.0,72032000.0,72032000.0,2022-12-31,
,546994803.0,546994803.0,6394643000.0,6661612000.0,6217780000.0,13063614000.0,-1705359000.0,6217780000.0,207734000.0,6609736000.0,12507614000.0,7223635000.0,613899000.0,6609736000.0,18721000.0,18721000.0,-4316038000.0,10360058000.0,546995000.0,546995000.0,8378654000.0,6255216000.0,149604000.0,,,6105612000.0,207734000.0,5897878000.0,2123438000.0,,878444000.0,878444000.0,556000000.0,556000000.0,556000000.0,,,688994000.0,464904000.0,39065000.0,224090000.0,224090000.0,15602289000.0,15184210000.0,754723000.0,714679000.0,,714679000.0,714679000.0,13087261000.0,391956000.0,391956000.0,235591000.0,235591000.0,235591000.0,418079000.0,0.0,57990000.0,300854000.0,243149000.0,57705000.0,-2413000.0,60118000.0,59235000.0,59235000.0,2023-03-31,
,547052994.0,547052994.0,6464872000.0,6773141000.0,6170612000.0,13103717000.0,-1457382000.0,6170612000.0,204489000.0,6535065000.0,12774717000.0,7125653000.0,590588000.0,6535065000.0,31453000.0,31453000.0,-4428423000.0,10384982000.0,547053000.0,547053000.0,8477887000.0,6584201000.0,140060000.0,,,6444141000.0,204489000.0,6239652000.0,1893686000.0,52000.0,881870000.0,881870000.0,329000000.0,329000000.0,329000000.0,,,682764000.0,460091000.0,59641000.0,222673000.0,222673000.0,15603540000.0,15167236000.0,739574000.0,731956000.0,,731956000.0,731956000.0,13097203000.0,364453000.0,364453000.0,234050000.0,234050000.0,234050000.0,436304000.0,8282000.0,56745000.0,267497000.0,214030000.0,53467000.0,-2387000.0,55854000.0,103780000.0,103780000.0,2023-06-30,
0.0,547072311.0,547072311.0,6600935000.0,6869175000.0,6118114000.0,13121718000.0,-1583693000.0,6118114000.0,204762000.0,6457305000.0,12697718000.0,7032828000.0,575523000.0,6457305000.0,36747000.0,36747000.0,-4528508000.0,10401994000.0,547072000.0,547072000.0,8569706000.0,6578843000.0,133668000.0,,,6445175000.0,204762000.0,6240413000.0,1990863000.0,39000.0,879174000.0,879174000.0,424000000.0,424000000.0,,424000000.0,9000000.0,678650000.0,418173000.0,46256000.0,260477000.0,260477000.0,15602534000.0,15195364000.0,757164000.0,745381000.0,,745381000.0,745381000.0,13120148000.0,339191000.0,339191000.0,233480000.0,233480000.0,233480000.0,407170000.0,8277000.0,50449000.0,284966000.0,225881000.0,59085000.0,-2077000.0,61162000.0,63478000.0,63478000.0,2023-09-30,
0.0,547156311.0,547156311.0,6758664000.0,7083042000.0,6036290000.0,13226745000.0,-816646000.0,6036290000.0,206743000.0,6350446000.0,12506745000.0,6924870000.0,574424000.0,6350446000.0,19371000.0,19371000.0,,10405780000.0,547156000.0,547156000.0,8773980000.0,7396055000.0,127380000.0,905633000.0,905633000.0,6363042000.0,206743000.0,6156299000.0,1377925000.0,729000.0,,,720000000.0,720000000.0,,720000000.0,,657196000.0,416938000.0,59492000.0,240258000.0,240258000.0,15698850000.0,15137571000.0,772044000.0,782853000.0,,782853000.0,782853000.0,13028363000.0,314156000.0,314156000.0,240155000.0,240155000.0,240155000.0,561279000.0,117986000.0,51388000.0,274270000.0,218450000.0,55820000.0,-2282000.0,58102000.0,117635000.0,117635000.0,2023-12-31,-4621861000.0
,703733446.0,703733446.0,8654032000.0,9062914000.0,7721167000.0,17637408000.0,-1330344000.0,7721167000.0,307119000.0,8881613000.0,17454408000.0,9599499000.0,717886000.0,8881613000.0,38543000.0,38543000.0,,12918936000.0,703733000.0,703733000.0,10942541000.0,9118674000.0,238760000.0,,,8879914000.0,307119000.0,8572795000.0,1823867000.0,,923676000.0,923676000.0,183000000.0,183000000.0,0.0,183000000.0,,717191000.0,413366000.0,56411000.0,303825000.0,303825000.0,20542040000.0,20048517000.0,860513000.0,930559000.0,,930559000.0,930559000.0,16662989000.0,1160446000.0,1160446000.0,434010000.0,434010000.0,434010000.0,493523000.0,0.0,55395000.0,336365000.0,267798000.0,68567000.0,-2800000.0,71367000.0,101763000.0,101763000.0,2024-03-31,-4779599000.0
