ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,other_equity_interest,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,unrealized_gain_loss,retained_earnings,capital_stock,common_stock,total_liabilities_net_minority_interest,derivative_product_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,payables_and_accrued_expenses,payables,other_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,defined_pension_benefit,investments_and_advances,available_for_sale_securities,trading_securities,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,buildings_and_improvements,land_and_improvements,prepaid_assets,receivables,other_receivables,accounts_receivable,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date,treasury_shares_number
188446126794.0,188446126794.0,5176770000000.0,10583657000000.0,4746594000000.0,15300951000000.0,4746594000000.0,137089000000.0,4854383000000.0,15300951000000.0,4963947000000.0,109564000000.0,4854383000000.0,590247000000.0,2693394000000.0,2860541000000.0,-167147000000.0,679439000000.0,891303000000.0,891303000000.0,63458079000000.0,15211807000000.0,383081000000.0,6354000000.0,376727000000.0,10557755000000.0,111187000000.0,10446568000000.0,461022000000.0,25902000000.0,25902000000.0,1054295000000.0,1054295000000.0,265793000000.0,185494000000.0,185494000000.0,603008000000.0,68422026000000.0,542000000.0,10948956000000.0,4867591000000.0,,46586000000.0,107789000000.0,107789000000.0,371890000000.0,-581655000000.0,953545000000.0,,395558000000.0,311363000000.0,246624000000.0,245937000000.0,509030000000.0,324041000000.0,184989000000.0,6034779000000.0,5269798000000.0,715000000.0,1110830000000.0,2022-12-31,
188446126794.0,188446126794.0,9765239000000.0,16344130000000.0,3818500000000.0,20131867000000.0,3818500000000.0,132939000000.0,3920676000000.0,20131867000000.0,4034291000000.0,113615000000.0,3920676000000.0,,2594933000000.0,2815688000000.0,-220755000000.0,434440000000.0,891303000000.0,891303000000.0,65471477000000.0,15394007000000.0,6100000000.0,6099000000.0,1000000.0,16344130000000.0,132939000000.0,16211191000000.0,993141000000.0,,,690633000000.0,690633000000.0,117341000000.0,140516000000.0,140516000000.0,432776000000.0,69505768000000.0,0.0,11487655000000.0,5103603000000.0,0.0,47952000000.0,102176000000.0,102176000000.0,361146000000.0,-598198000000.0,959344000000.0,130899000000.0,404638000000.0,408795000000.0,15012000000.0,237752000000.0,327994000000.0,143885000000.0,184109000000.0,6336100000000.0,6445952000000.0,715000000.0,1123916000000.0,2023-03-31,
188446100000.0,188446100000.0,8064009000000.0,11395858000000.0,4074200000000.0,15436304000000.0,4074200000000.0,128072000000.0,4168518000000.0,15436304000000.0,4287883000000.0,119365000000.0,4168518000000.0,-83471000000.0,3059198000000.0,3115239000000.0,-56041000000.0,301488000000.0,891303000000.0,891303000000.0,64394098000000.0,13961781000000.0,1000000.0,,1000000.0,11371215000000.0,103429000000.0,11267786000000.0,523509000000.0,24643000000.0,24643000000.0,750659000000.0,750659000000.0,49822000000.0,94900000000.0,94900000000.0,605937000000.0,68681981000000.0,558000000.0,11931205000000.0,4910573000000.0,,44671000000.0,94318000000.0,94318000000.0,355209000000.0,-616157000000.0,971366000000.0,133019000000.0,411731000000.0,411604000000.0,15012000000.0,219197000000.0,1501991000000.0,1473945000000.0,28046000000.0,6975961000000.0,3203777000000.0,709000000.0,1135380000000.0,2023-06-30,
188446126794.0,188446126794.0,7136445000000.0,11754077000000.0,4097293000000.0,15830309000000.0,4097293000000.0,116387000000.0,4192619000000.0,15830309000000.0,4317498000000.0,124879000000.0,4192619000000.0,,2943212000000.0,2943212000000.0,,358104000000.0,891303000000.0,891303000000.0,68173246000000.0,13975412000000.0,98000000.0,,98000000.0,11730674000000.0,92984000000.0,11637690000000.0,565301000000.0,23403000000.0,23403000000.0,317206000000.0,317206000000.0,,130814000000.0,130814000000.0,186392000000.0,72490744000000.0,558000000.0,12134780000000.0,5024390000000.0,,51406000000.0,95326000000.0,95326000000.0,346744000000.0,-622383000000.0,969127000000.0,131462000000.0,424882000000.0,398069000000.0,14714000000.0,198287000000.0,1491613000000.0,1450211000000.0,41402000000.0,7058984000000.0,4501245000000.0,759000000.0,1210438000000.0,2023-09-30,
188446126794.0,188446126794.0,6543152000000.0,12423193000000.0,5095302000000.0,17511530000000.0,5095302000000.0,104516000000.0,5192853000000.0,17511530000000.0,5317588000000.0,124735000000.0,5192853000000.0,608721000000.0,3155368000000.0,3160610000000.0,-5242000000.0,537461000000.0,891303000000.0,891303000000.0,65771851000000.0,13138349000000.0,220615000000.0,2679000000.0,217936000000.0,12402477000000.0,83800000000.0,12318677000000.0,283971000000.0,20716000000.0,20716000000.0,831296000000.0,831296000000.0,36819000000.0,302197000000.0,302197000000.0,492280000000.0,71089439000000.0,233000000.0,12971769000000.0,8176895000000.0,,55284000000.0,97551000000.0,97551000000.0,352272000000.0,-639421000000.0,991693000000.0,215411000000.0,442770000000.0,318881000000.0,14631000000.0,169603000000.0,382226000000.0,182480000000.0,199746000000.0,4739590000000.0,5775525000000.0,819000000.0,1198568000000.0,2023-12-31,0.0
