tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,rent_expense_supplemental,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,other_special_charges,write_off,impairment_of_capital_assets,gain_on_sale_of_security,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,insurance_and_claims,rent_and_landing_fees,salaries_and_wages,total_revenue,operating_revenue,date
1113210000.0,0.27,4123000000.0,4123000000.0,85427000000.0,26816000000.0,1097838000000.0,1030652000000.0,2128490000000.0,82417210000.0,85427000000.0,3882000000.0,,,,,85427000000.0,85427000000.0,85427000000.0,-2995000000.0,88422000000.0,,88422000000.0,-3055000000.0,85367000000.0,-68000000.0,68000000.0,,,-2361759000000.0,33816000000.0,33816000000.0,11952000000.0,11952000000.0,21864000000.0,225734000000.0,8600000000.0,217134000000.0,64146000000.0,48725000000.0,3882000000.0,100381000000.0,244744000000.0,244744000000.0,2022-12-31
312318800.0,0.1132,2759000000.0,2759000000.0,135683000000.0,36047000000.0,175345000000.0,748155000000.0,923500000000.0,133236318800.0,135683000000.0,2864000000.0,471115317.0,471115317.0,288.0,288.0,135683000000.0,135683000000.0,135683000000.0,-4107000000.0,139790000000.0,0.0,139790000000.0,17838000000.0,157628000000.0,-170000000.0,170000000.0,,0.0,-36561000000.0,36047000000.0,36047000000.0,13282000000.0,13282000000.0,22765000000.0,168084000000.0,5681000000.0,162403000000.0,60590000000.0,1308000000.0,2864000000.0,97641000000.0,534367000000.0,534367000000.0,2023-03-31
-36144000.0,0.048,-753000000.0,-753000000.0,127187000000.0,34932000000.0,124578000000.0,824157000000.0,948735000000.0,127903856000.0,127187000000.0,3990000000.0,467599265.0,467599265.0,272.0,272.0,127187000000.0,127187000000.0,127187000000.0,-5647000000.0,132834000000.0,,132834000000.0,6686000000.0,139520000000.0,-19000000.0,19000000.0,0.0,0.0,353592000000.0,34932000000.0,34932000000.0,,,,185078000000.0,5824000000.0,179254000000.0,59801000000.0,1111000000.0,3990000000.0,114352000000.0,524389000000.0,524389000000.0,2023-06-30
2617222300.0,0.2891,9053000000.0,9053000000.0,56616000000.0,36310000000.0,190749000000.0,796628000000.0,987377000000.0,50180222300.0,56616000000.0,2744000000.0,471800000.0,471800000.0,120.0,120.0,56616000000.0,56616000000.0,56616000000.0,-5000000000.0,61616000000.0,,61616000000.0,13280000000.0,74896000000.0,-134000000.0,134000000.0,0.0,,80113000000.0,36310000000.0,36310000000.0,13265000000.0,13265000000.0,23045000000.0,178861000000.0,5847000000.0,173014000000.0,63272000000.0,901000000.0,2744000000.0,106097000000.0,429304000000.0,429304000000.0,2023-09-30
309250028.96572,0.187084,1653000000.0,1653000000.0,259941000000.0,36473000000.0,602378000000.0,942001000000.0,1544379000000.0,258597250028.96573,259941000000.0,5507000000.0,,,,,259941000000.0,259941000000.0,259941000000.0,342000000.0,259599000000.0,,259599000000.0,59744000000.0,319343000000.0,-119000000.0,-1793000000.0,1912000000.0,,-334319000000.0,36473000000.0,36473000000.0,13790000000.0,13790000000.0,22683000000.0,191325000000.0,6203000000.0,185122000000.0,72869000000.0,10844000000.0,5507000000.0,95902000000.0,423563000000.0,423563000000.0,2023-12-31
