free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,issuance_of_capital_stock,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,cash_dividends_paid,net_preferred_stock_issuance,preferred_stock_payments,net_common_stock_issuance,common_stock_issuance,net_issuance_payments_of_debt,net_short_term_debt_issuance,short_term_debt_issuance,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_properties_purchase_and_sale,sale_of_investment_properties,purchase_of_investment_properties,net_business_purchase_and_sale,purchase_of_business,operating_cash_flow,cash_flow_from_continuing_operating_activities,dividend_received_cfo,change_in_working_capital,change_in_payables_and_accrued_expense,change_in_payable,change_in_account_payable,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,depreciation_amortization_depletion,depreciation_and_amortization,operating_gains_losses,earnings_losses_from_equity_investments,gain_loss_on_investment_securities,net_income_from_continuing_operations,date,asset_impairment_charge
456424000.0,0.0,-295230000.0,-1603987000.0,527554000.0,150696000.0,185944000.0,78175000.0,-113423000.0,401621000.0,401621000.0,93259000.0,-10156000.0,0.0,0.0,527554000.0,527554000.0,-209036000.0,-277968000.0,,68932000.0,-295230000.0,364162000.0,-971469000.0,-971469000.0,-40824000.0,-822005000.0,67572000.0,-889577000.0,-108640000.0,-53086000.0,456424000.0,456424000.0,7789000.0,40749000.0,36248000.0,36248000.0,36248000.0,4501000.0,4501000.0,-81332000.0,30208000.0,430130000.0,430130000.0,28119000.0,28113000.0,6000.0,761000.0,2022-12-31,
349726000.0,,-3081000.0,1136112000.0,,141630000.0,150696000.0,-693000.0,-8373000.0,390908000.0,390908000.0,-4147000.0,-737976000.0,,,,,1133031000.0,345150000.0,345150000.0,787881000.0,-3081000.0,790962000.0,-749007000.0,-749007000.0,-6320000.0,-738677000.0,,-738677000.0,-4010000.0,-57001000.0,349726000.0,349726000.0,28904000.0,-154376000.0,-12418000.0,-12418000.0,-12418000.0,-141958000.0,-141958000.0,-17442000.0,17502000.0,421198000.0,421198000.0,-14897000.0,-14897000.0,,68837000.0,2023-03-31,
464388000.0,,0.0,-262881000.0,,134647000.0,141630000.0,-34796000.0,27813000.0,93424000.0,93424000.0,-1905000.0,-384015000.0,,,,,-262881000.0,-278104000.0,-278104000.0,15223000.0,0.0,15223000.0,-529999000.0,-529999000.0,-423000.0,-479212000.0,,-629983000.0,-50364000.0,-1185000.0,464388000.0,464388000.0,10934000.0,-39082000.0,80008000.0,80008000.0,80008000.0,-119090000.0,-119090000.0,21269000.0,18053000.0,432573000.0,432573000.0,-95005000.0,-5059000.0,,115646000.0,2023-06-30,
358361000.0,,-443337000.0,-45472000.0,335313000.0,1072445000.0,134647000.0,-8256000.0,946054000.0,-592607000.0,-592607000.0,-50639000.0,-388472000.0,,,335313000.0,335313000.0,-488809000.0,,,-421763000.0,-443337000.0,21574000.0,1180300000.0,1180300000.0,2432776000.0,-1248573000.0,,-1097802000.0,-3903000.0,-91000.0,358361000.0,358361000.0,11230000.0,-137691000.0,-54972000.0,-54972000.0,-54972000.0,-82719000.0,-82719000.0,-23064000.0,19230000.0,420613000.0,420613000.0,-790895000.0,19793000.0,-810688000.0,745938000.0,2023-09-30,
462305000.0,,-2959205000.0,2912214000.0,1129721000.0,1636470000.0,1072445000.0,46376000.0,517649000.0,1071749000.0,1071749000.0,-800000.0,-10181000.0,,,1129721000.0,1129721000.0,-46991000.0,,,375812000.0,334439000.0,41373000.0,-1016405000.0,-1016405000.0,-2488555000.0,1560642000.0,,-1059136000.0,-88492000.0,-330476000.0,462305000.0,462305000.0,22450000.0,-48602000.0,-237052000.0,-237052000.0,-237052000.0,188450000.0,188450000.0,-13076000.0,25747000.0,420475000.0,420475000.0,30057000.0,29954000.0,103000.0,19891000.0,2023-12-31,5363000.0
