free_cash_flow,repurchase_of_capital_stock,capital_expenditure,end_cash_position,beginning_cash_position,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,proceeds_from_stock_option_exercised,net_common_stock_issuance,common_stock_payments,net_issuance_payments_of_debt,net_long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_business_purchase_and_sale,purchase_of_business,net_ppe_purchase_and_sale,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_accrued_expense,change_in_payable,change_in_account_payable,change_in_tax_payable,change_in_income_tax_payable,change_in_prepaid_assets,change_in_inventory,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,amortization_of_securities,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,operating_gains_losses,earnings_losses_from_equity_investments,net_income_from_continuing_operations,date
1570000000.0,-402000000.0,-92000000.0,3217000000.0,3041000000.0,176000000.0,-438000000.0,-438000000.0,25000000.0,-402000000.0,-402000000.0,-61000000.0,-61000000.0,-1048000000.0,-1048000000.0,-5000000.0,-951000000.0,1559000000.0,-2510000000.0,,,-92000000.0,-92000000.0,1662000000.0,1662000000.0,626000000.0,-993000000.0,-172000000.0,-8000000.0,391000000.0,258000000.0,133000000.0,151000000.0,-18000000.0,-18000000.0,-1030000000.0,1128000000.0,1310000000.0,1310000000.0,-8000000.0,62000000.0,-4000000.0,,,80000000.0,80000000.0,,,1465000000.0,2022-12-31
-1338000000.0,-526000000.0,-113000000.0,3461000000.0,3217000000.0,244000000.0,-542000000.0,-542000000.0,9000000.0,-526000000.0,-526000000.0,-25000000.0,-25000000.0,2011000000.0,2011000000.0,,2209000000.0,3317000000.0,-1108000000.0,-85000000.0,-85000000.0,-113000000.0,-113000000.0,-1225000000.0,-1225000000.0,-1144000000.0,-819000000.0,-11000000.0,4000000.0,-594000000.0,-495000000.0,-99000000.0,-117000000.0,18000000.0,18000000.0,-212000000.0,216000000.0,272000000.0,272000000.0,-4000000.0,75000000.0,-17000000.0,-310000000.0,-310000000.0,78000000.0,78000000.0,18000000.0,18000000.0,79000000.0,2023-03-31
-1149000000.0,-628000000.0,-234000000.0,3822000000.0,3461000000.0,361000000.0,-668000000.0,-668000000.0,16000000.0,-628000000.0,-628000000.0,-56000000.0,-56000000.0,1944000000.0,1944000000.0,,2178000000.0,2374000000.0,-196000000.0,0.0,0.0,-234000000.0,-234000000.0,-915000000.0,-915000000.0,574000000.0,-160000000.0,5000000.0,-13000000.0,-227000000.0,-138000000.0,-89000000.0,-70000000.0,-19000000.0,-19000000.0,70000000.0,18000000.0,881000000.0,881000000.0,-8000000.0,74000000.0,-12000000.0,-220000000.0,-220000000.0,92000000.0,92000000.0,-35000000.0,,-1380000000.0,2023-06-30
-1740000000.0,1000000.0,-140000000.0,2953000000.0,3822000000.0,-869000000.0,-58000000.0,-58000000.0,6000000.0,1000000.0,1000000.0,-65000000.0,-65000000.0,789000000.0,789000000.0,,929000000.0,1745000000.0,-816000000.0,0.0,0.0,-140000000.0,-140000000.0,-1600000000.0,-1600000000.0,182000000.0,-194000000.0,632000000.0,-648000000.0,884000000.0,696000000.0,,179000000.0,9000000.0,9000000.0,914000000.0,228000000.0,-1634000000.0,-1634000000.0,37000000.0,77000000.0,-12000000.0,1464000000.0,1464000000.0,249000000.0,249000000.0,33000000.0,,-3630000000.0,2023-09-30
402000000.0,0.0,-220000000.0,2928000000.0,2953000000.0,-25000000.0,-109000000.0,-109000000.0,15000000.0,0.0,0.0,-124000000.0,-124000000.0,-538000000.0,-538000000.0,,-295000000.0,1345000000.0,-1640000000.0,0.0,0.0,-220000000.0,-220000000.0,622000000.0,622000000.0,249000000.0,-887000000.0,-2000000.0,52000000.0,-375000000.0,-403000000.0,,21000000.0,7000000.0,7000000.0,202000000.0,285000000.0,974000000.0,974000000.0,-18000000.0,79000000.0,-20000000.0,-106000000.0,-106000000.0,202000000.0,202000000.0,19000000.0,19000000.0,217000000.0,2023-12-31
