free_cash_flow,repayment_of_debt,issuance_of_debt,issuance_of_capital_stock,capital_expenditure,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,net_common_stock_issuance,common_stock_issuance,net_issuance_payments_of_debt,net_short_term_debt_issuance,short_term_debt_issuance,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,purchase_of_investment,net_business_purchase_and_sale,sale_of_business,purchase_of_business,net_ppe_purchase_and_sale,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_accrued_expense,change_in_payable,change_in_account_payable,change_in_tax_payable,change_in_income_tax_payable,change_in_inventory,change_in_receivables,changes_in_account_receivables,stock_based_compensation,provisionand_write_offof_assets,asset_impairment_charge,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,net_income_from_continuing_operations,date,cash_dividends_paid,common_stock_dividend_paid
485000000.0,,-8000000.0,,-159000000.0,1231000000.0,797000000.0,20000000.0,414000000.0,-63000000.0,-63000000.0,-55000000.0,,,-8000000.0,,,-8000000.0,,-8000000.0,-167000000.0,-167000000.0,,-1000000.0,-1000000.0,-7000000.0,0.0,-7000000.0,-159000000.0,-159000000.0,644000000.0,644000000.0,29000000.0,-13000000.0,34000000.0,44000000.0,-57000000.0,0.0,-57000000.0,33000000.0,-90000000.0,-90000000.0,-47000000.0,68000000.0,68000000.0,31000000.0,1000000.0,4000000.0,43000000.0,43000000.0,166000000.0,166000000.0,370000000.0,2022-12-31,,
747000000.0,-12000000.0,7686000000.0,,-55000000.0,9386000000.0,1231000000.0,6000000.0,8149000000.0,7388000000.0,7388000000.0,-286000000.0,,,7674000000.0,,,7674000000.0,-12000000.0,7686000000.0,-41000000.0,-41000000.0,14000000.0,,,,,,-55000000.0,-55000000.0,802000000.0,802000000.0,118000000.0,10000000.0,-189000000.0,-13000000.0,270000000.0,52000000.0,218000000.0,-54000000.0,272000000.0,272000000.0,17000000.0,23000000.0,23000000.0,35000000.0,,,167000000.0,167000000.0,152000000.0,152000000.0,330000000.0,2023-03-31,,
665000000.0,-2000000.0,742000000.0,,-77000000.0,1231000000.0,9386000000.0,-14000000.0,-8141000000.0,-8806000000.0,-8806000000.0,-13787000000.0,,,740000000.0,,,-2000000.0,-2000000.0,0.0,-77000000.0,-77000000.0,0.0,,,,,,-77000000.0,-77000000.0,742000000.0,742000000.0,126000000.0,-6000000.0,-62000000.0,-482000000.0,628000000.0,724000000.0,-96000000.0,383000000.0,-479000000.0,-479000000.0,126000000.0,-78000000.0,-78000000.0,38000000.0,,,-12000000.0,-12000000.0,148000000.0,148000000.0,430000000.0,2023-06-30,,
560000000.0,0.0,-245000000.0,0.0,-114000000.0,1062000000.0,1231000000.0,-12000000.0,-157000000.0,-726000000.0,-726000000.0,-98000000.0,0.0,0.0,-245000000.0,-245000000.0,-245000000.0,0.0,0.0,0.0,-105000000.0,-105000000.0,-5000000.0,,,,,,-114000000.0,-114000000.0,674000000.0,674000000.0,248000000.0,,28000000.0,77000000.0,57000000.0,-52000000.0,109000000.0,-98000000.0,,,132000000.0,-42000000.0,-42000000.0,2000000.0,,,-283000000.0,-283000000.0,153000000.0,153000000.0,577000000.0,2023-09-30,,
727000000.0,0.0,77000000.0,0.0,-223000000.0,1382000000.0,1062000000.0,18000000.0,302000000.0,-383000000.0,-383000000.0,-77000000.0,0.0,0.0,77000000.0,77000000.0,77000000.0,0.0,0.0,0.0,-265000000.0,-265000000.0,-28000000.0,,,,,,-223000000.0,-223000000.0,950000000.0,950000000.0,305000000.0,,11000000.0,-11000000.0,168000000.0,340000000.0,-172000000.0,159000000.0,,,74000000.0,141000000.0,141000000.0,113000000.0,,,14000000.0,14000000.0,174000000.0,174000000.0,327000000.0,2023-12-31,-383000000.0,-383000000.0
