tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
6510000.0,0.21,459000000.0,31000000.0,31000000.0,-262000000.0,166000000.0,1786000000.0,490000000.0,324000000.0,,,-286490000.0,-262000000.0,3443000000.0,332000000.0,,,,,-262000000.0,-262000000.0,-262000000.0,-262000000.0,-262000000.0,46000000.0,-216000000.0,-540000000.0,-571000000.0,8000000.0,,-8000000.0,,-19000000.0,,,324000000.0,1657000000.0,-9000000.0,1666000000.0,1981000000.0,1786000000.0,3767000000.0,3767000000.0,2022-12-31
-1470000.0,0.21,790000000.0,-7000000.0,-7000000.0,330000000.0,152000000.0,1727000000.0,783000000.0,631000000.0,,,335530000.0,330000000.0,3221000000.0,640000000.0,1888972560.0,1888972560.0,0.174698,0.174698,330000000.0,330000000.0,330000000.0,330000000.0,330000000.0,279000000.0,609000000.0,-22000000.0,-15000000.0,9000000.0,9000000.0,,,-16000000.0,,,631000000.0,1494000000.0,-8000000.0,1502000000.0,2125000000.0,1727000000.0,3852000000.0,3852000000.0,2023-03-31
3270000.0,0.327,830000000.0,10000000.0,10000000.0,430000000.0,148000000.0,1786000000.0,840000000.0,692000000.0,-53000000.0,53000000.0,423270000.0,430000000.0,3331000000.0,702000000.0,1838000000.0,1838000000.0,0.23,0.23,430000000.0,430000000.0,430000000.0,430000000.0,430000000.0,209000000.0,639000000.0,12000000.0,2000000.0,22000000.0,0.0,21000000.0,-43000000.0,-12000000.0,-53000000.0,53000000.0,680000000.0,1545000000.0,23000000.0,1522000000.0,2225000000.0,1786000000.0,4011000000.0,4011000000.0,2023-06-30
-5271000.0,0.251,859000000.0,-21000000.0,-21000000.0,438000000.0,153000000.0,1665000000.0,838000000.0,685000000.0,-100000000.0,100000000.0,453729000.0,438000000.0,3207000000.0,710000000.0,1920000000.0,1916000000.0,0.23,0.23,438000000.0,438000000.0,438000000.0,438000000.0,438000000.0,147000000.0,585000000.0,-23000000.0,-2000000.0,2000000.0,0.0,,-2000000.0,-23000000.0,-100000000.0,100000000.0,708000000.0,1542000000.0,11000000.0,1531000000.0,2250000000.0,1665000000.0,3915000000.0,3915000000.0,2023-09-30
-1092436.97479,0.084034,748000000.0,-13000000.0,-13000000.0,327000000.0,174000000.0,1623000000.0,735000000.0,561000000.0,-96000000.0,204000000.0,338907563.02521,327000000.0,3200000000.0,460000000.0,1919000000.0,1915000000.0,0.17,0.17,327000000.0,327000000.0,327000000.0,327000000.0,327000000.0,30000000.0,357000000.0,-13000000.0,0.0,-6000000.0,0.0,6000000.0,0.0,-7000000.0,-96000000.0,204000000.0,466000000.0,1577000000.0,-9000000.0,1586000000.0,2043000000.0,1623000000.0,3666000000.0,3666000000.0,2023-12-31
