tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
915390.0,0.21,94963000.0,4359000.0,4359000.0,-74721000.0,91854000.0,435793000.0,99322000.0,7468000.0,1626000.0,29626000.0,31252000.0,-78164610.0,-74721000.0,1625424000.0,-26321000.0,255753000.0,255753000.0,-0.29,-0.29,-74721000.0,0.0,-74721000.0,-74721000.0,-74721000.0,-74721000.0,52563000.0,-22158000.0,2537000.0,-1822000.0,4359000.0,1626000.0,29626000.0,31252000.0,-26321000.0,1189631000.0,565727000.0,623904000.0,470196000.0,153708000.0,153708000.0,1163310000.0,435793000.0,1599103000.0,1599103000.0,2022-10-31
0.0,0.21,40592000.0,,,-125697000.0,89962000.0,453479000.0,40592000.0,-49370000.0,18687000.0,28549000.0,47236000.0,-125697000.0,-125697000.0,1735218000.0,-88958000.0,257322000.0,257322000.0,-0.49,-0.49,-125697000.0,,-125697000.0,-125697000.0,-125697000.0,-125697000.0,47778000.0,-77919000.0,-7648000.0,-7648000.0,,18687000.0,28549000.0,47236000.0,-88958000.0,1281739000.0,615589000.0,666150000.0,489895000.0,176255000.0,176255000.0,1192781000.0,453479000.0,1646260000.0,1646260000.0,2023-01-31
0.0,0.21,105896000.0,,,136000.0,70441000.0,417444000.0,105896000.0,35455000.0,34149000.0,28546000.0,62695000.0,136000.0,136000.0,1704112000.0,-19800000.0,261371000.0,258820000.0,0.00052,0.000525,136000.0,,136000.0,136000.0,136000.0,136000.0,6773000.0,6909000.0,-7440000.0,-7440000.0,,34149000.0,28546000.0,62695000.0,-19800000.0,1286668000.0,600457000.0,686211000.0,518637000.0,167574000.0,167574000.0,1266868000.0,417444000.0,1684312000.0,1684312000.0,2023-04-30
0.0,0.038527,181763000.0,,,78660000.0,71415000.0,448100000.0,181763000.0,110348000.0,43033000.0,28536000.0,71569000.0,78660000.0,78660000.0,1750509000.0,36257000.0,264435000.0,261191000.0,0.3,0.3,78660000.0,,78660000.0,78660000.0,78660000.0,78660000.0,3152000.0,81812000.0,2522000.0,2522000.0,,43033000.0,28536000.0,71569000.0,36257000.0,1302409000.0,609677000.0,692732000.0,524186000.0,168546000.0,168546000.0,1338666000.0,448100000.0,1786766000.0,1786766000.0,2023-07-31
-1727041.665699,0.120192,240761000.0,-14369000.0,-14369000.0,113709000.0,68614000.0,445240000.0,226392000.0,157778000.0,51469000.0,28535000.0,80004000.0,126350958.334301,113709000.0,1777820000.0,87855000.0,266377000.0,262153000.0,0.43,0.43,113709000.0,0.0,113709000.0,113709000.0,113709000.0,113709000.0,15534000.0,129243000.0,-10081000.0,4288000.0,-14369000.0,51469000.0,28535000.0,80004000.0,87855000.0,1332580000.0,618736000.0,713844000.0,537816000.0,176028000.0,176028000.0,1420435000.0,445240000.0,1865675000.0,1865675000.0,2023-10-31
0.0,0.4,237949000.0,,,1188495000.0,71530000.0,460216000.0,237949000.0,166419000.0,58349000.0,28383000.0,86732000.0,1188495000.0,1188495000.0,1843559000.0,78688000.0,,,,,1188495000.0,,1188495000.0,1188495000.0,1188495000.0,1188495000.0,-1050459000.0,138036000.0,999000.0,-20546000.0,,58349000.0,28383000.0,86732000.0,78688000.0,1383343000.0,635130000.0,748213000.0,558361000.0,189852000.0,189852000.0,1462031000.0,460216000.0,1922247000.0,1922247000.0,2024-01-31
