tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,gain_on_sale_of_business,other_special_charges,impairment_of_capital_assets,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,provision_for_doubtful_accounts,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-222810000.0,0.21,728000000.0,-1061000000.0,-1061000000.0,-903000000.0,253000000.0,2497000000.0,-333000000.0,-586000000.0,-185000000.0,304000000.0,119000000.0,-64810000.0,-903000000.0,2535000000.0,-903000000.0,-903000000.0,-903000000.0,83000000.0,-986000000.0,0.0,-986000000.0,-17000000.0,79000000.0,-890000000.0,-1230000000.0,-169000000.0,-1040000000.0,-4000000.0,-24000000.0,10000000.0,1007000000.0,-5000000.0,-21000000.0,-185000000.0,304000000.0,119000000.0,525000000.0,38000000.0,,58000000.0,58000000.0,58000000.0,,563000000.0,2497000000.0,3060000000.0,3060000000.0,2022-12-31
-17280000.0,0.27,932000000.0,-64000000.0,-64000000.0,151000000.0,273000000.0,2645000000.0,868000000.0,595000000.0,-207000000.0,330000000.0,123000000.0,197720000.0,151000000.0,2700000000.0,151000000.0,151000000.0,151000000.0,-38000000.0,189000000.0,,189000000.0,-4000000.0,72000000.0,265000000.0,-67000000.0,-3000000.0,-22000000.0,0.0,0.0,-5000000.0,20000000.0,7000000.0,-42000000.0,-207000000.0,330000000.0,123000000.0,539000000.0,55000000.0,,55000000.0,55000000.0,55000000.0,,594000000.0,2645000000.0,3239000000.0,3239000000.0,2023-03-31
-52500000.0,0.21,841000000.0,-250000000.0,-250000000.0,-39000000.0,277000000.0,2529000000.0,591000000.0,314000000.0,-179000000.0,310000000.0,131000000.0,158500000.0,-39000000.0,2604000000.0,-39000000.0,-39000000.0,-39000000.0,-20000000.0,-19000000.0,,-19000000.0,-25000000.0,-2000000.0,4000000.0,-240000000.0,10000000.0,-183000000.0,-7000000.0,-4000000.0,-3000000.0,174000000.0,1000000.0,-67000000.0,-179000000.0,310000000.0,131000000.0,423000000.0,75000000.0,0.0,75000000.0,75000000.0,72000000.0,3000000.0,498000000.0,2529000000.0,3027000000.0,3027000000.0,2023-06-30
-66560000.0,0.26,1282000000.0,-256000000.0,-256000000.0,231000000.0,286000000.0,2516000000.0,1026000000.0,740000000.0,-182000000.0,326000000.0,144000000.0,420440000.0,231000000.0,2582000000.0,231000000.0,231000000.0,231000000.0,-60000000.0,291000000.0,,291000000.0,-14000000.0,109000000.0,414000000.0,-256000000.0,,-156000000.0,-2000000.0,0.0,-5000000.0,158000000.0,1000000.0,-100000000.0,-182000000.0,326000000.0,144000000.0,852000000.0,66000000.0,0.0,66000000.0,66000000.0,64000000.0,2000000.0,918000000.0,2516000000.0,3434000000.0,3449000000.0,2023-09-30
