tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,provision_for_doubtful_accounts,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-392910.0,0.21,319765000.0,-1871000.0,-1871000.0,176818000.0,148570000.0,243833000.0,317894000.0,169324000.0,2334000.0,924000.0,,178296090.0,176818000.0,758433000.0,167475000.0,157451000.0,157109000.0,0.82,0.82,176818000.0,176818000.0,176818000.0,176818000.0,176818000.0,0.0,-8418000.0,168400000.0,-3280000.0,-1409000.0,-1871000.0,1871000.0,2334000.0,,924000.0,,169346000.0,400465000.0,4046000.0,34435000.0,34435000.0,16993000.0,16993000.0,17442000.0,105382000.0,256602000.0,444061000.0,-187459000.0,56066000.0,-243525000.0,569811000.0,357968000.0,927779000.0,927779000.0,2022-12-31
-11615110.0,0.235,314450000.0,-49426000.0,-49426000.0,97106000.0,135457000.0,258492000.0,265024000.0,129567000.0,2611000.0,2681000.0,5292000.0,134916890.0,97106000.0,739634000.0,126638000.0,156135000.0,155637000.0,0.62,0.62,97106000.0,97106000.0,97106000.0,97106000.0,97106000.0,0.0,29780000.0,126886000.0,-51789000.0,-2363000.0,-49426000.0,49426000.0,2611000.0,,2681000.0,5292000.0,176064000.0,378318000.0,-83000.0,32633000.0,32633000.0,15912000.0,15912000.0,16721000.0,91863000.0,253905000.0,129107000.0,124798000.0,49943000.0,74855000.0,554382000.0,361316000.0,915698000.0,915698000.0,2023-03-31
-1533657.0,0.141,301999000.0,-10877000.0,-10877000.0,128816000.0,139125000.0,266279000.0,291122000.0,151997000.0,1352000.0,1990000.0,4509000.0,138159343.0,128816000.0,775059000.0,149785000.0,153454000.0,152064000.0,0.84,0.85,128816000.0,128816000.0,128816000.0,128816000.0,128816000.0,0.0,21191000.0,150007000.0,-12007000.0,-1130000.0,-10877000.0,10877000.0,1352000.0,1167000.0,1990000.0,4509000.0,160662000.0,401784000.0,1991000.0,32129000.0,32129000.0,15898000.0,15898000.0,16231000.0,99041000.0,268623000.0,26355000.0,242268000.0,54377000.0,187891000.0,562446000.0,373275000.0,935721000.0,935721000.0,2023-06-30
-543982.0,0.113,336226000.0,-4814000.0,-4814000.0,160542000.0,148560000.0,268820000.0,331412000.0,182852000.0,6425000.0,3459000.0,11412000.0,164812018.0,160542000.0,784541000.0,176129000.0,154976000.0,151359000.0,1.04,1.06,160542000.0,160542000.0,160542000.0,160542000.0,160542000.0,1475000.0,20326000.0,179393000.0,-7975000.0,-3161000.0,-4814000.0,4814000.0,6425000.0,1528000.0,3459000.0,11412000.0,180943000.0,401466000.0,-1500000.0,34305000.0,34305000.0,18108000.0,18108000.0,16197000.0,105942000.0,262719000.0,20801000.0,241918000.0,50758000.0,191160000.0,582409000.0,383075000.0,965484000.0,965484000.0,2023-09-30
-58626.525548,0.178739,354948000.0,-328000.0,-328000.0,161165000.0,147634000.0,279264000.0,354620000.0,206986000.0,17097000.0,10745000.0,23981000.0,161434373.474452,161165000.0,809903000.0,184786000.0,157024000.0,150979000.0,1.03,1.07,161165000.0,161165000.0,161165000.0,161165000.0,161165000.0,0.0,35076000.0,196241000.0,-5970000.0,-5642000.0,-328000.0,328000.0,17097000.0,,10745000.0,23981000.0,185114000.0,416506000.0,1241000.0,33501000.0,33501000.0,16833000.0,16833000.0,16668000.0,109202000.0,272562000.0,22124000.0,250438000.0,57669000.0,192769000.0,601620000.0,393397000.0,995017000.0,995017000.0,2023-12-31
