treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,line_of_credit,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,investmentin_financial_assets,available_for_sale_securities,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,properties,current_assets,other_current_assets,current_deferred_assets,prepaid_assets,receivables,receivables_adjustments_allowances,other_receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date,interest_payable
,156494816.0,156494816.0,1742921000.0,3174617000.0,1154633000.0,6645445000.0,1150694000.0,1154633000.0,889359000.0,4360187000.0,6645445000.0,4360187000.0,4360187000.0,-140332000.0,-140332000.0,,1920351000.0,2578603000.0,1565000.0,1565000.0,0.0,3943213000.0,3124345000.0,105305000.0,40517000.0,22117000.0,18400000.0,2978523000.0,693265000.0,2285258000.0,818868000.0,9414000.0,105109000.0,105109000.0,196094000.0,196094000.0,,,508251000.0,255661000.0,252590000.0,107170000.0,76459000.0,145420000.0,8303400000.0,6333838000.0,116522000.0,337677000.0,337677000.0,320531000.0,320531000.0,320531000.0,3205554000.0,441716000.0,2763838000.0,2353554000.0,-2560625000.0,4914179000.0,229037000.0,813372000.0,3871770000.0,0.0,1969562000.0,14999000.0,37316000.0,132725000.0,679206000.0,-5917000.0,194961000.0,490162000.0,1105316000.0,562979000.0,542337000.0,2022-12-31,
4555541.0,152743828.0,157299369.0,1987569000.0,3227232000.0,957249000.0,6457710000.0,861458000.0,957249000.0,940863000.0,4171341000.0,6457710000.0,4171341000.0,4171341000.0,-121161000.0,-121161000.0,351772000.0,2017457000.0,2625244000.0,1573000.0,1573000.0,0.0,4011992000.0,3175739000.0,109369000.0,44193000.0,23754000.0,20439000.0,3022177000.0,735808000.0,2286369000.0,836253000.0,31218000.0,140927000.0,140927000.0,205055000.0,205055000.0,,,459053000.0,256924000.0,202129000.0,,,202129000.0,8183333000.0,6485622000.0,133208000.0,334733000.0,334733000.0,298699000.0,298699000.0,298699000.0,3214092000.0,432233000.0,2781859000.0,2504890000.0,,2504890000.0,,2504890000.0,,,1697711000.0,239981000.0,,,705817000.0,-5557000.0,194976000.0,516398000.0,751913000.0,453113000.0,298800000.0,2023-03-31,
6191367.0,151790861.0,157982228.0,2008869000.0,3283007000.0,1003443000.0,6596648000.0,857698000.0,1003443000.0,975526000.0,4289167000.0,6576648000.0,4289167000.0,4289167000.0,-119964000.0,-119964000.0,490403000.0,2146273000.0,2751681000.0,1580000.0,1580000.0,0.0,4056798000.0,3196024000.0,104253000.0,45988000.0,27149000.0,18839000.0,3045783000.0,758302000.0,2287481000.0,860774000.0,21184000.0,138608000.0,138608000.0,237224000.0,217224000.0,20000000.0,20000000.0,463758000.0,269265000.0,194493000.0,,,194493000.0,8345965000.0,6627493000.0,124756000.0,337034000.0,337034000.0,249211000.0,249211000.0,249211000.0,3285724000.0,437257000.0,2848467000.0,2630768000.0,,2630768000.0,,2630768000.0,,,1718472000.0,229468000.0,,,698445000.0,-8038000.0,206639000.0,499844000.0,790559000.0,491947000.0,298612000.0,2023-06-30,
7306155.0,150955849.0,158262004.0,3076435000.0,4502085000.0,1015981000.0,7860546000.0,1056890000.0,1015981000.0,965743000.0,4324204000.0,7860546000.0,4324204000.0,4324204000.0,-137472000.0,-137472000.0,603632000.0,2306815000.0,2756910000.0,1583000.0,1583000.0,0.0,5257884000.0,4447393000.0,102472000.0,47926000.0,26991000.0,20935000.0,4296995000.0,760653000.0,3536342000.0,810491000.0,7187000.0,124394000.0,124394000.0,205090000.0,205090000.0,,,473820000.0,329354000.0,144466000.0,,,144466000.0,9582088000.0,7714707000.0,122395000.0,405251000.0,405251000.0,1208797000.0,1208797000.0,1208797000.0,3308223000.0,465203000.0,2843020000.0,2670041000.0,,2670041000.0,,2670041000.0,,,1867381000.0,214737000.0,,,713382000.0,-6087000.0,205094000.0,514375000.0,939262000.0,479355000.0,459907000.0,2023-09-30,
7806155.0,151000000.0,158806155.0,3048761000.0,4535979000.0,1210542000.0,8135384000.0,968817000.0,1210542000.0,997750000.0,4597155000.0,8135384000.0,4597155000.0,4597155000.0,-95330000.0,-95330000.0,0.0,2467980000.0,2222993000.0,1512000.0,1512000.0,0.0,5302882000.0,4466844000.0,106181000.0,47628000.0,23006000.0,24622000.0,4313035000.0,774806000.0,3538229000.0,836038000.0,6442000.0,107544000.0,107544000.0,222944000.0,222944000.0,,,499108000.0,243894000.0,255214000.0,108287000.0,70017000.0,146927000.0,9900037000.0,8095182000.0,124340000.0,418297000.0,418297000.0,1431354000.0,1431354000.0,1431354000.0,3386613000.0,536143000.0,2850470000.0,2734578000.0,-2880353000.0,5614931000.0,214712000.0,908634000.0,4491585000.0,0.0,1804855000.0,41969000.0,44383000.0,129762000.0,724302000.0,-3469000.0,211596000.0,516175000.0,864439000.0,374971000.0,489468000.0,2023-12-31,6807000.0
