tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.210391,402347000.0,219862000.0,171006000.0,726593000.0,402347000.0,231341000.0,-17916000.0,-49474000.0,-67390000.0,219862000.0,219862000.0,1066966000.0,,,,,219862000.0,219862000.0,219862000.0,-1872000.0,221734000.0,221734000.0,59081000.0,280815000.0,-2270000.0,-3327000.0,1057000.0,-17916000.0,-49474000.0,-67390000.0,301001000.0,340373000.0,212138000.0,128235000.0,57593000.0,70642000.0,70642000.0,641374000.0,726593000.0,1367967000.0,1338153000.0,2022-12-31
0.0,0.22,571133000.0,295532000.0,151843000.0,711036000.0,571133000.0,419290000.0,-4267000.0,38638000.0,34371000.0,295532000.0,295532000.0,1039195000.0,182021000.0,181783000.0,1.62,1.63,295532000.0,295532000.0,295532000.0,-1377000.0,296909000.0,296909000.0,83743000.0,380652000.0,-4892000.0,-6462000.0,1570000.0,-4267000.0,38638000.0,34371000.0,389811000.0,328159000.0,214092000.0,114067000.0,60491000.0,53576000.0,53576000.0,717970000.0,711036000.0,1429006000.0,1403944000.0,2023-03-31
0.0,0.22,633917000.0,333189000.0,151797000.0,726312000.0,633917000.0,482120000.0,-8290000.0,53403000.0,45113000.0,333189000.0,333189000.0,1033555000.0,181764000.0,181477000.0,1.83,1.84,333189000.0,333189000.0,333189000.0,-1210000.0,334399000.0,334399000.0,94318000.0,428717000.0,-3146000.0,-4614000.0,1468000.0,-8290000.0,53403000.0,45113000.0,440153000.0,307243000.0,193874000.0,113369000.0,59474000.0,53895000.0,53895000.0,747396000.0,726312000.0,1473708000.0,1433067000.0,2023-06-30
0.0,0.22,621180000.0,329821000.0,172608000.0,778749000.0,621180000.0,448572000.0,2084000.0,23372000.0,25456000.0,329821000.0,329821000.0,1118290000.0,181315000.0,181046000.0,1.82,1.82,329821000.0,329821000.0,329821000.0,-1835000.0,331656000.0,331656000.0,93544000.0,425200000.0,-2626000.0,-3861000.0,1235000.0,2084000.0,23372000.0,25456000.0,425742000.0,339541000.0,220909000.0,118632000.0,62641000.0,55991000.0,55991000.0,765283000.0,778749000.0,1544032000.0,1503011000.0,2023-09-30
0.0,0.199279,467687000.0,293506000.0,186057000.0,779780000.0,467687000.0,281630000.0,15655000.0,-86155000.0,-79127000.0,293506000.0,293506000.0,1167874000.0,,,,,293506000.0,293506000.0,293506000.0,-987000.0,294493000.0,294493000.0,73292000.0,367785000.0,-3396000.0,,1864000.0,15655000.0,-86155000.0,-79127000.0,355526000.0,388094000.0,252684000.0,116512000.0,53837000.0,62675000.0,62675000.0,743620000.0,779780000.0,1523400000.0,1477666000.0,2023-12-31
