free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,capital_expenditure,interest_paid_supplemental_data,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,proceeds_from_stock_option_exercised,cash_dividends_paid,common_stock_dividend_paid,net_common_stock_issuance,common_stock_payments,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,sale_of_investment,net_business_purchase_and_sale,sale_of_business,net_ppe_purchase_and_sale,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_payables_and_accrued_expense,change_in_payable,change_in_account_payable,change_in_inventory,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depletion,depreciation_and_amortization,amortization_cash_flow,amortization_of_intangibles,depreciation,operating_gains_losses,gain_loss_on_sale_of_business,net_income_from_continuing_operations,date
257800000.0,-2700000.0,-3900000.0,0.0,-172700000.0,,,358800000.0,135700000.0,223100000.0,-48000000.0,-48000000.0,-400000.0,0.0,-41000000.0,-41000000.0,-2700000.0,-2700000.0,-3900000.0,-3900000.0,-3900000.0,0.0,-159400000.0,-159400000.0,0.0,5300000.0,5300000.0,8000000.0,8000000.0,-172700000.0,-172700000.0,430500000.0,430500000.0,127900000.0,-3900000.0,-49300000.0,-49300000.0,-49300000.0,-44700000.0,225800000.0,225800000.0,-10700000.0,8400000.0,400000.0,400000.0,125700000.0,,,,,,-5000000.0,-5000000.0,183800000.0,2022-12-31
-13400000.0,-91700000.0,-4300000.0,,-173900000.0,,,229500000.0,358800000.0,-129300000.0,-137400000.0,-137400000.0,,200000.0,-41600000.0,-41600000.0,-91700000.0,-91700000.0,-4300000.0,-4300000.0,-4300000.0,,-152400000.0,-152400000.0,18400000.0,3100000.0,3100000.0,0.0,0.0,-173900000.0,-173900000.0,160500000.0,160500000.0,-102000000.0,-23700000.0,17800000.0,17800000.0,17800000.0,-82400000.0,-13700000.0,-13700000.0,-1700000.0,13700000.0,6300000.0,6300000.0,123600000.0,9400000.0,114200000.0,13500000.0,13500000.0,100700000.0,-1000000.0,,121600000.0,2023-03-31
238500000.0,-76200000.0,-4100000.0,,-119500000.0,,,421500000.0,229500000.0,192000000.0,-121100000.0,-121100000.0,,600000.0,-40900000.0,-40900000.0,-76200000.0,-76200000.0,-4100000.0,-4100000.0,-4100000.0,,-44900000.0,-44900000.0,72900000.0,1700000.0,1700000.0,0.0,0.0,-119500000.0,-119500000.0,358000000.0,358000000.0,-110400000.0,55200000.0,26700000.0,26700000.0,26700000.0,-9800000.0,-182500000.0,-182500000.0,-2800000.0,14000000.0,-5600000.0,-5600000.0,129500000.0,13700000.0,115800000.0,13900000.0,13900000.0,101900000.0,-15300000.0,,348600000.0,2023-06-30
283300000.0,-900000.0,-704700000.0,,-170700000.0,41500000.0,119700000.0,647600000.0,421500000.0,226100000.0,-751500000.0,-751500000.0,-200000.0,0.0,-45700000.0,-45700000.0,-900000.0,-900000.0,-704700000.0,-704700000.0,-704700000.0,,523600000.0,523600000.0,594000000.0,2000000.0,2000000.0,98300000.0,98300000.0,-170700000.0,-170700000.0,454000000.0,454000000.0,-119900000.0,-14200000.0,600000.0,600000.0,600000.0,-38100000.0,-68200000.0,-68200000.0,-3900000.0,11300000.0,-2600000.0,-2600000.0,131500000.0,15400000.0,116100000.0,13800000.0,13800000.0,102300000.0,21000000.0,21000000.0,416600000.0,2023-09-30
369700000.0,-3300000.0,-4500000.0,,-186200000.0,37800000.0,88800000.0,1282300000.0,647600000.0,634700000.0,-53600000.0,-53600000.0,-400000.0,400000.0,-45800000.0,-45800000.0,-3300000.0,-3300000.0,-4500000.0,-4500000.0,-4500000.0,,132400000.0,132400000.0,16800000.0,600000.0,600000.0,301200000.0,328200000.0,-186200000.0,-186200000.0,555900000.0,555900000.0,182600000.0,7300000.0,-62100000.0,-62100000.0,-62100000.0,-58400000.0,295800000.0,295800000.0,-8100000.0,11000000.0,-34200000.0,-34200000.0,128600000.0,-32600000.0,161200000.0,-13400000.0,-13400000.0,174600000.0,-6600000.0,-6600000.0,282600000.0,2023-12-31
