tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-13238913.525499,0.232262,5280000000.0,-57000000.0,-57000000.0,1196000000.0,2192000000.0,7456000000.0,5223000000.0,3031000000.0,-1227000000.0,1227000000.0,1239761086.474501,1196000000.0,10481000000.0,3040000000.0,155554890.0,153523976.0,7.69,7.79,1196000000.0,0.0,1196000000.0,1196000000.0,-189000000.0,1385000000.0,1385000000.0,419000000.0,1804000000.0,-162000000.0,13000000.0,-140000000.0,-2000000.0,138000000.0,-105000000.0,83000000.0,-1227000000.0,1227000000.0,3193000000.0,3025000000.0,2192000000.0,2192000000.0,833000000.0,846000000.0,-13000000.0,-13000000.0,6218000000.0,7456000000.0,13674000000.0,13455000000.0,2022-12-31
-8887604.367373,0.240206,5065000000.0,-37000000.0,-37000000.0,1021000000.0,2206000000.0,7565000000.0,5028000000.0,2822000000.0,-1265000000.0,1265000000.0,1049112395.632627,1021000000.0,10715000000.0,2926000000.0,153538359.0,151438371.0,6.65,6.74,1021000000.0,,1021000000.0,1021000000.0,-162000000.0,1183000000.0,1183000000.0,374000000.0,1557000000.0,-116000000.0,2000000.0,-10000000.0,0.0,10000000.0,-79000000.0,-27000000.0,-1265000000.0,1265000000.0,2938000000.0,3150000000.0,2206000000.0,2206000000.0,944000000.0,946000000.0,-2000000.0,-2000000.0,6088000000.0,7565000000.0,13653000000.0,12970000000.0,2023-03-31
13150242.326333,0.239095,5272000000.0,55000000.0,55000000.0,1223000000.0,2172000000.0,7410000000.0,5327000000.0,3155000000.0,-1298000000.0,1298000000.0,1181150242.326333,1223000000.0,10476000000.0,3240000000.0,151975698.0,150091880.0,8.05,8.15,1223000000.0,,1223000000.0,1223000000.0,-190000000.0,1413000000.0,1413000000.0,444000000.0,1857000000.0,-28000000.0,1000000.0,58000000.0,6000000.0,-52000000.0,-83000000.0,-3000000.0,-1298000000.0,1298000000.0,3183000000.0,3066000000.0,2172000000.0,2172000000.0,894000000.0,895000000.0,-1000000.0,-1000000.0,6249000000.0,7410000000.0,13659000000.0,12993000000.0,2023-06-30
8381717.451524,0.204432,5200000000.0,41000000.0,41000000.0,1255000000.0,2130000000.0,8299000000.0,5241000000.0,3111000000.0,-1306000000.0,1306000000.0,1222381717.451524,1255000000.0,10427000000.0,3126000000.0,152019159.0,149004322.0,8.25,8.42,1255000000.0,,1255000000.0,1255000000.0,-181000000.0,1436000000.0,1436000000.0,369000000.0,1805000000.0,-46000000.0,2000000.0,-29000000.0,-10000000.0,19000000.0,-87000000.0,70000000.0,-1306000000.0,1306000000.0,3157000000.0,2128000000.0,2130000000.0,2130000000.0,-2000000.0,,-2000000.0,-2000000.0,5285000000.0,8299000000.0,13584000000.0,12907000000.0,2023-09-30
8939449.541284,0.248318,5106000000.0,36000000.0,36000000.0,1058000000.0,2188000000.0,4637000000.0,5142000000.0,2954000000.0,-1319000000.0,1319000000.0,1030939449.541284,1058000000.0,10478000000.0,3267000000.0,149651479.0,146356269.0,7.07,7.23,1058000000.0,,1058000000.0,1058000000.0,-171000000.0,1229000000.0,1229000000.0,406000000.0,1635000000.0,-279000000.0,-221000000.0,31000000.0,255000000.0,224000000.0,-94000000.0,5000000.0,-1319000000.0,1319000000.0,3233000000.0,5841000000.0,2188000000.0,2188000000.0,3874000000.0,,221000000.0,221000000.0,9074000000.0,4637000000.0,13711000000.0,12940000000.0,2023-12-31
8785631.517961,0.258401,5198000000.0,34000000.0,34000000.0,1106000000.0,2190000000.0,7476000000.0,5232000000.0,3042000000.0,-1316000000.0,1316000000.0,1080785631.517961,1106000000.0,10586000000.0,3131000000.0,146643199.0,144510317.0,7.55,7.66,1106000000.0,,1106000000.0,1106000000.0,-174000000.0,1280000000.0,1280000000.0,446000000.0,1726000000.0,-51000000.0,1000000.0,38000000.0,51000000.0,13000000.0,-86000000.0,-4000000.0,-1316000000.0,1316000000.0,3093000000.0,3110000000.0,2190000000.0,2190000000.0,920000000.0,920000000.0,,,6203000000.0,7476000000.0,13679000000.0,12980000000.0,2024-03-31
