treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,other_properties,machinery_furniture_equipment,buildings_and_improvements,properties,current_assets,other_current_assets,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
,152651397.0,152651397.0,96958000000.0,97898000000.0,-90579000000.0,106722000000.0,-8048000000.0,-90579000000.0,295000000.0,9119000000.0,105212000000.0,12549000000.0,3430000000.0,9119000000.0,,-14821000000.0,23940000000.0,0.0,0.0,0.0,131974000000.0,119909000000.0,4758000000.0,19058000000.0,19058000000.0,96093000000.0,96093000000.0,12065000000.0,511000000.0,511000000.0,1805000000.0,295000000.0,1510000000.0,1510000000.0,9749000000.0,8130000000.0,1165000000.0,1619000000.0,667000000.0,952000000.0,144523000000.0,140506000000.0,4769000000.0,99698000000.0,70135000000.0,29563000000.0,36039000000.0,-36164000000.0,72203000000.0,56802000000.0,9568000000.0,5833000000.0,0.0,4017000000.0,451000000.0,2921000000.0,2921000000.0,-219000000.0,3140000000.0,645000000.0,645000000.0,2022-12-31
2472915.0,150575231.0,153048146.0,97438000000.0,98264000000.0,-89990000000.0,107390000000.0,-8175000000.0,-89990000000.0,292000000.0,9418000000.0,105391000000.0,12902000000.0,3484000000.0,9418000000.0,920000000.0,-13800000000.0,24138000000.0,0.0,0.0,0.0,131968000000.0,119726000000.0,4723000000.0,19030000000.0,19030000000.0,95973000000.0,95973000000.0,12242000000.0,523000000.0,523000000.0,2291000000.0,292000000.0,1999000000.0,1999000000.0,9428000000.0,7712000000.0,1248000000.0,1716000000.0,970000000.0,746000000.0,144870000000.0,140803000000.0,4793000000.0,99408000000.0,69845000000.0,29563000000.0,36602000000.0,-36644000000.0,73246000000.0,73246000000.0,,,,4067000000.0,682000000.0,2851000000.0,2851000000.0,-211000000.0,3062000000.0,534000000.0,534000000.0,2023-03-31
3445355.0,149670942.0,153116297.0,97492000000.0,98263000000.0,-88830000000.0,108430000000.0,-8046000000.0,-88830000000.0,293000000.0,10460000000.0,106431000000.0,14027000000.0,3567000000.0,10460000000.0,1250000000.0,-12577000000.0,24287000000.0,0.0,0.0,0.0,131588000000.0,119613000000.0,4660000000.0,18982000000.0,18982000000.0,95971000000.0,95971000000.0,11975000000.0,522000000.0,522000000.0,2292000000.0,293000000.0,1999000000.0,1999000000.0,9161000000.0,7863000000.0,1299000000.0,1298000000.0,550000000.0,748000000.0,145615000000.0,141686000000.0,4850000000.0,99290000000.0,69618000000.0,29672000000.0,37546000000.0,-36103000000.0,73649000000.0,,,,,3929000000.0,587000000.0,2864000000.0,2864000000.0,-245000000.0,3109000000.0,478000000.0,478000000.0,2023-06-30
5388655.0,147920286.0,153308941.0,97228000000.0,98090000000.0,-87953000000.0,108897000000.0,-8509000000.0,-87953000000.0,291000000.0,11098000000.0,106898000000.0,14744000000.0,3646000000.0,11098000000.0,2040000000.0,-11322000000.0,24460000000.0,0.0,0.0,0.0,131938000000.0,119313000000.0,4517000000.0,18996000000.0,18996000000.0,95800000000.0,95800000000.0,12625000000.0,542000000.0,542000000.0,2290000000.0,291000000.0,1999000000.0,1999000000.0,9793000000.0,8375000000.0,1368000000.0,1418000000.0,647000000.0,771000000.0,146682000000.0,142566000000.0,4898000000.0,99051000000.0,69379000000.0,29672000000.0,38617000000.0,-36885000000.0,75502000000.0,,,,,4116000000.0,613000000.0,2932000000.0,2932000000.0,-256000000.0,3188000000.0,571000000.0,571000000.0,2023-09-30
5388655.0,145225459.0,150614114.0,97068000000.0,97777000000.0,-87723000000.0,108863000000.0,-9082000000.0,-87723000000.0,,11086000000.0,106863000000.0,14718000000.0,3632000000.0,11086000000.0,,-12260000000.0,23346000000.0,0.0,0.0,0.0,132475000000.0,119261000000.0,4530000000.0,18954000000.0,18954000000.0,95777000000.0,95777000000.0,13214000000.0,509000000.0,509000000.0,2000000000.0,,2000000000.0,2000000000.0,10705000000.0,9093000000.0,1328000000.0,1612000000.0,681000000.0,931000000.0,147193000000.0,143061000000.0,4732000000.0,98809000000.0,69141000000.0,29668000000.0,39520000000.0,-37751000000.0,77271000000.0,61604000000.0,9757000000.0,5910000000.0,0.0,4132000000.0,458000000.0,2965000000.0,2965000000.0,-268000000.0,3233000000.0,709000000.0,709000000.0,2023-12-31
1557554.0,144029996.0,145587550.0,97304000000.0,97965000000.0,-86699000000.0,109839000000.0,-6530000000.0,-86699000000.0,,11874000000.0,109839000000.0,15606000000.0,3732000000.0,11874000000.0,516000000.0,-11154000000.0,23544000000.0,0.0,0.0,0.0,132438000000.0,121512000000.0,4581000000.0,18966000000.0,18966000000.0,97965000000.0,97965000000.0,10926000000.0,520000000.0,520000000.0,,,,,10406000000.0,8591000000.0,1405000000.0,1815000000.0,965000000.0,850000000.0,148044000000.0,143648000000.0,4726000000.0,98573000000.0,68905000000.0,29668000000.0,40349000000.0,-38529000000.0,78878000000.0,,,,,4396000000.0,731000000.0,3004000000.0,3004000000.0,-281000000.0,3285000000.0,661000000.0,661000000.0,2024-03-31
