tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,other_special_charges,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
3823918.575064,0.245123,107800000.0,15600000.0,15600000.0,89000000.0,4400000.0,7700000.0,123400000.0,119000000.0,-1100000.0,1100000.0,77223918.575064,89000000.0,308600000.0,103400000.0,100800000.0,96300000.0,0.88,0.92,89000000.0,89000000.0,89000000.0,89000000.0,89000000.0,28900000.0,117900000.0,15600000.0,0.0,0.0,15600000.0,-1100000.0,1100000.0,103400000.0,300900000.0,118000000.0,182900000.0,404300000.0,7700000.0,412000000.0,412000000.0,2022-12-31
-34092255.566312,0.25847,34700000.0,-131900000.0,-131900000.0,-76600000.0,5000000.0,8500000.0,-97200000.0,-102200000.0,-1100000.0,1100000.0,21207744.433688,-76600000.0,390700000.0,-114200000.0,97100000.0,97100000.0,-0.79,-0.79,-76600000.0,-76600000.0,-76600000.0,-76600000.0,-76600000.0,-26700000.0,-103300000.0,-131900000.0,-143900000.0,143900000.0,12000000.0,-1100000.0,1100000.0,29700000.0,382200000.0,139500000.0,242700000.0,411900000.0,8500000.0,420400000.0,420400000.0,2023-03-31
10581661.184211,0.214638,78900000.0,49300000.0,49300000.0,95500000.0,5100000.0,11500000.0,128200000.0,123100000.0,-1500000.0,1500000.0,56781661.184211,95500000.0,379100000.0,73600000.0,100200000.0,97600000.0,0.95,0.98,95500000.0,95500000.0,95500000.0,95500000.0,95500000.0,26100000.0,121600000.0,49300000.0,0.0,,49300000.0,-1500000.0,1500000.0,73600000.0,367600000.0,145800000.0,221800000.0,441200000.0,11500000.0,452700000.0,452700000.0,2023-06-30
-6887975.778547,0.281142,146700000.0,-24500000.0,-24500000.0,83100000.0,5500000.0,11200000.0,122200000.0,116700000.0,-1100000.0,1100000.0,100712024.221453,83100000.0,357600000.0,141200000.0,101100000.0,97900000.0,0.82,0.85,83100000.0,83100000.0,83100000.0,83100000.0,83100000.0,32500000.0,115600000.0,-24500000.0,0.0,,-24500000.0,-1100000.0,1100000.0,141200000.0,346400000.0,142200000.0,204200000.0,487600000.0,11200000.0,498800000.0,498800000.0,2023-09-30
12484863.773966,0.254793,156000000.0,49000000.0,49000000.0,147700000.0,5700000.0,8500000.0,205000000.0,199300000.0,-1100000.0,1100000.0,111184863.773966,147700000.0,364900000.0,150300000.0,,,,,147700000.0,147700000.0,147700000.0,147700000.0,147700000.0,50500000.0,198200000.0,49000000.0,0.0,0.0,49000000.0,-1100000.0,1100000.0,150300000.0,356400000.0,137500000.0,218900000.0,506700000.0,8500000.0,515200000.0,515200000.0,2023-12-31
