treasury_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_accrued_expenses,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_provisions,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,dueto_related_parties_current,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,non_current_accounts_receivable,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,properties,current_assets,other_current_assets,prepaid_assets,receivables,other_receivables,duefrom_related_parties_current,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,buildings_and_improvements
,64767755.0,64767755.0,336632000.0,-84223000.0,13411065000.0,440194000.0,-84223000.0,72632000.0,13147065000.0,13147065000.0,13147065000.0,13147065000.0,-6743000.0,-6743000.0,,-11072000.0,13164874000.0,6000.0,6000.0,1753588000.0,1148385000.0,18579000.0,,,,1069801000.0,29707000.0,1040094000.0,60005000.0,60005000.0,,605203000.0,15319000.0,146887000.0,146887000.0,276627000.0,12627000.0,264000000.0,264000000.0,,166370000.0,95407000.0,70963000.0,32284000.0,25704000.0,25704000.0,12975000.0,14900653000.0,13855256000.0,8214000.0,11370000.0,2328000.0,515820000.0,13231288000.0,4902442000.0,8328846000.0,88564000.0,,88564000.0,,,88564000.0,,,1045397000.0,23750000.0,0.0,575559000.0,419714000.0,15099000.0,140746000.0,,,446088000.0,446088000.0,2022-12-31,
,64858598.0,64858598.0,70389000.0,10225000.0,13119079000.0,520906000.0,10225000.0,70389000.0,13119079000.0,13119079000.0,13119079000.0,13119079000.0,-898000.0,-898000.0,,-68707000.0,13188678000.0,6000.0,6000.0,1447830000.0,1092698000.0,16877000.0,,,,1018115000.0,27654000.0,990461000.0,57706000.0,57706000.0,,355132000.0,40454000.0,154313000.0,154313000.0,12683000.0,12683000.0,,,,147682000.0,95319000.0,52363000.0,16103000.0,24729000.0,24729000.0,11531000.0,14566909000.0,13690871000.0,9553000.0,13562000.0,2388000.0,471397000.0,13108854000.0,4780644000.0,8328210000.0,87505000.0,,87505000.0,,,87505000.0,,,876038000.0,22951000.0,7603000.0,558748000.0,399388000.0,43998000.0,115362000.0,,,286736000.0,286736000.0,2023-03-31,
487626.0,64465242.0,64952868.0,68370000.0,80461000.0,13070929000.0,480637000.0,80461000.0,68370000.0,13070929000.0,13070929000.0,13070929000.0,13070929000.0,2436000.0,2436000.0,84150000.0,-41391000.0,13194028000.0,6000.0,6000.0,1415123000.0,1062696000.0,12493000.0,5917000.0,5917000.0,5917000.0,988014000.0,30103000.0,957911000.0,55442000.0,55442000.0,830000.0,352427000.0,27380000.0,151450000.0,151450000.0,12928000.0,12928000.0,,,62162000.0,98507000.0,9984000.0,88523000.0,22019000.0,46205000.0,46205000.0,20299000.0,14486052000.0,13652988000.0,13474000.0,26630000.0,10638000.0,536104000.0,12990468000.0,4659657000.0,8330811000.0,86312000.0,-18450000.0,104762000.0,8544000.0,1658000.0,67642000.0,26918000.0,0.0,833064000.0,27728000.0,11424000.0,552703000.0,367539000.0,62375000.0,122789000.0,-7098000.0,129887000.0,241209000.0,241209000.0,2023-06-30,
1174469.0,63855939.0,65030408.0,65055000.0,48869000.0,12926919000.0,382092000.0,48869000.0,65055000.0,12926919000.0,12926919000.0,12926919000.0,12926919000.0,-8765000.0,-8765000.0,218584000.0,-75916000.0,13230178000.0,6000.0,6000.0,1313755000.0,1011524000.0,19401000.0,,,,939638000.0,27671000.0,911967000.0,52485000.0,52485000.0,,302231000.0,,117110000.0,117110000.0,12570000.0,12570000.0,,,,172551000.0,79536000.0,93015000.0,29253000.0,48461000.0,48461000.0,15301000.0,14240674000.0,13556351000.0,19721000.0,29157000.0,12019000.0,547617000.0,12878050000.0,4549858000.0,8328192000.0,81806000.0,,81806000.0,,,81806000.0,,,684323000.0,32010000.0,15319000.0,516454000.0,369019000.0,59458000.0,87977000.0,,,120540000.0,120540000.0,2023-09-30,
1549510.0,63620668.0,65170178.0,97622000.0,90440000.0,12849073000.0,337268000.0,90440000.0,97622000.0,12849073000.0,12849073000.0,12849073000.0,12849073000.0,-3895000.0,-3895000.0,290689000.0,-97416000.0,13241067000.0,6000.0,6000.0,1378771000.0,1006788000.0,20013000.0,,,,902963000.0,35036000.0,867927000.0,83812000.0,83812000.0,,371983000.0,18920000.0,135522000.0,135522000.0,13810000.0,13810000.0,,,54729000.0,149002000.0,4469000.0,144533000.0,96087000.0,31929000.0,28988000.0,16517000.0,14227844000.0,13518593000.0,9488000.0,30363000.0,11392000.0,606318000.0,12758633000.0,4428636000.0,8329997000.0,113791000.0,,113791000.0,,,16756000.0,,0.0,709251000.0,26314000.0,3021000.0,549163000.0,357847000.0,61479000.0,129837000.0,,,130753000.0,130753000.0,2023-12-31,97035000.0
