free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_capital_stock,capital_expenditure,interest_paid_supplemental_data,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,net_common_stock_issuance,common_stock_payments,common_stock_issuance,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_payments,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,net_business_purchase_and_sale,purchase_of_business,net_ppe_purchase_and_sale,purchase_of_ppe,capital_expenditure_reported,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_payables_and_accrued_expense,change_in_payable,change_in_account_payable,change_in_prepaid_assets,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,provisionand_write_offof_assets,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,operating_gains_losses,gain_loss_on_investment_securities,net_foreign_currency_exchange_gain_loss,net_income_from_continuing_operations,date
47782000.0,,-6000000.0,17135000.0,-1753000.0,6004000.0,22438000.0,446088000.0,382458000.0,-3972000.0,67602000.0,20285000.0,20285000.0,9150000.0,17135000.0,,17135000.0,-6000000.0,-6000000.0,-6000000.0,-2218000.0,-2218000.0,,,-465000.0,-465000.0,-1523000.0,-1523000.0,-230000.0,49535000.0,49535000.0,10197000.0,8127000.0,-39890000.0,11986000.0,11986000.0,11986000.0,81181000.0,-51207000.0,-41700000.0,-547000.0,23441000.0,-381000.0,-35946000.0,-35946000.0,122556000.0,122556000.0,-3588000.0,,-3588000.0,-66197000.0,2022-12-31
129349000.0,,-264000000.0,5937000.0,-1689000.0,4526000.0,35452000.0,286736000.0,446088000.0,-4368000.0,-154984000.0,-296392000.0,-296392000.0,-38329000.0,5937000.0,,5937000.0,-264000000.0,-264000000.0,-264000000.0,10370000.0,10370000.0,,,2238000.0,2238000.0,-1671000.0,-1671000.0,-18000.0,131038000.0,131038000.0,97864000.0,3684000.0,21441000.0,-10548000.0,-10548000.0,-10548000.0,-6536000.0,89823000.0,22631000.0,5602000.0,22843000.0,716000.0,-49662000.0,-49662000.0,123164000.0,123164000.0,-11854000.0,,-1033000.0,-57635000.0,2023-03-31
111478000.0,,0.0,5194000.0,-2081000.0,-730000.0,14979000.0,241209000.0,286736000.0,-4564000.0,-40963000.0,-115420000.0,-115420000.0,-20614000.0,-94806000.0,,5194000.0,0.0,0.0,0.0,-39102000.0,-39102000.0,0.0,-36997000.0,-24000.0,-24000.0,-2062000.0,-2062000.0,-19000.0,113559000.0,113559000.0,-64178000.0,-5245000.0,-43806000.0,30353000.0,30353000.0,30353000.0,-20016000.0,-25464000.0,-14478000.0,2070000.0,20830000.0,3883000.0,-36880000.0,-36880000.0,123153000.0,123153000.0,37365000.0,36997000.0,368000.0,27316000.0,2023-06-30
16044000.0,-114224000.0,0.0,3285000.0,-937000.0,663000.0,31842000.0,120540000.0,241209000.0,-6855000.0,-113814000.0,-108987000.0,-108987000.0,1952000.0,-110939000.0,-114224000.0,3285000.0,0.0,0.0,0.0,-21808000.0,-21808000.0,-12500000.0,,-8371000.0,-8371000.0,-937000.0,-937000.0,0.0,16981000.0,16981000.0,-48595000.0,-37893000.0,-3770000.0,4735000.0,4735000.0,4735000.0,-17022000.0,5355000.0,29417000.0,3581000.0,16699000.0,1788000.0,-51080000.0,-51080000.0,123219000.0,123219000.0,5894000.0,,5894000.0,-34525000.0,2023-09-30
29196000.0,-72105000.0,0.0,4635000.0,-631000.0,1770000.0,34448000.0,130753000.0,120540000.0,-4050000.0,14263000.0,-14510000.0,-14510000.0,52960000.0,-67470000.0,-72105000.0,4635000.0,0.0,0.0,0.0,-1054000.0,-1054000.0,0.0,,-423000.0,-423000.0,-500000.0,-500000.0,-131000.0,29827000.0,29827000.0,-49514000.0,23875000.0,-3338000.0,4523000.0,4523000.0,4523000.0,-584000.0,-73990000.0,-40126000.0,2722000.0,16211000.0,1597000.0,-43130000.0,-43130000.0,123167000.0,123167000.0,274000.0,,274000.0,-21500000.0,2023-12-31
