tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,total_other_finance_cost,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.21,63161000.0,0.0,0.0,-66197000.0,122556000.0,93098000.0,63161000.0,-59395000.0,4120000.0,,-66197000.0,-66197000.0,302233000.0,-59395000.0,64621000.0,64621000.0,-1.02,-1.02,-66197000.0,-66197000.0,-66197000.0,-66197000.0,-66197000.0,49565000.0,-16632000.0,38643000.0,38643000.0,0.0,0.0,4120000.0,-4120000.0,,-59395000.0,209135000.0,49954000.0,159181000.0,117951000.0,41230000.0,41230000.0,149740000.0,93098000.0,242838000.0,242838000.0,2022-12-31
0.0,0.295,44691000.0,0.0,0.0,-57635000.0,123164000.0,93799000.0,44691000.0,-78473000.0,9969000.0,,-57635000.0,-57635000.0,308351000.0,-78473000.0,64796000.0,64796000.0,-0.89,-0.89,-57635000.0,-57635000.0,-57635000.0,-57635000.0,-57635000.0,-24150000.0,-81785000.0,-13281000.0,-13281000.0,0.0,0.0,9969000.0,-9969000.0,,-78473000.0,214552000.0,54046000.0,160506000.0,120035000.0,40471000.0,40471000.0,136079000.0,93799000.0,229878000.0,229878000.0,2023-03-31
0.0,0.21,129138000.0,0.0,0.0,27316000.0,123153000.0,95562000.0,129138000.0,5985000.0,12805000.0,,27316000.0,27316000.0,314658000.0,5985000.0,64943000.0,64614000.0,0.42,0.42,27316000.0,27316000.0,27316000.0,27316000.0,27316000.0,-4674000.0,22642000.0,3852000.0,3852000.0,0.0,0.0,12805000.0,,,5985000.0,219096000.0,55606000.0,163490000.0,126396000.0,37094000.0,37094000.0,225081000.0,95562000.0,320643000.0,320643000.0,2023-06-30
0.0,0.335956,63008000.0,0.0,0.0,-34525000.0,123219000.0,98060000.0,63008000.0,-60211000.0,14049000.0,14049000.0,-34525000.0,-34525000.0,309519000.0,-60211000.0,64319000.0,64319000.0,-0.54,-0.54,-34525000.0,-34525000.0,-34525000.0,-34525000.0,-34525000.0,-17467000.0,-51992000.0,-5830000.0,-5830000.0,0.0,0.0,14049000.0,,14049000.0,-60211000.0,211459000.0,53676000.0,157783000.0,122378000.0,35405000.0,35405000.0,151248000.0,98060000.0,249308000.0,249308000.0,2023-09-30
0.0,0.21,73924000.0,,,-21500000.0,123167000.0,94933000.0,73924000.0,-49243000.0,12283000.0,12283000.0,-21500000.0,-21500000.0,306406000.0,-49243000.0,63699000.0,63699000.0,-0.34,-0.34,-21500000.0,-21500000.0,-21500000.0,-21500000.0,-21500000.0,-15659000.0,-37159000.0,-199000.0,-199000.0,,,12283000.0,,12283000.0,-49243000.0,211473000.0,53145000.0,158328000.0,122240000.0,36088000.0,36088000.0,162230000.0,94933000.0,257163000.0,257163000.0,2023-12-31
