tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,gain_on_sale_of_ppe,other_special_charges,write_off,impairment_of_capital_assets,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,other_taxes,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,depreciation_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,selling_and_marketing_expense
-307313009469.9112,0.280222,16357676000000.0,-1096676000000.0,-1096676000000.0,6833872000000.0,3372165000000.0,20958096000000.0,15261000000000.0,11888835000000.0,-1754820000000.0,2075649000000.0,353038000000.0,7623234990530.089,6833872000000.0,27159344000000.0,11775537000000.0,2055834735.0,2055834735.0,3332.466313,3332.466313,6833872000000.0,6833872000000.0,6833872000000.0,-834783000000.0,7668655000000.0,7668655000000.0,2749873000000.0,9813186000000.0,-984934000000.0,-1382745000000.0,-125263000000.0,826694000000.0,150397000000.0,280391000000.0,111742000000.0,286069000000.0,-1754820000000.0,32209000000.0,2075649000000.0,353038000000.0,12552940000000.0,3159437000000.0,1205000000000.0,225044000000.0,330354000000.0,330354000000.0,330354000000.0,1319096000000.0,1319096000000.0,770800000000.0,548296000000.0,15712377000000.0,23999907000000.0,39712284000000.0,39712284000000.0,2022-12-31,
103997250000.0,0.35,17779881000000.0,297135000000.0,297135000000.0,5660425000000.0,3162768000000.0,19768737000000.0,18077016000000.0,14914248000000.0,-1802824000000.0,2357367000000.0,553488000000.0,5467287250000.0,5660425000000.0,25132708000000.0,13720779000000.0,2055834734.0,2055834734.0,27.54,27.54,5660425000000.0,5660425000000.0,5660425000000.0,-1303555000000.0,6963980000000.0,6963980000000.0,5592901000000.0,12556881000000.0,638834000000.0,-92000000.0,,,,92000000.0,341699000000.0,297227000000.0,-1802824000000.0,-1055000000.0,2357367000000.0,553488000000.0,13720871000000.0,2354561000000.0,908040000000.0,241811000000.0,153358000000.0,153358000000.0,,1019815000000.0,1019815000000.0,466442000000.0,553373000000.0,16075432000000.0,22778147000000.0,38853579000000.0,38853579000000.0,2023-03-31,
0.0,0.35,11816000000000.0,,,5086000000000.0,,20605000000000.0,11816000000000.0,11816000000000.0,-630000000000.0,,,5086000000000.0,5086000000000.0,23314000000000.0,11816000000000.0,2055834735.0,2055834735.0,2473.934268,2473.934268,5086000000000.0,5086000000000.0,5086000000000.0,-902000000000.0,5988000000000.0,5988000000000.0,5307000000000.0,11295000000000.0,109000000000.0,,,,,,109000000000.0,,-630000000000.0,630000000000.0,,,11816000000000.0,2709000000000.0,2709000000000.0,,,,,,,,,14525000000000.0,20605000000000.0,35130000000000.0,35130000000000.0,2023-09-30,
-17501052226.96293,0.009008,8793622000000.0,-1942755000000.0,-1942755000000.0,3423120000000.0,209368000000.0,23307025000000.0,6850867000000.0,6641499000000.0,-2091689000000.0,2311858000000.0,506300000000.0,5348373947773.037,3423120000000.0,26633188000000.0,5616482000000.0,,,,,3423120000000.0,3423120000000.0,3423120000000.0,-867518000000.0,4290638000000.0,4290638000000.0,39003000000.0,4329641000000.0,-1743738000000.0,-2548586000000.0,-106582000000.0,318362000000.0,44421000000.0,2079221000000.0,199017000000.0,605831000000.0,-2091689000000.0,286131000000.0,2311858000000.0,506300000000.0,8165068000000.0,3326163000000.0,842321000000.0,227312000000.0,209368000000.0,209368000000.0,,2008870000000.0,1558357000000.0,836060000000.0,722297000000.0,11491231000000.0,23307025000000.0,34798256000000.0,34798256000000.0,2023-12-31,450513000000.0
