tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,impairment_of_capital_assets,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-25880829.015544,0.349741,1268000000.0,-74000000.0,-74000000.0,583000000.0,288000000.0,5368000000.0,1194000000.0,906000000.0,-134000000.0,134000000.0,,631119170.984456,583000000.0,7787000000.0,834000000.0,1375000000.0,1368000000.0,0.42,0.43,583000000.0,583000000.0,583000000.0,-1000000.0,584000000.0,584000000.0,82000000.0,270000000.0,772000000.0,-2000000.0,72000000.0,-74000000.0,0.0,74000000.0,0.0,,-134000000.0,134000000.0,,908000000.0,2167000000.0,36000000.0,36000000.0,36000000.0,36000000.0,2131000000.0,3075000000.0,5620000000.0,8695000000.0,8695000000.0,2022-12-31
221704000.0,0.296,1932000000.0,749000000.0,749000000.0,2081000000.0,303000000.0,5456000000.0,2681000000.0,2378000000.0,-153000000.0,153000000.0,,1553704000.0,2081000000.0,7614000000.0,1505000000.0,1373000000.0,1366000000.0,1.52,1.52,2081000000.0,2081000000.0,2081000000.0,-8000000.0,2089000000.0,2089000000.0,522000000.0,658000000.0,2225000000.0,826000000.0,77000000.0,-47000000.0,,47000000.0,,796000000.0,-153000000.0,153000000.0,,1552000000.0,1894000000.0,39000000.0,39000000.0,39000000.0,39000000.0,1855000000.0,3446000000.0,5720000000.0,9166000000.0,9166000000.0,2023-03-31
-49203000.0,0.231,1809000000.0,-213000000.0,-213000000.0,944000000.0,290000000.0,4900000000.0,1596000000.0,1306000000.0,-145000000.0,145000000.0,,1107797000.0,944000000.0,7059000000.0,1425000000.0,1372000000.0,1364000000.0,0.69,0.69,944000000.0,944000000.0,944000000.0,3000000.0,941000000.0,941000000.0,48000000.0,268000000.0,1161000000.0,-142000000.0,71000000.0,-24000000.0,1000000.0,23000000.0,,-189000000.0,-145000000.0,145000000.0,,1448000000.0,1906000000.0,37000000.0,37000000.0,37000000.0,37000000.0,1869000000.0,3354000000.0,5153000000.0,8507000000.0,8507000000.0,2023-06-30
-15694000.0,0.266,1833000000.0,-59000000.0,-59000000.0,984000000.0,309000000.0,5264000000.0,1774000000.0,1465000000.0,-66000000.0,134000000.0,68000000.0,1027306000.0,984000000.0,7592000000.0,1379000000.0,1370000000.0,1363000000.0,0.72,0.72,984000000.0,984000000.0,984000000.0,-4000000.0,988000000.0,988000000.0,11000000.0,354000000.0,1331000000.0,-40000000.0,19000000.0,-58000000.0,,58000000.0,,-1000000.0,-66000000.0,134000000.0,68000000.0,1437000000.0,2057000000.0,38000000.0,38000000.0,38000000.0,38000000.0,2019000000.0,3494000000.0,5535000000.0,9029000000.0,9029000000.0,2023-09-30
4198624.247635,0.22098,1575000000.0,19000000.0,19000000.0,950000000.0,313000000.0,5568000000.0,1594000000.0,1281000000.0,-52000000.0,118000000.0,66000000.0,935198624.247635,950000000.0,8140000000.0,1193000000.0,1364000000.0,1358000000.0,0.7,0.7,950000000.0,950000000.0,950000000.0,0.0,950000000.0,950000000.0,44000000.0,257000000.0,1163000000.0,41000000.0,22000000.0,19000000.0,0.0,89000000.0,,0.0,-52000000.0,118000000.0,66000000.0,1174000000.0,2296000000.0,37000000.0,37000000.0,37000000.0,37000000.0,2259000000.0,3470000000.0,5844000000.0,9314000000.0,9314000000.0,2023-12-31
