treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,commercial_paper,current_provisions,payables_and_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,defined_pension_benefit,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,machinery_furniture_equipment,current_assets,assets_held_for_sale_current,inventory,inventories_adjustments_allowances,finished_goods,raw_materials,receivables,taxes_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date,non_current_prepaid_assets
,1337470739.0,1337470739.0,10627000000.0,15619000000.0,35781000000.0,51974000000.0,1667000000.0,35781000000.0,3012000000.0,39367000000.0,49167000000.0,39367000000.0,39367000000.0,974000000.0,974000000.0,15565000000.0,571000000.0,22257000000.0,22257000000.0,45251000000.0,32382000000.0,587000000.0,1033000000.0,564000000.0,8467000000.0,22000000.0,8445000000.0,12495000000.0,2695000000.0,9800000000.0,9800000000.0,12869000000.0,530000000.0,3124000000.0,317000000.0,2807000000.0,,2807000000.0,564000000.0,8651000000.0,8651000000.0,484000000.0,484000000.0,8167000000.0,84618000000.0,70082000000.0,796000000.0,212000000.0,81000000.0,81000000.0,758000000.0,3586000000.0,694000000.0,2892000000.0,64649000000.0,-64555000000.0,129204000000.0,88434000000.0,14536000000.0,1186000000.0,5058000000.0,-14000000.0,4387000000.0,685000000.0,6312000000.0,244000000.0,6068000000.0,1980000000.0,1980000000.0,198000000.0,1782000000.0,2022-12-31,
,1321913697.0,1321913697.0,12439000000.0,16842000000.0,36384000000.0,53516000000.0,1348000000.0,36384000000.0,3275000000.0,39949000000.0,49740000000.0,39949000000.0,39949000000.0,1026000000.0,1026000000.0,16408000000.0,577000000.0,21938000000.0,21938000000.0,44807000000.0,32270000000.0,1244000000.0,,,8431000000.0,,8431000000.0,12709000000.0,2918000000.0,9791000000.0,9886000000.0,12537000000.0,340000000.0,4133000000.0,357000000.0,3776000000.0,3776000000.0,,588000000.0,7476000000.0,7476000000.0,193000000.0,193000000.0,7283000000.0,84756000000.0,70871000000.0,1779000000.0,,84000000.0,84000000.0,,3565000000.0,,,65443000000.0,,,,13885000000.0,799000000.0,5230000000.0,,,,6728000000.0,293000000.0,6435000000.0,1128000000.0,1128000000.0,,,2023-03-31,
,1302117000.0,1302117000.0,11170000000.0,17004000000.0,37262000000.0,54599000000.0,2133000000.0,37262000000.0,3224000000.0,40819000000.0,50430000000.0,40819000000.0,40819000000.0,1056000000.0,1056000000.0,17381000000.0,580000000.0,21802000000.0,21802000000.0,44162000000.0,32160000000.0,1384000000.0,,,8355000000.0,,8355000000.0,12485000000.0,2874000000.0,9611000000.0,9936000000.0,12002000000.0,,4519000000.0,350000000.0,4169000000.0,4169000000.0,,909000000.0,6574000000.0,6574000000.0,19000000.0,19000000.0,6555000000.0,84981000000.0,70846000000.0,1712000000.0,,95000000.0,95000000.0,,3557000000.0,,,65482000000.0,,,,14135000000.0,0.0,5008000000.0,,,,6517000000.0,510000000.0,6007000000.0,2610000000.0,2610000000.0,,,2023-06-30,
0.0,1297798000.0,1297798000.0,9837000000.0,15427000000.0,38229000000.0,54039000000.0,2993000000.0,38229000000.0,3158000000.0,41770000000.0,51568000000.0,41770000000.0,41770000000.0,1132000000.0,1132000000.0,18295000000.0,572000000.0,21771000000.0,21771000000.0,43619000000.0,31301000000.0,1360000000.0,,,8286000000.0,,8286000000.0,12635000000.0,2837000000.0,9798000000.0,9020000000.0,12318000000.0,,2792000000.0,321000000.0,2471000000.0,2471000000.0,,886000000.0,8640000000.0,8640000000.0,49000000.0,49000000.0,8591000000.0,85389000000.0,70078000000.0,2023000000.0,,118000000.0,118000000.0,,3541000000.0,,,64396000000.0,,,,15311000000.0,0.0,5186000000.0,,,,7693000000.0,378000000.0,7315000000.0,2432000000.0,2432000000.0,,,2023-09-30,
0.0,1290099792.0,1290099792.0,9852000000.0,15407000000.0,39751000000.0,54860000000.0,4212000000.0,39751000000.0,3826000000.0,43279000000.0,54366000000.0,43279000000.0,43279000000.0,1048000000.0,1048000000.0,20001000000.0,569000000.0,21661000000.0,21661000000.0,45260000000.0,35663000000.0,538000000.0,937000000.0,598000000.0,8013000000.0,13000000.0,8000000000.0,14565000000.0,3478000000.0,11087000000.0,11610000000.0,9597000000.0,,842000000.0,348000000.0,494000000.0,,494000000.0,983000000.0,7772000000.0,7772000000.0,41000000.0,41000000.0,7731000000.0,88539000000.0,74730000000.0,352000000.0,207000000.0,84000000.0,84000000.0,490000000.0,3528000000.0,636000000.0,2892000000.0,69408000000.0,-57932000000.0,127340000000.0,84481000000.0,13809000000.0,0.0,5365000000.0,0.0,4371000000.0,994000000.0,6715000000.0,980000000.0,5735000000.0,1729000000.0,1729000000.0,12000000.0,1717000000.0,2023-12-31,661000000.0
