tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,selling_and_marketing_expense
17570944.036179,0.225269,5215000000.0,78000000.0,78000000.0,2741000000.0,1465000000.0,10686000000.0,5293000000.0,3828000000.0,-290000000.0,290000000.0,28000000.0,2680570944.036179,2741000000.0,14690000000.0,1350000000.0,1347000000.0,2.03,2.03,2741000000.0,2741000000.0,2741000000.0,2741000000.0,2741000000.0,797000000.0,3538000000.0,27000000.0,-51000000.0,48000000.0,8000000.0,10000000.0,30000000.0,-290000000.0,290000000.0,28000000.0,3801000000.0,4004000000.0,5218000000.0,-1214000000.0,-1214000000.0,,7805000000.0,10686000000.0,18491000000.0,18491000000.0,2022-12-31,
140056000.0,0.244,3992000000.0,574000000.0,574000000.0,2052000000.0,1516000000.0,5943000000.0,4566000000.0,3050000000.0,-336000000.0,336000000.0,59000000.0,1618056000.0,2052000000.0,9800000000.0,1331000000.0,1329000000.0,1.54,1.54,2052000000.0,2052000000.0,2052000000.0,2052000000.0,2052000000.0,662000000.0,2714000000.0,578000000.0,4000000.0,314000000.0,314000000.0,,260000000.0,-336000000.0,336000000.0,59000000.0,2472000000.0,3857000000.0,433000000.0,3424000000.0,3424000000.0,3424000000.0,6329000000.0,5943000000.0,12272000000.0,12272000000.0,2023-03-31,
160197000.0,0.201,3457000000.0,797000000.0,797000000.0,1879000000.0,1577000000.0,5954000000.0,4254000000.0,2677000000.0,-323000000.0,326000000.0,3000000.0,1242197000.0,1879000000.0,9842000000.0,1310000000.0,1309000000.0,1.43,1.44,1879000000.0,1879000000.0,1879000000.0,1879000000.0,1879000000.0,472000000.0,2351000000.0,797000000.0,,632000000.0,632000000.0,,165000000.0,-323000000.0,326000000.0,3000000.0,1877000000.0,3888000000.0,448000000.0,3440000000.0,3440000000.0,3440000000.0,5765000000.0,5954000000.0,11719000000.0,11719000000.0,2023-06-30,
-53820000.0,0.276,4402000000.0,-195000000.0,-195000000.0,1544000000.0,1744000000.0,7707000000.0,4207000000.0,2463000000.0,-329000000.0,329000000.0,71000000.0,1685180000.0,1544000000.0,11253000000.0,1302000000.0,1300000000.0,1.19,1.19,1544000000.0,1544000000.0,1544000000.0,1544000000.0,1544000000.0,590000000.0,2134000000.0,-195000000.0,,49000000.0,49000000.0,,-244000000.0,-329000000.0,329000000.0,71000000.0,2658000000.0,3546000000.0,422000000.0,3124000000.0,3124000000.0,3124000000.0,6204000000.0,7707000000.0,13911000000.0,13911000000.0,2023-09-30,
187982300.884956,0.168142,4200000000.0,1118000000.0,1118000000.0,2820000000.0,1598000000.0,9963000000.0,5318000000.0,3720000000.0,-330000000.0,330000000.0,,1889982300.884956,2820000000.0,11111000000.0,1296000000.0,1294000000.0,2.18,2.18,2820000000.0,2820000000.0,2820000000.0,2820000000.0,2820000000.0,570000000.0,3390000000.0,1242000000.0,124000000.0,847000000.0,-3000000.0,,271000000.0,-330000000.0,330000000.0,,2478000000.0,1148000000.0,-8234000000.0,9382000000.0,,,3626000000.0,9963000000.0,13589000000.0,13589000000.0,2023-12-31,924000000.0
