tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.166953,10314000000.0,13592000000.0,2035000000.0,8262000000.0,10314000000.0,8279000000.0,4656000000.0,-8037000000.0,-3200000000.0,13592000000.0,13592000000.0,31005000000.0,17087000000.0,,,,,13592000000.0,13592000000.0,13592000000.0,13592000000.0,13592000000.0,2724000000.0,16316000000.0,4656000000.0,-8037000000.0,-3200000000.0,17087000000.0,22743000000.0,-433000000.0,8085000000.0,15091000000.0,13743000000.0,1348000000.0,1348000000.0,39830000000.0,8262000000.0,48092000000.0,326830000000.0,2022-12-31
0.0,0.199,27578000000.0,19814000000.0,1719000000.0,8182000000.0,27578000000.0,25859000000.0,-270000000.0,1122000000.0,852000000.0,19814000000.0,19814000000.0,28360000000.0,25007000000.0,4513200000.0,4499200000.0,4.39,4.405,19814000000.0,19814000000.0,19814000000.0,19814000000.0,19814000000.0,4923000000.0,24737000000.0,-270000000.0,1122000000.0,852000000.0,25007000000.0,20178000000.0,-33000000.0,6728000000.0,13483000000.0,12412000000.0,1071000000.0,1071000000.0,45185000000.0,8182000000.0,53367000000.0,53367000000.0,2023-03-31
0.0,0.199,26712000000.0,19428000000.0,2177000000.0,7856000000.0,26712000000.0,24535000000.0,366000000.0,281000000.0,647000000.0,19428000000.0,19428000000.0,30412000000.0,23888000000.0,4502600000.0,4490400000.0,4.315,4.325,19428000000.0,19428000000.0,19428000000.0,19428000000.0,19428000000.0,4826000000.0,24254000000.0,366000000.0,281000000.0,647000000.0,23888000000.0,22556000000.0,15000000.0,7127000000.0,15414000000.0,14342000000.0,1072000000.0,1072000000.0,46444000000.0,7856000000.0,54300000000.0,54300000000.0,2023-06-30
0.0,0.199,32756000000.0,22478000000.0,2525000000.0,9713000000.0,32756000000.0,30231000000.0,1150000000.0,2168000000.0,3318000000.0,22478000000.0,22478000000.0,31818000000.0,26913000000.0,4489000000.0,4476900000.0,5.0,5.02,22478000000.0,22478000000.0,22478000000.0,22478000000.0,22478000000.0,5585000000.0,28063000000.0,1150000000.0,2168000000.0,3318000000.0,26913000000.0,22105000000.0,-98000000.0,8128000000.0,14075000000.0,12819000000.0,1256000000.0,1256000000.0,49018000000.0,9713000000.0,58731000000.0,58731000000.0,2023-09-30
0.0,0.204815,28511000000.0,21963000000.0,2992000000.0,10014000000.0,28511000000.0,25519000000.0,-916000000.0,-2101000000.0,-2820000000.0,21963000000.0,21963000000.0,39097000000.0,26766000000.0,,,,,21963000000.0,21963000000.0,21963000000.0,21963000000.0,21963000000.0,5657000000.0,27620000000.0,-916000000.0,-2101000000.0,-2820000000.0,26766000000.0,29083000000.0,-3000000.0,10460000000.0,18626000000.0,17170000000.0,1456000000.0,1456000000.0,55849000000.0,10014000000.0,65863000000.0,442247000000.0,2023-12-31
