treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_prepaid_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,non_current_accounts_receivable,investments_and_advances,other_investments,investmentin_financial_assets,available_for_sale_securities,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,properties,current_assets,other_current_assets,current_deferred_assets,prepaid_assets,receivables,other_receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date
,81876111.0,81876111.0,132728000.0,496505000.0,794373000.0,1581052000.0,690792000.0,794373000.0,100614000.0,1185161000.0,1581052000.0,1185161000.0,1185161000.0,-23963000.0,-23963000.0,-473606000.0,1682722000.0,8000.0,8000.0,763347000.0,510583000.0,6923000.0,7155000.0,7155000.0,496505000.0,100614000.0,395891000.0,252764000.0,30398000.0,137546000.0,137546000.0,,,43171000.0,41649000.0,,41649000.0,,41649000.0,1948508000.0,1004952000.0,51155000.0,,218769000.0,218769000.0,15346000.0,163335000.0,,163335000.0,163335000.0,390788000.0,18574000.0,372214000.0,165559000.0,,165559000.0,,165559000.0,,,943556000.0,59355000.0,,59355000.0,179015000.0,90742000.0,88273000.0,-285000.0,88558000.0,705186000.0,442023000.0,263163000.0,,,2022-10-31
,82212768.0,82212768.0,121417000.0,495361000.0,830751000.0,1616488000.0,731054000.0,830751000.0,99045000.0,1220172000.0,1616488000.0,1220172000.0,1220172000.0,-16061000.0,-16061000.0,-482795000.0,1719020000.0,8000.0,8000.0,783775000.0,508566000.0,7183000.0,6022000.0,6022000.0,495361000.0,99045000.0,396316000.0,275209000.0,33157000.0,145963000.0,145963000.0,,,58064000.0,38025000.0,,38025000.0,,38025000.0,2003947000.0,997684000.0,56050000.0,,218308000.0,218308000.0,14576000.0,155306000.0,,155306000.0,155306000.0,389421000.0,17207000.0,372214000.0,164023000.0,,164023000.0,,164023000.0,,,1006263000.0,63591000.0,,,227940000.0,100313000.0,127627000.0,-31000.0,127658000.0,714732000.0,439833000.0,274899000.0,,,2023-01-31
,81711311.0,81711311.0,130128000.0,433261000.0,807053000.0,1591850000.0,731077000.0,807053000.0,36518000.0,1195107000.0,1591850000.0,1195107000.0,1195107000.0,-15076000.0,-15076000.0,-584356000.0,1794531000.0,8000.0,8000.0,721419000.0,445991000.0,7042000.0,5688000.0,5688000.0,433261000.0,36518000.0,396743000.0,275428000.0,24074000.0,143228000.0,143228000.0,,,72548000.0,35578000.0,,35578000.0,,35578000.0,1916526000.0,910021000.0,59486000.0,,230526000.0,230526000.0,14541000.0,119098000.0,,119098000.0,119098000.0,388054000.0,15840000.0,372214000.0,98316000.0,-47151000.0,145467000.0,22665000.0,44721000.0,78081000.0,0.0,1006505000.0,61454000.0,,,257234000.0,128166000.0,129068000.0,-42000.0,129110000.0,687817000.0,421202000.0,266615000.0,194172000.0,72443000.0,2023-04-30
,81440669.0,81440669.0,,448576000.0,812779000.0,1596637000.0,726342000.0,812779000.0,51405000.0,1199466000.0,1596637000.0,1199466000.0,1199466000.0,-13859000.0,-13859000.0,-617950000.0,1831267000.0,8000.0,8000.0,828422000.0,455161000.0,9030000.0,5988000.0,5988000.0,440143000.0,42972000.0,397171000.0,373261000.0,8839000.0,206923000.0,206923000.0,8433000.0,8433000.0,103980000.0,45086000.0,6301000.0,38785000.0,4158000.0,34627000.0,2027888000.0,928285000.0,2073000.0,3111000.0,261876000.0,226875000.0,11112000.0,156554000.0,27772000.0,128782000.0,128782000.0,386687000.0,14473000.0,372214000.0,106872000.0,-49059000.0,155931000.0,23110000.0,52373000.0,80448000.0,0.0,1099603000.0,,22671000.0,21761000.0,256486000.0,105452000.0,151034000.0,-218000.0,151252000.0,798685000.0,396872000.0,401813000.0,,,2023-07-31
0.0,81930494.0,81930494.0,96182000.0,438473000.0,820329000.0,1603250000.0,714423000.0,820329000.0,40872000.0,1205649000.0,1603250000.0,1205649000.0,1205649000.0,-16805000.0,-16805000.0,-645021000.0,1867467000.0,8000.0,8000.0,713948000.0,451573000.0,9185000.0,3915000.0,3915000.0,438473000.0,40872000.0,397601000.0,262375000.0,25376000.0,171103000.0,171103000.0,,,46686000.0,19210000.0,,19210000.0,,19210000.0,1919597000.0,942799000.0,64448000.0,,239822000.0,239822000.0,6883000.0,140644000.0,,140644000.0,140644000.0,385320000.0,13106000.0,372214000.0,105682000.0,,105682000.0,,105682000.0,,,976798000.0,61537000.0,,,202314000.0,109231000.0,93083000.0,-346000.0,93429000.0,712947000.0,411528000.0,301419000.0,,,2023-10-31
0.0,82322110.0,82322110.0,48044000.0,437107000.0,872160000.0,1654146000.0,753554000.0,872160000.0,39074000.0,1256113000.0,1654146000.0,1256113000.0,1256113000.0,-12434000.0,-12434000.0,-635334000.0,1903873000.0,8000.0,8000.0,757407000.0,450331000.0,9152000.0,4072000.0,4072000.0,437107000.0,39074000.0,398033000.0,307076000.0,27325000.0,195083000.0,195083000.0,,,62669000.0,21999000.0,,21999000.0,,21999000.0,2013520000.0,952890000.0,60220000.0,,243424000.0,243424000.0,6796000.0,155061000.0,,155061000.0,155061000.0,383953000.0,11739000.0,372214000.0,103436000.0,,103436000.0,,103436000.0,,,1060630000.0,63799000.0,,,219208000.0,90966000.0,128242000.0,-24000.0,128266000.0,777623000.0,427634000.0,349989000.0,,,2024-01-31
