tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,other_special_charges,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-215880000.0,0.21,2586000000.0,-1028000000.0,-1028000000.0,245000000.0,832000000.0,19014000000.0,1558000000.0,726000000.0,-251000000.0,272000000.0,21000000.0,1057120000.0,245000000.0,22959000000.0,1762000000.0,743000000.0,728000000.0,0.33,0.34,245000000.0,245000000.0,245000000.0,4000000.0,241000000.0,0.0,241000000.0,213000000.0,454000000.0,-1057000000.0,-29000000.0,-1000000000.0,0.0,1000000000.0,-28000000.0,-251000000.0,,272000000.0,21000000.0,1762000000.0,3945000000.0,677000000.0,3268000000.0,5707000000.0,19014000000.0,24721000000.0,24721000000.0,2022-10-31
20263271.939328,0.343445,2105000000.0,59000000.0,59000000.0,614000000.0,854000000.0,19283000000.0,2164000000.0,1310000000.0,-339000000.0,387000000.0,48000000.0,575263271.939328,614000000.0,23850000000.0,1189000000.0,735000000.0,716000000.0,0.84,0.86,614000000.0,614000000.0,614000000.0,8000000.0,606000000.0,0.0,606000000.0,317000000.0,923000000.0,73000000.0,14000000.0,106000000.0,0.0,-106000000.0,-47000000.0,-339000000.0,,387000000.0,48000000.0,1189000000.0,4567000000.0,795000000.0,3772000000.0,5756000000.0,19283000000.0,25039000000.0,25039000000.0,2023-01-31
-8460000.0,0.18,1966000000.0,-47000000.0,-47000000.0,583000000.0,809000000.0,15904000000.0,1919000000.0,1110000000.0,-317000000.0,405000000.0,88000000.0,621540000.0,583000000.0,19853000000.0,1069000000.0,737000000.0,724000000.0,0.79,0.81,583000000.0,583000000.0,583000000.0,5000000.0,578000000.0,,578000000.0,127000000.0,705000000.0,-47000000.0,,,,,-47000000.0,-317000000.0,-29000000.0,405000000.0,88000000.0,1069000000.0,3949000000.0,688000000.0,3261000000.0,5018000000.0,15904000000.0,20922000000.0,20922000000.0,2023-04-30
-34122000.0,0.363,1991000000.0,-94000000.0,-94000000.0,462000000.0,831000000.0,17547000000.0,1897000000.0,1066000000.0,-286000000.0,352000000.0,66000000.0,521878000.0,462000000.0,21769000000.0,1165000000.0,738000000.0,726000000.0,0.63,0.64,462000000.0,462000000.0,462000000.0,7000000.0,455000000.0,,455000000.0,259000000.0,714000000.0,-165000000.0,-71000000.0,,,,-94000000.0,-286000000.0,,352000000.0,66000000.0,1165000000.0,4222000000.0,705000000.0,3517000000.0,5387000000.0,17547000000.0,22934000000.0,22934000000.0,2023-07-31
-3278000.0,0.149,2395000000.0,-22000000.0,-22000000.0,1006000000.0,822000000.0,17103000000.0,2373000000.0,1551000000.0,-283000000.0,371000000.0,88000000.0,1024722000.0,1006000000.0,20765000000.0,1486000000.0,740000000.0,722000000.0,1.36,1.39,1006000000.0,1006000000.0,1006000000.0,2000000.0,1004000000.0,,1004000000.0,176000000.0,1180000000.0,-23000000.0,-1000000.0,0.0,,,-22000000.0,-283000000.0,,371000000.0,88000000.0,1486000000.0,3662000000.0,692000000.0,2970000000.0,5148000000.0,17103000000.0,22251000000.0,22251000000.0,2023-10-31
7973602.484472,0.100932,2423000000.0,79000000.0,79000000.0,1160000000.0,841000000.0,17002000000.0,2502000000.0,1661000000.0,-281000000.0,373000000.0,92000000.0,1088973602.484472,1160000000.0,20827000000.0,1491000000.0,,,,,1160000000.0,1160000000.0,1160000000.0,2000000.0,1158000000.0,,1158000000.0,130000000.0,1288000000.0,78000000.0,-1000000.0,68000000.0,,,11000000.0,-281000000.0,,373000000.0,92000000.0,1491000000.0,3825000000.0,716000000.0,3109000000.0,5316000000.0,17002000000.0,22318000000.0,22318000000.0,2024-01-31
