treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,current_accrued_expenses,total_assets,investments_and_advances,held_to_maturity_securities,long_term_equity_investment,goodwill_and_other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,other_properties,other_short_term_investments,cash_and_cash_equivalents,cash_financial,date
27511199.0,140947846.0,168459045.0,,264331000.0,5518915000.0,6137012000.0,5518915000.0,111931000.0,5984612000.0,6137012000.0,5984612000.0,5984612000.0,-765629000.0,-765629000.0,768862000.0,5582546000.0,1936389000.0,168000.0,168000.0,58127538000.0,152400000.0,,152400000.0,111931000.0,111931000.0,,,1595358000.0,1595358000.0,64112150000.0,9800117000.0,3001868000.0,763256000.0,465697000.0,465697000.0,192872000.0,-148126000.0,340998000.0,340998000.0,6034993000.0,3620805000.0,534980000.0,2022-12-31
27803967.0,141395800.0,169199767.0,,4765143000.0,5843634000.0,10961798000.0,5843634000.0,112676000.0,6309331000.0,6461798000.0,6309331000.0,6309331000.0,-679994000.0,-679994000.0,790653000.0,5832291000.0,1947518000.0,169000.0,169000.0,60935567000.0,152467000.0,,152467000.0,4612676000.0,112676000.0,4500000000.0,4500000000.0,1433022000.0,1433022000.0,67244898000.0,10035643000.0,2993421000.0,741354000.0,465697000.0,465697000.0,193326000.0,-150767000.0,344093000.0,344093000.0,6300868000.0,5944443000.0,760317000.0,2023-03-31
27827196.0,141483668.0,169310864.0,,4763334000.0,5996000000.0,11114648000.0,5996000000.0,110383000.0,6461697000.0,6614648000.0,6461697000.0,6461697000.0,-781932000.0,-781932000.0,791890000.0,6075735000.0,1959615000.0,169000.0,169000.0,62070984000.0,152951000.0,,152951000.0,4610383000.0,110383000.0,4500000000.0,4500000000.0,,,68532681000.0,9778662000.0,2975933000.0,815471000.0,465697000.0,465697000.0,189466000.0,-153079000.0,342545000.0,342545000.0,5987258000.0,6395056000.0,614053000.0,2023-06-30
27830597.0,141485949.0,169316546.0,69782000.0,4760782000.0,6131009000.0,11244879000.0,6131009000.0,112609000.0,6596706000.0,6744879000.0,6596706000.0,6596706000.0,-875377000.0,-875377000.0,792076000.0,6294751000.0,1969239000.0,169000.0,169000.0,61692752000.0,153087000.0,4914000.0,148173000.0,4607695000.0,107695000.0,4500000000.0,4500000000.0,,,68289458000.0,9905631000.0,2964235000.0,901559000.0,465697000.0,465697000.0,185670000.0,-155043000.0,340713000.0,340713000.0,6039837000.0,4578391000.0,495976000.0,2023-09-30
29330597.0,140027000.0,169357597.0,27529000.0,4755364000.0,6485137000.0,11603845000.0,6485137000.0,102353000.0,6950834000.0,7103845000.0,6950834000.0,6950834000.0,-620596000.0,-620596000.0,874787000.0,6465230000.0,1980818000.0,169000.0,169000.0,62662050000.0,153011000.0,,153011000.0,4602353000.0,102353000.0,4500000000.0,4500000000.0,,,69612884000.0,10049413000.0,2956040000.0,905036000.0,465697000.0,465697000.0,180394000.0,-668743000.0,849137000.0,849137000.0,6188337000.0,4625482000.0,444793000.0,2023-12-31
